,data,forecast,lower,upper
0,39.62,33.07286279854227,31.380375413526657,34.76535018355788
1,31.24,31.89420722077098,29.29375950458098,34.494654936960984
2,29.97,30.30002754682388,26.996509562610534,33.60354553103723
3,29.9,28.359266469033678,24.562765234252307,32.155767703815044
4,35.71,26.65387785282977,22.480516269791664,30.827239435867874
5,43.11,27.05824852692198,22.591082011671052,31.525415042172906
6,47.13,28.56097089902903,23.849728288285732,33.27221350977233
7,49.68,32.40896154281373,27.487549267285306,37.33037381834215
8,50.21,33.14455240656942,28.034819965064447,38.25428484807439
9,50.72,32.739764106677605,27.45701210169348,38.02251611166173
10,50.17,34.373724830328975,28.928659510953675,39.81879014970428
11,50.18,34.602927749162134,29.003542923153812,40.20231257517045
12,49.92,34.103353508328794,28.355784098258777,39.85092291839881
13,49.98,32.837324385816665,26.946532035388618,38.72811673624471
14,50.9,32.71601364902771,26.6861444291593,38.74588286889612
15,52.42,34.150323038998295,27.98496906766625,40.31567701033034
16,54.84,35.3433461964864,29.04569518688712,41.64099720608568
17,55.46,35.72817443251829,29.301114719992007,42.15523414504457
18,55.43,34.81574349083232,28.26192888711847,41.369558094546164
19,54.9,33.5342223816552,26.85611787758316,40.21232688572724
20,53.8,33.6674684168518,26.867380835758453,40.46755599794514
21,52.67,31.33726383667431,24.417364343995253,38.25716332935337
22,52.03,32.522063447974865,25.484404066070176,39.559722829879554
23,50.74,25.245438772202224,18.091965285956643,32.39891225844781
24,49.78,25.583006454586894,18.042573683547953,33.12343922562584
25,48.63,24.647913184160977,16.6821635570945,32.61366281122746
26,48.29,22.58116082002487,14.198981295059452,30.963340344990286
27,48.4,20.536107506191694,11.788853818308313,29.283361194075077
28,48.79,18.31672635339908,9.243303452972606,27.390149253825555
29,49.49,18.36752594344234,9.002226378419783,27.7328255084649
30,51.23,19.688047518303378,10.054629382957154,29.321465653649604
31,53.97,23.96896245557527,14.085558084505598,33.85236682664494
32,57.11,24.765347424607203,14.64495771688965,34.885737132324756
33,57.08,24.177488542231696,13.83010531061408,34.52487177384931
34,56.44,26.022694520526816,15.45602087090074,36.589368170152895
35,57.09,26.269603793265198,15.489913895552094,37.0492936909783
36,56.84,25.741995954521197,14.754530918696316,36.72946099034608
37,56.95,24.251500300953246,13.060813019312304,35.44218758259419
38,56.93,24.123675156978212,12.733814070364902,35.513536243591524
39,57.24,25.74819397543641,14.16284311248122,37.3335448383916
40,57.68,27.100503914022415,15.323064930215217,38.87794289782961
41,57.63,27.647475399322772,15.681127024344212,39.61382377430133
42,57.0,26.683606849493,14.531342819277844,38.83587087970815
43,56.23,25.339874001462167,13.00453074547427,37.675217257450065
44,55.2,25.796155318522914,13.28043135328197,38.31187928376386
45,54.02,23.25688221770648,10.563353006798824,35.95041142861413
46,51.96,24.750232929852235,11.881362328136245,37.61910353156823
47,49.9,16.649815059372894,3.607964656540805,29.691665462204984
48,49.96,16.703404005116152,3.219259719020581,30.187548291211723
49,48.27,15.683413101630753,1.7158102996800402,29.651015903581467
50,47.25,13.781383692225438,-0.6658766991038316,28.228644083554705
51,47.19,11.7726831462242,-3.1074738407118527,26.652840133160254
52,47.5,9.732462514272044,-5.543893920544306,25.008818949088393
53,48.51,9.906505099226077,-5.732546127550156,25.545556326002313
54,50.98,11.290535747484792,-4.687526420867378,27.268597915836963
55,52.59,15.420547828451204,-0.878111615488498,31.719207272390904
56,53.82,16.195742015931643,-0.41012385353594993,32.801607885399235
57,53.82,15.671695384842975,-1.2309459838401562,32.574336753526104
58,53.84,17.443268368208116,0.25199381015213973,34.63454292626409
59,53.26,17.684005801160527,0.21081145490936848,35.157200147411686
60,51.92,17.166169532321966,-0.5832694117067874,34.91560847635072
61,51.9,15.753915366220175,-2.2667818129097004,33.77461254535005
62,51.76,15.62836092561384,-2.65911256112652,33.9158344123542
63,51.99,17.186579131036797,-1.3635512627895494,35.736709524863144
64,53.07,18.4833670520279,-0.32558126818594957,37.29231537224175
65,53.67,18.973820850946932,-0.0903273813689971,38.037969083262865
66,53.16,18.027881722282686,-1.2880320773663279,37.343795521931696
67,51.99,16.705833795219196,-2.858567908330002,36.27023549876839
68,51.13,17.049515871590746,-2.760234203510457,36.85926594669195
69,50.3,14.58311702940053,-5.468965959865681,34.63520001866674
70,49.67,15.968917199486311,-4.322596646982413,36.26043104595504
71,48.93,8.155645945542544,-12.372501442884284,28.68379333396937
72,47.95,8.308220333164405,-12.674602253851399,29.29104292018021
73,47.24,7.317821890798557,-14.152715595440052,28.788359377037168
74,46.91,5.358375596402429,-16.598642194577497,27.315393387382354
75,46.52,3.337003697503742,-19.071339331847618,25.745346726855104
76,46.43,1.2343337303220006,-21.596919079056384,24.065586539700384
77,47.09,1.3654179499633188,-21.862056070701417,24.592891970628056
78,47.3,2.727311470041524,-20.877077672667404,26.331700612750453
79,48.08,6.90992321423907,-17.056054933184228,30.875901361662365
80,49.91,7.692503795857447,-16.623682044435835,32.00868963615073
81,50.7,7.146214358967188,-17.51113747006368,31.803566187998058
82,50.95,8.943453329251597,-16.04786029675278,33.934766955255974
83,51.06,9.186342058092016,-16.132879884503,34.50556400068703
84,51.43,8.665099748447805,-16.976818812777218,34.30701830967283
85,51.7,7.225573229839366,-18.734389128043485,33.185535587722214
86,51.82,7.099227298366551,-19.174536585726848,33.37299118245995
87,53.24,8.680555668852334,-17.903062774991376,35.26417411269605
88,55.98,9.996696698849492,-16.893058524392345,36.88645192209133
89,56.28,10.506850663444927,-16.68550482563562,37.69920615252547
90,55.81,9.554661941245309,-17.936908873297497,37.04623275578812
91,53.99,8.22505537965361,-19.562476032445545,36.01258679175277
92,52.68,8.607985766397386,-19.47236725970523,36.688338792500005
93,51.86,6.116185407259091,-22.25395512521062,34.4863259397288
94,51.09,7.539474081082857,-21.117516566555857,36.19646472872157
95,50.21,-0.3738868311849085,-29.31488033425458,28.567106671884762
96,50.26,-0.25581544128669276,-29.679180314735458,29.167549432162073
97,49.01,-1.2565288208722691,-31.192470538297332,28.679412896552794
98,48.74,-3.1959615191825574,-33.644404808141424,27.252481769776306
99,48.6,-5.21291661039843,-36.14331327252675,25.717480051729886
100,47.78,-7.293818838502823,-38.68114694973115,24.093509272725505
101,48.64,-7.147760776724052,-38.968169226091014,24.67264767264291
102,49.35,-5.778150997883706,-38.01422443654007,26.457922440772656
103,49.63,-1.6138737281935738,-34.2516602075674,31.023912751180248
104,50.43,-0.8338677952840418,-33.86292563013157,32.195190039563485
105,51.76,-1.3724041377457186,-34.784373719170574,32.03956544367914
106,52.34,0.4158885322399397,-33.37228084321737,34.20405790769725
107,52.75,0.658027391647864,-33.50065874862201,34.816713531917735
108,52.77,0.13797231333720725,-34.386300625966705,34.66224525264112
109,52.37,-1.2920479799253939,-36.17747451963497,33.593378559784185
110,51.47,-1.4181180242874767,-36.66062826812032,33.82439221954536
111,51.54,0.15515491948683452,-35.44062820727951,35.750938046253175
112,53.23,1.4645501062235238,-34.48089492068315,37.4099951331302
113,54.53,1.9678372552692356,-34.323815691110305,38.25949020164878
114,53.72,1.017826931301035,-35.61671080530437,37.65236466790645
115,52.76,-0.3091449443714914,-37.283356570786495,36.665066682043516
116,51.93,0.0601048006766024,-37.25066969015479,37.370879291508
117,51.58,-2.422841443504953,-40.067158515511046,35.221475628501146
118,50.71,-1.012620001938642,-38.987543401163556,36.96230339728627
119,50.1,-8.891093023747235,-47.19376518622721,29.411579138732744
120,48.6,-8.760995048632802,-47.57067849737329,30.048688400107686
121,48.06,-9.758112987831819,-49.10198456413099,29.585758588467353
122,48.05,-11.704521752996852,-51.583018229628614,28.173974723634906
123,47.31,-13.72301639490355,-54.10939732034609,26.66336453053899
124,48.07,-15.811506125145437,-56.68365837692167,25.0606461266308
125,49.91,-15.67066744140224,-57.007293712447094,25.66595882964261
126,52.81,-14.303747290990605,-56.08917806973349,27.481683487752278
127,55.64,-10.133079239785658,-52.35466873171149,32.088510252140175
128,56.98,-9.352175870880949,-52.000393442070646,33.29604170030875
129,56.42,-9.893414681446458,-52.960577387224504,33.17374802433159
130,55.87,-8.102003631899272,-51.58189875017338,35.377891486374835
131,55.62,-7.859603393213432,-51.74693429072152,36.02772750429465
132,55.01,-8.380072300459148,-52.6702129503866,35.910068349468304
133,54.28,-9.813406144333264,-54.50217060581941,34.87535831715288
134,53.73,-9.939572353668428,-55.02309530038856,35.14395059305171
135,53.26,-8.363491558919124,-53.83813462126452,37.11115150342628
136,53.28,-7.0517449979778775,-52.91404388993927,38.81055389398352
137,53.02,-6.546064307853959,-52.79269065350766,39.70056203779974
138,51.32,-7.496833948220544,-54.12457223957189,39.130904343130794
139,50.76,-8.824724186841667,-55.83045550738137,38.18100713369803
140,50.47,-8.450705829962118,-55.83139724163312,38.929985581708884
141,49.82,-10.93673832099371,-58.68943512911244,36.815958487125016
142,48.8,-9.52196208150685,-57.64378226036789,38.59985809735419
143,46.73,-17.41259584920141,-65.90072567344482,31.075533975042006
144,46.89,-17.286689937429458,-66.30715533655368,31.73377546169477
145,46.21,-18.285061126289417,-67.86297741859335,31.292855166014515
146,46.01,-20.22903826904371,-70.36515018339445,29.907073645307033
147,46.01,-22.246996275330332,-72.91712071317585,28.42312816251519
148,46.33,-24.33284125737481,-75.51685469671737,26.851172181967755
149,47.68,-24.190183273893563,-75.86856543105348,27.488198883266353
150,49.96,-22.822325609421355,-74.98064553441526,29.33599431557255
151,51.36,-18.653885169831547,-71.2804410180126,33.97267067834951
152,51.69,-17.873294616948176,-70.9592293945743,35.21264016067795
153,51.47,-18.413591437973956,-71.95173434300293,35.124551467055014
154,51.46,-16.623267350720123,-70.6077941952699,37.361259493829664
155,51.29,-16.380958220064514,-70.80688172060296,38.04496528047393
156,50.89,-16.901282880453994,-71.76422796581382,37.961662204905835
157,50.71,-18.333461731967247,-73.629452893397,36.9625294294625
158,50.84,-18.4595944214253,-74.18494591154067,37.26575706869006
159,50.85,-16.88449234914225,-73.03572186708917,39.26673716880467
160,51.16,-15.573565398209173,-72.14734562183028,41.000214825411945
161,51.11,-15.06871901604818,-72.0618426615781,41.924404629481735
162,50.77,-16.019223984242092,-73.42858291357769,41.39013494509351
163,50.01,-17.34679411240936,-75.16936468104215,40.47577645622344
164,49.64,-16.97443793332124,-75.2072715832047,41.25839571656222
165,49.33,-19.45939466244259,-78.0996111591012,39.18082183421602
166,48.8,-18.046206072405,-77.09098872642197,40.99857658161197
