Date,Hour,DK1,DK2
01-01-2017,00 - 01,2542.0,728.0
01-01-2017,01 - 02,2412.0,704.0
01-01-2017,02 - 03,2219.0,708.0
01-01-2017,03 - 04,1956.0,746.0
01-01-2017,04 - 05,1792.0,749.0
01-01-2017,05 - 06,1432.0,748.0
01-01-2017,06 - 07,1144.0,733.0
01-01-2017,07 - 08,1108.0,741.0
01-01-2017,08 - 09,1073.0,728.0
01-01-2017,09 - 10,987.0,694.0
01-01-2017,10 - 11,901.0,653.0
01-01-2017,11 - 12,865.0,602.0
01-01-2017,12 - 13,856.0,532.0
01-01-2017,13 - 14,802.0,481.0
01-01-2017,14 - 15,749.0,409.0
01-01-2017,15 - 16,673.0,256.0
01-01-2017,16 - 17,670.0,238.0
01-01-2017,17 - 18,668.0,114.0
01-01-2017,18 - 19,587.0,116.0
01-01-2017,19 - 20,601.0,154.0
01-01-2017,20 - 21,792.0,179.0
01-01-2017,21 - 22,949.0,213.0
01-01-2017,22 - 23,1040.0,252.0
01-01-2017,23 - 00,1100.0,226.0
02-01-2017,00 - 01,1158.0,223.0
02-01-2017,01 - 02,1074.0,243.0
02-01-2017,02 - 03,1054.0,223.0
02-01-2017,03 - 04,1122.0,219.0
02-01-2017,04 - 05,844.0,233.0
02-01-2017,05 - 06,801.0,220.0
02-01-2017,06 - 07,591.0,197.0
02-01-2017,07 - 08,549.0,190.0
02-01-2017,08 - 09,578.0,190.0
02-01-2017,09 - 10,775.0,178.0
02-01-2017,10 - 11,909.0,132.0
02-01-2017,11 - 12,995.0,120.0
02-01-2017,12 - 13,879.0,146.0
02-01-2017,13 - 14,804.0,152.0
02-01-2017,14 - 15,805.0,145.0
02-01-2017,15 - 16,755.0,121.0
02-01-2017,16 - 17,760.0,148.0
02-01-2017,17 - 18,789.0,149.0
02-01-2017,18 - 19,800.0,153.0
02-01-2017,19 - 20,895.0,163.0
02-01-2017,20 - 21,988.0,225.0
02-01-2017,21 - 22,963.0,246.0
02-01-2017,22 - 23,916.0,141.0
02-01-2017,23 - 00,959.0,139.0
03-01-2017,00 - 01,1014.0,208.0
03-01-2017,01 - 02,1093.0,346.0
03-01-2017,02 - 03,1215.0,280.0
03-01-2017,03 - 04,1402.0,193.0
03-01-2017,04 - 05,1446.0,201.0
03-01-2017,05 - 06,1461.0,222.0
03-01-2017,06 - 07,1480.0,288.0
03-01-2017,07 - 08,1649.0,337.0
03-01-2017,08 - 09,1715.0,471.0
03-01-2017,09 - 10,1919.0,595.0
03-01-2017,10 - 11,2189.0,636.0
03-01-2017,11 - 12,2625.0,678.0
03-01-2017,12 - 13,2896.0,726.0
03-01-2017,13 - 14,3092.0,801.0
03-01-2017,14 - 15,2966.0,843.0
03-01-2017,15 - 16,3143.0,865.0
03-01-2017,16 - 17,3178.0,859.0
03-01-2017,17 - 18,3254.0,886.0
03-01-2017,18 - 19,3232.0,883.0
03-01-2017,19 - 20,3182.0,877.0
03-01-2017,20 - 21,3148.0,875.0
03-01-2017,21 - 22,2949.0,862.0
03-01-2017,22 - 23,2845.0,836.0
03-01-2017,23 - 00,2799.0,860.0
04-01-2017,00 - 01,2755.0,871.0
04-01-2017,01 - 02,2343.0,879.0
04-01-2017,02 - 03,2406.0,852.0
04-01-2017,03 - 04,2284.0,862.0
04-01-2017,04 - 05,2560.0,873.0
04-01-2017,05 - 06,2576.0,873.0
04-01-2017,06 - 07,2644.0,798.0
04-01-2017,07 - 08,2647.0,865.0
04-01-2017,08 - 09,2712.0,858.0
04-01-2017,09 - 10,2663.0,852.0
04-01-2017,10 - 11,2585.0,864.0
04-01-2017,11 - 12,2595.0,819.0
04-01-2017,12 - 13,2678.0,789.0
04-01-2017,13 - 14,2593.0,786.0
04-01-2017,14 - 15,2471.0,747.0
04-01-2017,15 - 16,2404.0,641.0
04-01-2017,16 - 17,2381.0,578.0
04-01-2017,17 - 18,2421.0,518.0
04-01-2017,18 - 19,2329.0,543.0
04-01-2017,19 - 20,2214.0,525.0
04-01-2017,20 - 21,1970.0,575.0
04-01-2017,21 - 22,1711.0,585.0
04-01-2017,22 - 23,1542.0,557.0
04-01-2017,23 - 00,1526.0,585.0
05-01-2017,00 - 01,1440.0,540.0
05-01-2017,01 - 02,1363.0,481.0
05-01-2017,02 - 03,1296.0,481.0
05-01-2017,03 - 04,1314.0,482.0
05-01-2017,04 - 05,1349.0,475.0
05-01-2017,05 - 06,1407.0,479.0
05-01-2017,06 - 07,1473.0,455.0
05-01-2017,07 - 08,1459.0,475.0
05-01-2017,08 - 09,1388.0,438.0
05-01-2017,09 - 10,1157.0,401.0
05-01-2017,10 - 11,978.0,409.0
05-01-2017,11 - 12,824.0,415.0
05-01-2017,12 - 13,663.0,387.0
05-01-2017,13 - 14,477.0,380.0
05-01-2017,14 - 15,375.0,367.0
05-01-2017,15 - 16,337.0,370.0
05-01-2017,16 - 17,290.0,318.0
05-01-2017,17 - 18,239.0,299.0
05-01-2017,18 - 19,183.0,313.0
05-01-2017,19 - 20,160.0,312.0
05-01-2017,20 - 21,132.0,302.0
05-01-2017,21 - 22,100.0,263.0
05-01-2017,22 - 23,74.0,162.0
05-01-2017,23 - 00,74.0,100.0
06-01-2017,00 - 01,75.0,75.0
06-01-2017,01 - 02,91.0,66.0
06-01-2017,02 - 03,168.0,69.0
06-01-2017,03 - 04,308.0,60.0
06-01-2017,04 - 05,459.0,39.0
06-01-2017,05 - 06,647.0,25.0
06-01-2017,06 - 07,721.0,12.0
06-01-2017,07 - 08,836.0,4.0
06-01-2017,08 - 09,1058.0,3.0
06-01-2017,09 - 10,1320.0,3.0
06-01-2017,10 - 11,1345.0,3.0
06-01-2017,11 - 12,1444.0,4.0
06-01-2017,12 - 13,1598.0,7.0
06-01-2017,13 - 14,1830.0,14.0
06-01-2017,14 - 15,1986.0,25.0
06-01-2017,15 - 16,2033.0,63.0
06-01-2017,16 - 17,2106.0,114.0
06-01-2017,17 - 18,2211.0,148.0
06-01-2017,18 - 19,2248.0,171.0
06-01-2017,19 - 20,2274.0,208.0
06-01-2017,20 - 21,2349.0,265.0
06-01-2017,21 - 22,2437.0,323.0
06-01-2017,22 - 23,2512.0,393.0
06-01-2017,23 - 00,2553.0,437.0
07-01-2017,00 - 01,2563.0,513.0
07-01-2017,01 - 02,2531.0,528.0
07-01-2017,02 - 03,2535.0,508.0
07-01-2017,03 - 04,2540.0,510.0
07-01-2017,04 - 05,2412.0,597.0
07-01-2017,05 - 06,2302.0,654.0
07-01-2017,06 - 07,2072.0,703.0
07-01-2017,07 - 08,1885.0,724.0
07-01-2017,08 - 09,1848.0,697.0
07-01-2017,09 - 10,1751.0,624.0
07-01-2017,10 - 11,1546.0,502.0
07-01-2017,11 - 12,1413.0,479.0
07-01-2017,12 - 13,1408.0,477.0
07-01-2017,13 - 14,1329.0,445.0
07-01-2017,14 - 15,1273.0,448.0
07-01-2017,15 - 16,1138.0,434.0
07-01-2017,16 - 17,1036.0,409.0
07-01-2017,17 - 18,993.0,348.0
07-01-2017,18 - 19,1029.0,259.0
07-01-2017,19 - 20,877.0,145.0
07-01-2017,20 - 21,613.0,118.0
07-01-2017,21 - 22,510.0,122.0
07-01-2017,22 - 23,378.0,132.0
07-01-2017,23 - 00,296.0,146.0
08-01-2017,00 - 01,205.0,127.0
08-01-2017,01 - 02,145.0,66.0
08-01-2017,02 - 03,91.0,55.0
08-01-2017,03 - 04,48.0,70.0
08-01-2017,04 - 05,36.0,75.0
08-01-2017,05 - 06,35.0,70.0
08-01-2017,06 - 07,41.0,64.0
08-01-2017,07 - 08,62.0,52.0
08-01-2017,08 - 09,65.0,35.0
08-01-2017,09 - 10,90.0,10.0
08-01-2017,10 - 11,133.0,5.0
08-01-2017,11 - 12,188.0,2.0
08-01-2017,12 - 13,255.0,2.0
08-01-2017,13 - 14,354.0,3.0
08-01-2017,14 - 15,506.0,4.0
08-01-2017,15 - 16,632.0,7.0
08-01-2017,16 - 17,640.0,9.0
08-01-2017,17 - 18,731.0,11.0
08-01-2017,18 - 19,782.0,26.0
08-01-2017,19 - 20,751.0,40.0
08-01-2017,20 - 21,859.0,66.0
08-01-2017,21 - 22,845.0,99.0
08-01-2017,22 - 23,881.0,84.0
08-01-2017,23 - 00,868.0,100.0
09-01-2017,00 - 01,818.0,98.0
09-01-2017,01 - 02,835.0,107.0
09-01-2017,02 - 03,843.0,103.0
09-01-2017,03 - 04,903.0,99.0
09-01-2017,04 - 05,861.0,98.0
09-01-2017,05 - 06,845.0,135.0
09-01-2017,06 - 07,911.0,159.0
09-01-2017,07 - 08,943.0,183.0
09-01-2017,08 - 09,1109.0,186.0
09-01-2017,09 - 10,1275.0,167.0
09-01-2017,10 - 11,1454.0,165.0
09-01-2017,11 - 12,1671.0,182.0
09-01-2017,12 - 13,1789.0,174.0
09-01-2017,13 - 14,1908.0,190.0
09-01-2017,14 - 15,1928.0,239.0
09-01-2017,15 - 16,2019.0,234.0
09-01-2017,16 - 17,2073.0,263.0
09-01-2017,17 - 18,2205.0,316.0
09-01-2017,18 - 19,2351.0,398.0
09-01-2017,19 - 20,2387.0,504.0
