Date,Hour,DK1,DK2
01-01-2016,00 - 01,1314.0,113.0
01-01-2016,01 - 02,1267.0,98.0
01-01-2016,02 - 03,1159.0,74.0
01-01-2016,03 - 04,1160.0,61.0
01-01-2016,04 - 05,1069.0,47.0
01-01-2016,05 - 06,1013.0,37.0
01-01-2016,06 - 07,881.0,61.0
01-01-2016,07 - 08,752.0,66.0
01-01-2016,08 - 09,578.0,46.0
01-01-2016,09 - 10,487.0,49.0
01-01-2016,10 - 11,329.0,44.0
01-01-2016,11 - 12,209.0,26.0
01-01-2016,12 - 13,152.0,23.0
01-01-2016,13 - 14,115.0,9.0
01-01-2016,14 - 15,119.0,8.0
01-01-2016,15 - 16,82.0,5.0
01-01-2016,16 - 17,59.0,6.0
01-01-2016,17 - 18,94.0,16.0
01-01-2016,18 - 19,114.0,47.0
01-01-2016,19 - 20,149.0,59.0
01-01-2016,20 - 21,192.0,114.0
01-01-2016,21 - 22,321.0,146.0
01-01-2016,22 - 23,718.0,177.0
01-01-2016,23 - 00,932.0,210.0
02-01-2016,00 - 01,1049.0,239.0
02-01-2016,01 - 02,1226.0,264.0
02-01-2016,02 - 03,1601.0,326.0
02-01-2016,03 - 04,1995.0,392.0
02-01-2016,04 - 05,2225.0,514.0
02-01-2016,05 - 06,2279.0,645.0
02-01-2016,06 - 07,2484.0,767.0
02-01-2016,07 - 08,2655.0,830.0
02-01-2016,08 - 09,2988.0,849.0
02-01-2016,09 - 10,2958.0,853.0
02-01-2016,10 - 11,3025.0,861.0
02-01-2016,11 - 12,3123.0,850.0
02-01-2016,12 - 13,3205.0,843.0
02-01-2016,13 - 14,3223.0,847.0
02-01-2016,14 - 15,3195.0,848.0
02-01-2016,15 - 16,3198.0,847.0
02-01-2016,16 - 17,3200.0,870.0
02-01-2016,17 - 18,3192.0,872.0
02-01-2016,18 - 19,3185.0,848.0
02-01-2016,19 - 20,3166.0,835.0
02-01-2016,20 - 21,3118.0,826.0
02-01-2016,21 - 22,3117.0,820.0
02-01-2016,22 - 23,3028.0,807.0
02-01-2016,23 - 00,3136.0,807.0
03-01-2016,00 - 01,3144.0,816.0
03-01-2016,01 - 02,2772.0,815.0
03-01-2016,02 - 03,3130.0,800.0
03-01-2016,03 - 04,3128.0,798.0
03-01-2016,04 - 05,3119.0,798.0
03-01-2016,05 - 06,3091.0,788.0
03-01-2016,06 - 07,3090.0,794.0
03-01-2016,07 - 08,3122.0,770.0
03-01-2016,08 - 09,3057.0,765.0
03-01-2016,09 - 10,3064.0,790.0
03-01-2016,10 - 11,3032.0,805.0
03-01-2016,11 - 12,3069.0,803.0
03-01-2016,12 - 13,3146.0,798.0
03-01-2016,13 - 14,3142.0,780.0
03-01-2016,14 - 15,3103.0,765.0
03-01-2016,15 - 16,2969.0,738.0
03-01-2016,16 - 17,2960.0,733.0
03-01-2016,17 - 18,2974.0,737.0
03-01-2016,18 - 19,2970.0,765.0
03-01-2016,19 - 20,2932.0,763.0
03-01-2016,20 - 21,2760.0,733.0
03-01-2016,21 - 22,2808.0,712.0
03-01-2016,22 - 23,2849.0,687.0
03-01-2016,23 - 00,2903.0,667.0
04-01-2016,00 - 01,2896.0,662.0
04-01-2016,01 - 02,2886.0,659.0
04-01-2016,02 - 03,2886.0,664.0
04-01-2016,03 - 04,2887.0,669.0
04-01-2016,04 - 05,2899.0,670.0
04-01-2016,05 - 06,2834.0,675.0
