Date,Hour,DK1,DK2
01-01-2015,00 - 01,1855.0,647.0
01-01-2015,01 - 02,1835.0,629.0
01-01-2015,02 - 03,1773.0,585.0
01-01-2015,03 - 04,1902.0,487.0
01-01-2015,04 - 05,2124.0,470.0
01-01-2015,05 - 06,2526.0,568.0
01-01-2015,06 - 07,2633.0,634.0
01-01-2015,07 - 08,2865.0,639.0
01-01-2015,08 - 09,3044.0,665.0
01-01-2015,09 - 10,3134.0,710.0
01-01-2015,10 - 11,3157.0,712.0
01-01-2015,11 - 12,3147.0,758.0
01-01-2015,12 - 13,3146.0,733.0
01-01-2015,13 - 14,3047.0,794.0
01-01-2015,14 - 15,2870.0,708.0
01-01-2015,15 - 16,2861.0,670.0
01-01-2015,16 - 17,2952.0,680.0
01-01-2015,17 - 18,3097.0,736.0
01-01-2015,18 - 19,3259.0,804.0
01-01-2015,19 - 20,3408.0,838.0
01-01-2015,20 - 21,3488.0,860.0
01-01-2015,21 - 22,3524.0,877.0
01-01-2015,22 - 23,3532.0,876.0
01-01-2015,23 - 00,3497.0,873.0
02-01-2015,00 - 01,3006.0,882.0
02-01-2015,01 - 02,2360.0,879.0
02-01-2015,02 - 03,2321.0,888.0
02-01-2015,03 - 04,2289.0,893.0
02-01-2015,04 - 05,2275.0,894.0
02-01-2015,05 - 06,2514.0,919.0
02-01-2015,06 - 07,3372.0,928.0
02-01-2015,07 - 08,3464.0,914.0
02-01-2015,08 - 09,3465.0,923.0
02-01-2015,09 - 10,3429.0,927.0
02-01-2015,10 - 11,3387.0,926.0
02-01-2015,11 - 12,3368.0,916.0
02-01-2015,12 - 13,3384.0,834.0
02-01-2015,13 - 14,3362.0,879.0
02-01-2015,14 - 15,3348.0,895.0
02-01-2015,15 - 16,3316.0,894.0
02-01-2015,16 - 17,3317.0,874.0
02-01-2015,17 - 18,3343.0,876.0
02-01-2015,18 - 19,3366.0,884.0
02-01-2015,19 - 20,3307.0,884.0
02-01-2015,20 - 21,3162.0,885.0
02-01-2015,21 - 22,3287.0,883.0
02-01-2015,22 - 23,3259.0,897.0
02-01-2015,23 - 00,3126.0,816.0
03-01-2015,00 - 01,3129.0,890.0
03-01-2015,01 - 02,3157.0,863.0
03-01-2015,02 - 03,3164.0,878.0
03-01-2015,03 - 04,3035.0,868.0
03-01-2015,04 - 05,2879.0,836.0
03-01-2015,05 - 06,2801.0,842.0
03-01-2015,06 - 07,2711.0,864.0
03-01-2015,07 - 08,2685.0,858.0
03-01-2015,08 - 09,2618.0,826.0
03-01-2015,09 - 10,2564.0,788.0
03-01-2015,10 - 11,2433.0,761.0
03-01-2015,11 - 12,2343.0,732.0
03-01-2015,12 - 13,2322.0,731.0
03-01-2015,13 - 14,2390.0,710.0
03-01-2015,14 - 15,2354.0,676.0
03-01-2015,15 - 16,2271.0,663.0
03-01-2015,16 - 17,2164.0,685.0
03-01-2015,17 - 18,2121.0,680.0
03-01-2015,18 - 19,2118.0,676.0
03-01-2015,19 - 20,2054.0,683.0
03-01-2015,20 - 21,2088.0,678.0
03-01-2015,21 - 22,2064.0,671.0
03-01-2015,22 - 23,2102.0,674.0
03-01-2015,23 - 00,2121.0,684.0
04-01-2015,00 - 01,2074.0,693.0
04-01-2015,01 - 02,2115.0,712.0
04-01-2015,02 - 03,2149.0,697.0
04-01-2015,03 - 04,2207.0,735.0
04-01-2015,04 - 05,2206.0,737.0
