Date,Hour,DK1,DK2
01-01-2014,00 - 01,1650.0,404.0
01-01-2014,01 - 02,1672.0,454.0
01-01-2014,02 - 03,1638.0,491.0
01-01-2014,03 - 04,1685.0,477.0
01-01-2014,04 - 05,1654.0,477.0
01-01-2014,05 - 06,1682.0,430.0
01-01-2014,06 - 07,1637.0,420.0
01-01-2014,07 - 08,1553.0,409.0
01-01-2014,08 - 09,1463.0,380.0
01-01-2014,09 - 10,1326.0,365.0
01-01-2014,10 - 11,1390.0,299.0
01-01-2014,11 - 12,1357.0,278.0
01-01-2014,12 - 13,1346.0,241.0
01-01-2014,13 - 14,1361.0,198.0
01-01-2014,14 - 15,1293.0,146.0
01-01-2014,15 - 16,1262.0,80.0
01-01-2014,16 - 17,1266.0,94.0
01-01-2014,17 - 18,1314.0,166.0
01-01-2014,18 - 19,1535.0,266.0
01-01-2014,19 - 20,1636.0,351.0
01-01-2014,20 - 21,1829.0,369.0
01-01-2014,21 - 22,2032.0,371.0
01-01-2014,22 - 23,2178.0,413.0
01-01-2014,23 - 00,2352.0,450.0
02-01-2014,00 - 01,2494.0,535.0
02-01-2014,01 - 02,2545.0,568.0
02-01-2014,02 - 03,2668.0,625.0
02-01-2014,03 - 04,2353.0,666.0
02-01-2014,04 - 05,2669.0,715.0
02-01-2014,05 - 06,2658.0,765.0
02-01-2014,06 - 07,2615.0,785.0
02-01-2014,07 - 08,2581.0,758.0
02-01-2014,08 - 09,2542.0,764.0
02-01-2014,09 - 10,2467.0,771.0
02-01-2014,10 - 11,2370.0,767.0
02-01-2014,11 - 12,2246.0,728.0
02-01-2014,12 - 13,2178.0,633.0
02-01-2014,13 - 14,2031.0,615.0
02-01-2014,14 - 15,1805.0,601.0
02-01-2014,15 - 16,1628.0,582.0
02-01-2014,16 - 17,1483.0,531.0
02-01-2014,17 - 18,1405.0,490.0
02-01-2014,18 - 19,1260.0,432.0
02-01-2014,19 - 20,1125.0,451.0
02-01-2014,20 - 21,1157.0,433.0
02-01-2014,21 - 22,1037.0,504.0
02-01-2014,22 - 23,998.0,398.0
02-01-2014,23 - 00,1019.0,397.0
03-01-2014,00 - 01,1105.0,448.0
03-01-2014,01 - 02,1069.0,346.0
03-01-2014,02 - 03,1073.0,343.0
03-01-2014,03 - 04,1081.0,303.0
03-01-2014,04 - 05,1154.0,312.0
03-01-2014,05 - 06,1275.0,235.0
03-01-2014,06 - 07,1505.0,336.0
03-01-2014,07 - 08,1764.0,399.0
03-01-2014,08 - 09,1937.0,431.0
03-01-2014,09 - 10,2137.0,475.0
03-01-2014,10 - 11,2419.0,541.0
03-01-2014,11 - 12,2545.0,608.0
03-01-2014,12 - 13,2664.0,684.0
03-01-2014,13 - 14,2764.0,691.0
03-01-2014,14 - 15,2772.0,720.0
03-01-2014,15 - 16,2698.0,742.0
03-01-2014,16 - 17,2644.0,794.0
03-01-2014,17 - 18,2693.0,736.0
03-01-2014,18 - 19,2621.0,718.0
03-01-2014,19 - 20,2301.0,731.0
03-01-2014,20 - 21,2065.0,740.0
03-01-2014,21 - 22,2024.0,707.0
03-01-2014,22 - 23,2210.0,612.0
03-01-2014,23 - 00,2311.0,643.0
04-01-2014,00 - 01,2481.0,516.0
