Date,Hour,DK1,DK2
01-01-2020,00 - 01,1303.0,364.0
01-01-2020,01 - 02,1542.0,318.0
01-01-2020,02 - 03,1793.0,317.0
01-01-2020,03 - 04,2116.0,347.0
01-01-2020,04 - 05,2310.0,383.0
01-01-2020,05 - 06,2429.0,436.0
01-01-2020,06 - 07,2412.0,486.0
01-01-2020,07 - 08,2387.0,502.0
01-01-2020,08 - 09,2549.0,445.0
01-01-2020,09 - 10,2735.0,434.0
01-01-2020,10 - 11,2818.0,448.0
01-01-2020,11 - 12,2968.0,547.0
01-01-2020,12 - 13,2949.0,560.0
01-01-2020,13 - 14,2760.0,541.0
01-01-2020,14 - 15,2699.0,538.0
01-01-2020,15 - 16,2729.0,516.0
01-01-2020,16 - 17,2743.0,514.0
01-01-2020,17 - 18,2700.0,517.0
01-01-2020,18 - 19,2577.0,426.0
01-01-2020,19 - 20,2528.0,306.0
01-01-2020,20 - 21,2502.0,202.0
01-01-2020,21 - 22,2455.0,151.0
01-01-2020,22 - 23,2607.0,187.0
01-01-2020,23 - 00,2589.0,237.0
02-01-2020,00 - 01,2561.0,282.0
02-01-2020,01 - 02,2518.0,251.0
02-01-2020,02 - 03,2595.0,244.0
02-01-2020,03 - 04,2690.0,280.0
02-01-2020,04 - 05,2777.0,290.0
02-01-2020,05 - 06,2903.0,318.0
02-01-2020,06 - 07,3106.0,305.0
02-01-2020,07 - 08,3220.0,320.0
02-01-2020,08 - 09,3281.0,351.0
02-01-2020,09 - 10,3341.0,345.0
02-01-2020,10 - 11,3371.0,352.0
02-01-2020,11 - 12,3328.0,355.0
02-01-2020,12 - 13,3206.0,355.0
02-01-2020,13 - 14,3167.0,351.0
02-01-2020,14 - 15,3174.0,376.0
02-01-2020,15 - 16,3267.0,362.0
02-01-2020,16 - 17,3483.0,359.0
02-01-2020,17 - 18,3616.0,419.0
02-01-2020,18 - 19,3715.0,543.0
02-01-2020,19 - 20,3750.0,653.0
02-01-2020,20 - 21,3810.0,695.0
02-01-2020,21 - 22,3425.0,643.0
02-01-2020,22 - 23,3198.0,713.0
02-01-2020,23 - 00,3163.0,726.0
03-01-2020,00 - 01,3101.0,708.0
03-01-2020,01 - 02,3144.0,699.0
03-01-2020,02 - 03,3084.0,700.0
03-01-2020,03 - 04,2980.0,763.0
03-01-2020,04 - 05,2945.0,789.0
03-01-2020,05 - 06,2824.0,722.0
03-01-2020,06 - 07,2486.0,814.0
03-01-2020,07 - 08,2336.0,817.0
03-01-2020,08 - 09,2213.0,799.0
03-01-2020,09 - 10,1775.0,776.0
03-01-2020,10 - 11,1411.0,750.0
03-01-2020,11 - 12,1271.0,720.0
03-01-2020,12 - 13,1299.0,660.0
03-01-2020,13 - 14,1417.0,581.0
03-01-2020,14 - 15,1301.0,458.0
03-01-2020,15 - 16,1362.0,316.0
03-01-2020,16 - 17,1855.0,218.0
03-01-2020,17 - 18,2026.0,172.0
03-01-2020,18 - 19,2343.0,219.0
03-01-2020,19 - 20,2738.0,305.0
03-01-2020,20 - 21,2716.0,423.0
03-01-2020,21 - 22,2938.0,557.0
03-01-2020,22 - 23,2927.0,615.0
03-01-2020,23 - 00,2776.0,715.0
04-01-2020,00 - 01,2484.0,721.0
04-01-2020,01 - 02,2676.0,736.0
04-01-2020,02 - 03,2748.0,759.0
04-01-2020,03 - 04,2734.0,782.0
04-01-2020,04 - 05,2491.0,797.0
04-01-2020,05 - 06,2376.0,821.0
04-01-2020,06 - 07,2652.0,777.0
04-01-2020,07 - 08,2847.0,755.0
04-01-2020,08 - 09,3277.0,807.0
04-01-2020,09 - 10,3280.0,790.0
04-01-2020,10 - 11,3429.0,714.0
04-01-2020,11 - 12,3397.0,726.0
04-01-2020,12 - 13,3325.0,821.0
04-01-2020,13 - 14,3404.0,836.0
04-01-2020,14 - 15,3439.0,857.0
04-01-2020,15 - 16,3502.0,874.0
04-01-2020,16 - 17,3163.0,846.0
04-01-2020,17 - 18,2831.0,819.0
04-01-2020,18 - 19,2498.0,777.0
04-01-2020,19 - 20,2324.0,741.0
04-01-2020,20 - 21,1898.0,619.0
04-01-2020,21 - 22,1541.0,561.0
04-01-2020,22 - 23,1059.0,452.0
04-01-2020,23 - 00,759.0,283.0
05-01-2020,00 - 01,582.0,200.0
05-01-2020,01 - 02,481.0,230.0
05-01-2020,02 - 03,400.0,220.0
05-01-2020,03 - 04,435.0,162.0
05-01-2020,04 - 05,568.0,148.0
05-01-2020,05 - 06,734.0,196.0
05-01-2020,06 - 07,824.0,228.0
05-01-2020,07 - 08,984.0,181.0
05-01-2020,08 - 09,1223.0,143.0
05-01-2020,09 - 10,1427.0,79.0
05-01-2020,10 - 11,1717.0,104.0
05-01-2020,11 - 12,1978.0,147.0
05-01-2020,12 - 13,2181.0,202.0
05-01-2020,13 - 14,2419.0,256.0
05-01-2020,14 - 15,2517.0,343.0
05-01-2020,15 - 16,2463.0,443.0
05-01-2020,16 - 17,2431.0,462.0
05-01-2020,17 - 18,2436.0,516.0
05-01-2020,18 - 19,2440.0,563.0
05-01-2020,19 - 20,2528.0,590.0
05-01-2020,20 - 21,2476.0,587.0
05-01-2020,21 - 22,2615.0,583.0
05-01-2020,22 - 23,2177.0,541.0
05-01-2020,23 - 00,2122.0,503.0
06-01-2020,00 - 01,1772.0,454.0
06-01-2020,01 - 02,1861.0,470.0
06-01-2020,02 - 03,1834.0,516.0
06-01-2020,03 - 04,1716.0,526.0
06-01-2020,04 - 05,1632.0,547.0
06-01-2020,05 - 06,1414.0,492.0
06-01-2020,06 - 07,1372.0,480.0
06-01-2020,07 - 08,1418.0,490.0
06-01-2020,08 - 09,1534.0,443.0
06-01-2020,09 - 10,1701.0,417.0
06-01-2020,10 - 11,1817.0,407.0
06-01-2020,11 - 12,1855.0,425.0
06-01-2020,12 - 13,1861.0,393.0
06-01-2020,13 - 14,1886.0,336.0
06-01-2020,14 - 15,1961.0,319.0
