Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2018,420628,395601,240677,82283,1139206.0,20840,17010,27836,65686.0
02-01-2018,453387,437498,256824,97792,1245511.0,24329,20491,33880,78700.0
03-01-2018,470349,449380,257788,104997,1282523.0,25598,21978,35619,83195.0
04-01-2018,466056,466901,262665,105990,1301625.0,26027,22352,36019,84398.0
05-01-2018,470882,461843,262404,104428,1299561.0,25705,22295,35862,83862.0
06-01-2018,464448,444727,246793,94299,1250272.0,23399,19728,32266,75393.0
07-01-2018,469121,456062,252089,95397,1272679.0,23389,19191,31626,74206.0
08-01-2018,480008,485897,275098,109543,1350560.0,27032,22294,36616,85942.0
09-01-2018,487467,483181,272630,102655,1345944.0,27181,22580,37096,86857.0
10-01-2018,489755,500907,278612,106295,1375585.0,27546,22877,38066,88489.0
11-01-2018,476834,488453,285564,106837,1357703.0,28134,23407,38510,90051.0
12-01-2018,476711,486038,290233,103216,1356216.0,28615,23238,38177,90030.0
13-01-2018,457175,450983,267725,92467,1268363.0,26466,21458,34042,81966.0
14-01-2018,453704,448226,254700,91686,1248328.0,26061,21195,33888,81144.0
15-01-2018,488175,492745,281607,105157,1367698.0,30263,24267,39016,93546.0
16-01-2018,472776,488899,290555,107186,1359410.0,29363,24406,39293,93062.0
17-01-2018,471261,489727,292618,108401,1362020.0,31289,24974,39561,95824.0
18-01-2018,485022,489454,287086,108791,1370343.0,30229,24491,38326,93046.0
19-01-2018,486455,489413,291614,104992,1372482.0,29220,23614,38154,90988.0
20-01-2018,463525,457329,280018,92733,1293616.0,26163,21024,34393,81580.0
21-01-2018,459408,462883,280282,91731,1294303.0,24878,20219,33320,78417.0
22-01-2018,498753,511697,305235,106537,1422246.0,28594,23950,38703,91247.0
23-01-2018,488805,509019,310739,106571,1415152.0,28854,24383,39552,92789.0
24-01-2018,459999,459666,293795,102579,1316052.0,29165,24659,39870,93694.0
25-01-2018,449510,443627,270480,101672,1265299.0,27879,23540,38622,90041.0
26-01-2018,459341,443759,267824,101276,1272215.0,26878,23241,37516,87635.0
27-01-2018,458604,416397,254582,89908,1219501.0,24018,20548,33806,78372.0
28-01-2018,436477,419512,252742,85573,1194305.0,23899,20090,32800,76789.0
29-01-2018,467007,461222,271394,100157,1299806.0,26856,22607,36891,86354.0
30-01-2018,472668,472828,277033,110823,1333378.0,27842,22795,37168,87805.0
31-01-2018,462673,467688,281834,105514,1317731.0,27775,22833,37051,87659.0
01-02-2018,465488,466473,287101,104112,1323211.0,27758,23202,37634,88594.0
