Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2020,399232,382626,232760,84503,1099125.0,20112,16798,28529,65439.0
02-01-2020,413129,412169,236512,100647,1162459.0,23207,19972,33754,76933.0
03-01-2020,427939,417692,239853,100991,1186483.0,23953,20849,35116,79918.0
04-01-2020,435348,420107,240847,93650,1189956.0,22737,19200,32644,74581.0
05-01-2020,429012,426919,249098,90843,1195871.0,23189,19164,32235,74588.0
06-01-2020,430556,404417,245899,106002,1186879.0,26338,22365,37411,86114.0
07-01-2020,425629,431003,244964,106052,1207653.0,26169,22309,37752,86230.0
08-01-2020,421531,434386,243094,107381,1206397.0,26326,22125,37299,85750.0
09-01-2020,447283,449229,250015,107439,1253974.0,25754,21897,36936,84587.0
10-01-2020,459584,450687,262366,103600,1276238.0,26282,21996,37055,85333.0
11-01-2020,424495,421906,252843,94944,1194191.0,24105,19676,33239,77020.0
12-01-2020,410015,389959,232406,92162,1124550.0,22581,19104,32854,74539.0
13-01-2020,449892,450607,255902,106557,1262959.0,25961,21804,37024,84789.0
14-01-2020,438903,445741,251345,107947,1243944.0,25602,22210,37450,85262.0
15-01-2020,434507,431705,247832,106719,1220761.0,25762,22053,36862,84677.0
16-01-2020,426953,436629,251533,106729,1221850.0,25880,21808,36893,84581.0
17-01-2020,422861,441818,254161,101732,1220574.0,25611,21983,36832,84426.0
18-01-2020,406756,403129,240466,92857,1143215.0,24102,19744,33838,77684.0
19-01-2020,418897,416392,235702,90964,1161955.0,22658,19182,32502,74342.0
20-01-2020,428801,446253,250977,105996,1232032.0,25857,21947,36897,84701.0
21-01-2020,421038,431188,241069,106809,1200111.0,25840,22222,37863,85925.0
22-01-2020,438972,450494,255031,105586,1250090.0,26314,22164,37145,85623.0
23-01-2020,440057,455493,263937,106250,1265744.0,26562,22187,37388,86137.0
24-01-2020,434371,429009,256147,101915,1221451.0,25945,22019,37354,85318.0
25-01-2020,419393,402717,247690,89886,1159693.0,23333,19556,33056,75945.0
26-01-2020,404508,393197,225042,89578,1112329.0,22373,19195,32476,74044.0
27-01-2020,435344,455805,237359,104847,1233358.0,25561,22034,37116,84711.0
28-01-2020,450115,450472,228040,107118,1235743.0,25940,22565,37914,86419.0
29-01-2020,452495,459175,225879,108346,1245905.0,26522,22625,37410,86557.0
30-01-2020,457643,461449,225875,108941,1253912.0,26595,22327,37191,86113.0
