Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2016,393811,393138,253018,80280,1120258.0,22911,18889,25070,66870.0
02-01-2016,420780,432857,269913,86591,1210155.0,25405,20584,26974,72963.0
03-01-2016,449122,456162,269226,90047,1264560.0,25528,21212,28763,75503.0
04-01-2016,499773,518798,297791,105833,1422208.0,29795,24468,32932,87195.0
05-01-2016,511110,526033,312776,108221,1458151.0,30573,25316,34521,90410.0
06-01-2016,525431,537973,318080,109280,1490773.0,31533,25799,35337,92669.0
07-01-2016,534342,570837,343148,108248,1556578.0,32043,26144,35781,93968.0
08-01-2016,532117,533371,336351,105402,1507250.0,32954,26491,35627,95072.0
09-01-2016,511449,498521,306685,92354,1409018.0,30352,23548,30968,84868.0
10-01-2016,488489,475488,300098,90759,1354842.0,29821,22225,29288,81334.0
11-01-2016,494320,503535,311743,101654,1411261.0,32144,24988,32666,89798.0
12-01-2016,497493,506270,303969,102911,1410651.0,31662,24869,32486,89017.0
13-01-2016,507107,540365,309821,103821,1461120.0,31109,24327,31582,87018.0
14-01-2016,526644,569023,308426,107618,1511719.0,31259,24329,31958,87546.0
15-01-2016,532789,578448,312098,107381,1530724.0,31015,24624,33268,88907.0
16-01-2016,507829,538233,303327,98034,1447424.0,27549,22846,30079,80474.0
17-01-2016,507294,527985,298157,96541,1429981.0,27084,21561,28811,77456.0
18-01-2016,532560,558201,326815,111246,1528828.0,29097,23898,31852,84847.0
19-01-2016,535284,553125,324529,110637,1523578.0,28863,24754,32479,86096.0
20-01-2016,539116,568783,328778,112217,1548906.0,29299,24670,32351,86320.0
21-01-2016,542203,573212,328734,114222,1558377.0,29862,25020,33582,88464.0
22-01-2016,530807,554212,333488,109920,1528447.0,30407,24715,33369,88491.0
23-01-2016,477770,486810,285551,97015,1347154.0,27490,22681,29914,80085.0
24-01-2016,454188,453564,262467,92176,1262400.0,26365,21865,28949,77179.0
25-01-2016,461638,483650,278387,103323,1327009.0,28488,23870,31897,84255.0
26-01-2016,446886,461675,273216,102269,1284057.0,28111,23697,31335,83143.0
27-01-2016,434821,458074,261632,100691,1255225.0,27529,23010,30784,81323.0
28-01-2016,441812,459411,264222,98876,1264324.0,27409,22391,30036,79836.0
29-01-2016,436023,456385,269945,100140,1262495.0,26976,21835,29148,77959.0
30-01-2016,423025,421213,244935,86743,1175922.0,23556,19231,25748,68535.0
31-01-2016,420532,427871,239260,89096,1176765.0,23049,18913,25066,67028.0
01-02-2016,463594,486248,264943,104054,1318796.0,26131,21664,29358,77153.0
02-02-2016,451866,473436,268677,102366,1296466.0,26775,21928,29071,77774.0
03-02-2016,453225,475178,267506,102675,1298858.0,26898,22093,29103,78094.0
04-02-2016,464635,486534,271899,103170,1326222.0,26899,22366,30058,79323.0
05-02-2016,468288,483641,275867,102393,1329706.0,26864,21884,28932,77680.0
06-02-2016,420266,422917,259852,88024,1191133.0,24046,19590,26463,70099.0
07-02-2016,404398,395654,239991,84961,1125626.0,22993,18987,24843,66823.0
08-02-2016,432877,446227,255839,100308,1235143.0,26080,21679,29067,76826.0
09-02-2016,434195,447052,255965,102275,1239503.0,25648,21901,28884,76433.0
10-02-2016,442413,472479,252775,105375,1264318.0,25860,22273,29468,77601.0
11-02-2016,457098,466552,252227,104311,1280198.0,26208,22520,30305,79033.0
12-02-2016,472144,475975,260936,101391,1310460.0,26034,21965,29384,77383.0
13-02-2016,456276,448446,245584,91271,1241587.0,23019,19612,25728,68359.0
14-02-2016,458553,448709,239865,89279,1236993.0,22673,19286,25476,67435.0
15-02-2016,495689,510792,261172,102962,1370621.0,25784,21872,27813,75469.0
16-02-2016,492597,504965,265631,104074,1367277.0,26338,22260,25286,73884.0
17-02-2016,467277,490743,265646,103330,1326148.0,26308,22194,28951,77453.0
18-02-2016,472798,504724,265189,105596,1337139.0,26940,22816,29503,79259.0
19-02-2016,464786,487992,265657,100505,1303997.0,26462,22533,29985,78980.0
20-02-2016,434528,455251,248032,85808,1206889.0,23559,20192,27036,70787.0
21-02-2016,424264,428945,242117,82586,1164592.0,22810,19590,25993,68393.0
22-02-2016,457191,476228,262975,95460,1275692.0,25740,21997,29727,77464.0
23-02-2016,459011,482265,264039,97839,1288086.0,24785,21912,29744,76441.0
24-02-2016,456167,485086,262832,100029,1290963.0,22384,22001,29895,74280.0
25-02-2016,462529,489577,261725,101972,1301466.0,24986,21920,29912,76818.0
26-02-2016,454288,480943,269715,97465,1287746.0,25154,21817,29336,76307.0
27-02-2016,434837,449688,258279,89543,1219649.0,22638,19252,26307,68197.0
28-02-2016,428176,448231,245553,89174,1197196.0,21976,18832,25682,66490.0
29-02-2016,467754,503601,268050,103099,1326751.0,25463,21809,29603,76875.0
01-03-2016,468967,486994,262262,102714,1320948.0,26096,21864,29918,77878.0
02-03-2016,466987,480415,263285,104020,1314715.0,26329,21870,29994,78193.0
03-03-2016,462235,471869,270486,103402,1307988.0,26362,21865,30058,78285.0
04-03-2016,449329,464679,268568,100953,1283536.0,25792,21622,30227,77641.0
05-03-2016,423564,426882,246959,88282,1185693.0,23101,19439,26562,69102.0
06-03-2016,419594,435732,237945,89067,1182349.0,22252,18918,25426,66596.0
07-03-2016,448206,473517,255985,102821,1280540.0,25423,21659,29560,76642.0
08-03-2016,447358,462297,255502,104035,1269172.0,25733,22231,30313,78277.0
09-03-2016,444595,458952,252172,101337,1257068.0,25149,21919,29746,76814.0
10-03-2016,438730,459022,252240,102824,1252814.0,25466,21680,28730,75876.0
11-03-2016,438989,447424,256818,100167,1243414.0,25453,21730,25716,72899.0
12-03-2016,416639,415044,244684,89873,1166250.0,22194,19176,25750,67120.0
13-03-2016,399547,410299,239545,87373,1136772.0,22165,18872,24790,65827.0
14-03-2016,410448,434946,250753,99796,1195953.0,24754,21470,29716,75940.0
15-03-2016,395605,418225,242937,97922,1154706.0,25041,21662,30020,76723.0
16-03-2016,395497,416093,234869,97614,1144072.0,24992,21611,29666,76269.0
