Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2015,384768,376407,225827,86554,1073572.0,20635,17523,22845,61003.0
02-01-2015,399788,399194,241504,96446,1136935.0,22421,19196,25494,67111.0
03-01-2015,408319,410298,237890,91213,1147728.0,22417,18858,24528,65803.0
04-01-2015,419646,422985,244148,89668,1176460.0,23106,19485,24773,67364.0
05-01-2015,455799,465652,285065,104662,1311176.0,27011,22978,29617,79606.0
06-01-2015,440289,445645,289062,106717,1281722.0,28213,24263,31342,83818.0
07-01-2015,432585,471200,281907,106226,1291928.0,29009,24395,31319,84723.0
08-01-2015,424852,450537,265801,108854,1250056.0,28409,24230,30985,83624.0
09-01-2015,444703,457669,265908,107096,1275378.0,26543,23571,29635,79749.0
10-01-2015,430242,432201,256958,96235,1215647.0,23867,21533,26770,72170.0
11-01-2015,424704,450117,266791,94813,1236433.0,23737,20205,24985,68927.0
12-01-2015,457952,493823,294258,109097,1355341.0,27416,22861,29143,79420.0
13-01-2015,443683,462632,284256,104271,1294843.0,26737,22191,28955,77883.0
14-01-2015,445351,469095,269793,109060,1293303.0,26313,22277,29097,77687.0
15-01-2015,443725,468939,263251,110764,1286689.0,26126,22332,29450,77908.0
16-01-2015,430045,444371,265850,105687,1245959.0,26400,22241,29127,77768.0
17-01-2015,413755,401854,244282,91692,1151598.0,23147,19884,26290,69321.0
18-01-2015,418722,419722,239260,91290,1169001.0,22668,19126,25761,67555.0
19-01-2015,468659,478718,270558,107178,1325123.0,25803,22581,30792,79176.0
20-01-2015,471586,485695,285678,109570,1352535.0,26491,23058,30791,80340.0
21-01-2015,469048,485183,293913,109581,1357734.0,27070,23537,30903,81510.0
22-01-2015,482854,483854,300367,107947,1375033.0,27761,23419,30821,82001.0
23-01-2015,490249,490124,298229,106146,1384750.0,27225,23220,30707,81152.0
24-01-2015,440044,451071,269369,96378,1256859.0,24333,20824,27476,72633.0
25-01-2015,433412,429149,250863,91244,1204680.0,23706,20412,26525,70643.0
26-01-2015,442783,472795,265816,106935,1288331.0,26753,22828,30331,79912.0
27-01-2015,442273,473528,260816,106604,1283232.0,27032,23009,30457,80498.0
28-01-2015,427775,464790,262832,108672,1264075.0,26944,22831,30592,80367.0
29-01-2015,436598,468762,264989,109939,1280297.0,26973,22524,29947,79444.0
30-01-2015,440856,467452,267572,106325,1282212.0,26144,22371,29315,77830.0
31-01-2015,424333,439884,252208,93667,1210102.0,23495,20319,26641,70455.0
01-02-2015,432747,435131,244452,92578,1204925.0,23026,19573,25087,67686.0
02-02-2015,473892,497375,268365,107995,1347640.0,25927,22173,28983,77083.0
03-02-2015,482624,505155,271208,109037,1368038.0,26129,22593,29981,78703.0
04-02-2015,490941,506785,271087,110103,1378917.0,27000,23280,29857,80137.0
05-02-2015,493108,499654,271479,108743,1372994.0,27614,23343,30325,81282.0
06-02-2015,464895,473635,268450,105077,1312064.0,27008,23509,29411,79928.0
07-02-2015,430297,421634,247095,93247,1192281.0,15539,20304,26263,62106.0
08-02-2015,428318,429373,250161,91938,1199793.0,23349,19582,25165,68096.0
09-02-2015,432367,444395,273689,101863,1252320.0,26644,22664,29881,79189.0
10-02-2015,421642,437893,251322,101929,1212796.0,25658,22102,29839,77599.0
11-02-2015,428323,446016,250244,103510,1228102.0,25639,22712,30245,78596.0
12-02-2015,440455,448849,257686,104364,1251353.0,26317,22525,29899,78741.0
13-02-2015,441799,452771,265408,102452,1262438.0,25768,22499,29396,77663.0
14-02-2015,413030,420640,249934,91664,1175283.0,23360,19934,25930,69224.0
15-02-2015,410497,417480,258115,92214,1178315.0,22822,19133,24368,66323.0
16-02-2015,443839,479463,278025,106862,1308200.0,26343,22275,24238,72856.0
17-02-2015,438597,478767,272104,106472,1295954.0,26561,22401,28337,77299.0
