ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Median AIC
"(3, 3, 0)",3776.969550001941,3807.9358951444246,3882.017341420815,3803.1830859860406,3745.778438214289,3599.249651134959,3691.2202181043067,3741.63000064892,3845.649060634515,3731.3982043689084,3797.4144487587005,3814.9522653886806,3787.191999380321
"(3, 3, 1)",3692.7257558122355,3652.071838280145,3758.1054957601054,3679.2794184251225,3572.857466472945,3478.18512965078,3544.2142981729235,3671.131752234248,3742.564463290545,3561.2242874614763,3670.7714719750547,3713.7456869088437,3670.9516121046513
"(3, 3, 2)",3692.353351600709,3652.5817368533417,3752.9764585626554,3678.731343921996,3582.410538250701,3484.408881607518,3544.4798589314805,3671.8489271246076,3743.968507045375,3567.768945646738,3670.852769101476,3715.4295667784045,3671.350848113042
"(3, 3, 3)",3687.6544081955935,3653.1172636631027,3758.092176886332,3681.3285012026026,3576.5548072817282,3481.1759368823086,3545.006668436856,3670.9766300746996,3744.078256416577,3563.7520867116436,3674.605390266457,3714.3204950676136,3672.7910101705784
"(3, 3, 4)",3692.4927164420988,3653.98324360701,3740.9846602691596,3682.6876896863514,3582.8919515032308,3496.1778002892706,3541.9886346583685,3671.924860216276,3745.188676084379,3566.9951150649244,3675.4396217027866,3717.161730089145,3673.6822409595316
"(3, 4, 0)",3887.4741192044676,3964.530104167071,3981.1996468506786,3911.9670672175175,3887.5705987614183,3759.1961882415044,3828.730286617286,3846.583647477453,3954.8010230122436,3876.230607671599,3889.097763317515,3914.2906177236255,3888.334181039467
"(3, 4, 1)",3746.8396405133835,3727.024231821651,3844.2516998149704,3756.9071674563393,3657.656520400632,3538.0926141368195,3619.7781483482922,3724.6375566670777,3809.8555049754923,3645.967851481196,3753.194963787376,3781.2720822301753,3736.931936167517
"(3, 4, 2)",3739.9889953572338,3722.348497801874,3840.257916937323,3754.3688387431976,3657.86591057283,3537.789571065799,3615.1413582702485,3720.1739814714283,3807.9528939145293,3646.786047433208,3776.8438367280423,3778.0375697134996,3731.168746579554
"(3, 4, 3)",3740.670293337373,3720.975163780038,3835.0625524731167,3753.6001207217714,3654.4353350672623,3535.4007005818203,3611.8507911975043,3725.5529587975043,3809.86493967401,3641.2285854066376,3751.9214208364237,3780.2825820975613,3733.111626067439
"(3, 4, 4)",3756.931077173262,3720.9151721651124,3832.9362374638904,3756.0096348437646,3656.5926680350794,3535.328758086735,3615.3991600305317,3736.4509656279392,3810.1335984138304,3642.091033167044,3754.489074214498,3781.2926980261373,3745.4700199212184
"(4, 0, 0)",3710.9110713149066,3668.3346699450444,3781.585097121143,3709.044707412354,3573.946051391134,3481.2274569606216,3566.527526775252,3685.7439616220745,3770.524373950234,3565.188630446457,3713.9974447093496,3750.110056562252,3697.3943345172142
"(4, 0, 1)",3714.9540969248674,3665.6298884046064,3783.5382907733224,3709.736218477168,3574.2930501227925,3485.016295360214,3567.390990814705,3688.344218123503,3767.70526397224,3569.61479443572,3711.2504373910615,3745.6339833481443,3699.0402183003357
"(4, 0, 2)",3703.2597035925173,3665.576183582446,3785.3625013977326,3701.7438985530835,3570.5656204343622,3463.4325335979224,3561.9639199641133,3681.1287031967504,3739.4516282896857,3562.5352993944643,3686.4894929871166,3707.4931392178187,3683.8090980919333
"(4, 0, 3)",3699.586895535849,3654.1343990242985,3779.8498765405766,3706.560205690166,3566.3579295492355,3469.7176184919626,3560.4730886446246,3669.695301852159,3750.6473431548657,3558.0435535889146,3689.926901735369,3716.703786489774,3679.811101793764
