ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Mean AIC
"(1, 3, 2)",3682.745023715453,3806.2296753906503,3884.0307678432437,3814.7019663432548,3694.304310041958,3619.99968082863,3486.2458269345607,3660.798189669569,3751.9213956365365,3557.5961011498894,3703.071671907076,3719.2513371662003,3698.4079955522516
"(1, 3, 3)",3684.7170618161076,3633.0627491283826,3743.3176267124095,3660.8485609725108,3543.5951279981496,3476.805360147106,3486.4787477888285,3655.210594421591,3761.636077249176,3541.615868888076,3708.14836405967,3724.847464465958,3635.0236336373305
"(1, 3, 4)",3674.187975391749,3633.3877878128446,3742.9783295063635,3658.117372989527,3533.7978101963336,3476.6764812752963,3485.5896444594823,3653.2945021635355,3756.1501993068773,3544.2404605670254,3713.7202637235314,3726.622823510392,3633.2303042419135
"(1, 4, 0)",3901.724851532911,3913.3324296482515,3992.6905190087105,3929.034963483289,3879.1464058074334,3749.1088377296924,3773.283464025142,3878.620446273567,4007.3304186094483,3892.6069571413364,4036.446524226465,4064.967013592325,3918.191069256547
"(1, 4, 1)",3730.783712020483,3729.0401373388518,3814.064934053594,3756.5947285067014,3679.0690528333885,3545.703597126171,3596.404274467403,3716.3920426216814,3821.2004011687386,3613.6500814148153,3773.368705230556,3801.2156740303435,3714.790611734394
"(1, 4, 2)",3751.1891246305877,3718.0902490089184,3816.7393669926855,3735.380445640401,3632.2759313231636,3542.563488803682,3553.288087340891,3706.079716134166,3817.4196261739735,3677.588085128248,3817.8403812427105,3812.757733905417,3715.101019693737
"(1, 4, 3)",3735.290629911008,3716.0432419589583,3844.3116142627023,3738.057631346279,3632.39205334464,3545.4003543400077,3563.235145677268,3716.327159349151,3833.2837626084556,3624.130725685014,3798.1377640667174,3795.43825772574,3711.837361689662
"(1, 4, 4)",3735.6574946346627,3704.4861242107027,3793.2087509124535,3709.938523498484,3619.0960839624286,3559.626963148311,3560.002945292219,3708.271079563985,3821.7375994393333,3602.4991120185914,3804.2513606623907,3802.4774524164795,3701.771124146671
"(2, 0, 0)",3790.6635697956935,3775.5762936643014,3816.334284996374,3723.7217572033014,3605.4328769861886,3488.2784937958895,3565.8111492692374,3709.232287299518,3792.4344477888335,3585.0919604588953,3737.989541387986,3789.927650281503,3698.37452607731
"(2, 0, 1)",3786.75877809564,10.0,3824.6378393030836,3727.53284439236,3605.6426782197605,3489.02146832622,3564.933786842029,3693.378263163897,3790.046853425317,3586.9481914117014,3739.9258359201167,3792.8156519521935,3384.3035159210267
"(2, 0, 2)",3791.947383929304,3829.674007387781,3816.577904037665,3729.1553472681944,3599.3649010658683,3491.5972376920554,3565.0413543150444,3694.649876031282,3788.1029771668423,3583.4500713532016,3740.398438394087,3795.5923489967918,3702.1293206365094
"(2, 0, 3)",3809.5722561832663,3787.6734299880954,3824.0984697229696,3729.426552446617,3609.7537528874536,3492.10522642051,3565.400506850221,3694.872756888648,3787.188315671091,3583.175842997958,3727.7933429146415,3789.537288574354,3700.0498117954853
"(2, 0, 4)",3793.4720521993654,3803.4013924295054,3822.693962210411,3725.6613494681296,3575.549548169156,3473.506298492213,3563.0940311122213,3694.4382034137225,3753.098220300427,3585.2846373629845,3725.9444773828645,3770.6536202421603,3690.5664827319306
"(2, 1, 0)",3916.297372014121,3747.101374160745,3928.0023885504356,3870.555543491995,3621.8335651710795,3590.043441525877,3675.892599600269,3880.0365928955744,4002.6872531950507,3636.1755690941463,3842.885772133793,4011.2752561980165,3810.2322273359246
"(2, 1, 1)",3933.968074604842,3765.6683789892713,3883.7757551270697,3910.6498304801457,3648.8467308902,3600.194939693317,3711.657520143611,3900.2765811463155,3918.233953997588,3649.6903132034568,3916.574520057503,4062.4464437745482,3825.165253508989
"(2, 1, 2)",3946.8661181111956,3739.3602380072116,3963.6163300449152,3919.788342886748,3613.514284649149,3590.7573798623366,3715.3531783867966,3921.869337749277,4030.6278058537837,3610.9911103628788,3921.8326660335824,4069.9712216766275,3837.045667802042
"(2, 1, 3)",3960.1990989533133,3747.133797725709,3951.338212625781,3914.7486080570134,3594.232006683701,3582.3372401707893,3720.5914764507465,3914.4108079531065,4018.96247641716,3610.4982213825688,3914.86152334268,4052.1944787488683,3831.79232904262
"(2, 1, 4)",3954.3636519350275,3717.439811195519,3949.968540589407,3898.8813443402582,3604.426514412744,3581.588956963824,3748.0014836537957,3898.653768929772,4024.0560878009614,3609.372679425778,3904.508743377234,4049.653104275581,3828.4095572416586
"(2, 2, 0)",3692.8598952108878,3657.098668373548,3750.271718874511,3682.344659893411,3582.8653229039423,3466.3901849499343,3503.2872381349953,3669.645407969817,3763.460193549723,3520.847061826401,3705.7966325050534,3734.525206529999,3644.1160158935186
"(2, 2, 1)",3693.940862228954,3648.29614525955,3752.1740324281263,3671.941157356234,3560.438059675484,3466.2749173960665,3491.6480314020505,3667.577427139347,3761.7261252949434,3517.9064797598585,3706.683766214454,3728.827189642947,3638.9528494831684
"(2, 2, 2)",3693.312633504231,3635.3776310228714,3750.634371260974,3667.316764549234,3584.6067613892355,3465.4343180663755,3488.9998179979702,3669.562424922903,3763.944347666986,3520.190953483455,3709.961090011923,3740.5736829098764,3640.826233065503
"(2, 2, 3)",3706.9484842341353,3633.717965830496,3751.1188192301925,3662.478336695375,3549.8610978320667,3467.735602547903,3492.3936038791426,3669.192055675359,3764.7426812306576,3516.279208951896,3711.6410669134393,3731.559828826725,3638.139062653949
"(2, 2, 4)",3694.1682464233254,3630.3318461026115,3753.416624111814,3667.8720670340776,3549.037301507017,3471.458130966952,3493.518608302903,3663.5788523050887,3766.6304182409567,3524.041123907781,3712.5084153525777,3733.6092328176974,3638.347572256067
"(2, 3, 0)",3754.662739154156,3785.3836129691485,3860.7272140693285,3815.6566090387587,3762.8223610531713,3599.8814879664637,3638.258525896297,3749.3493321049837,3882.3960401358136,3668.7447970021094,3840.3773194876335,3807.769889249022,3763.8358273439076
"(2, 3, 1)",3678.6936092977426,3641.108464875554,3743.1134926247287,3666.493702453707,3549.5315157697955,3476.756393234324,3494.352947252787,3657.855761832661,3752.2508819201703,3544.078118547018,3695.636581851244,3726.17720785636,3635.5040564596743
"(2, 3, 2)",3684.6559319218386,3633.9270732855,3738.9493517541614,3658.1887069405193,3813.0452321509315,3479.550309955521,3486.825681401263,3654.983069290246,3750.5879527658753,3558.394708530347,3696.6002194595158,3719.32810612664,3656.253028631863
"(2, 3, 3)",3676.3156559430586,3620.859357766749,3740.662314518535,3657.875198964795,3543.0765914562244,3478.6862059448467,3498.564106638124,3663.059849448322,3758.106612196631,3544.6484423443844,3703.8238752015013,3748.504037069277,3636.181853957705
"(2, 3, 4)",3674.5469294318927,3626.0582901579814,3742.858180877801,3661.491107182879,3549.1789704802654,3480.8411047611016,3489.3816548954883,3651.4273091666614,3754.4169986019624,3546.198288256692,3701.4324742021627,3722.138872691935,3633.330848392235
"(2, 4, 0)",3884.3993140528423,3961.4650202103007,3994.9874384484597,3964.081200469902,3863.693519843613,3785.1508626142877,3832.535190689392,3897.333874141462,4045.5439368099305,3856.722040613715,4002.0692154321796,3946.9630218825773,3919.5787196007223
"(2, 4, 1)",3736.7000198713986,3718.217529273312,3826.746420890755,3741.7914984983045,3633.5346031649096,3545.5218750558033,3554.1946355770797,3712.9255141137273,3821.601618209952,3603.271697471195,3776.0428470131606,3783.07779734575,3704.4688380404446
"(2, 4, 2)",3726.6809683936845,3748.261588171422,3819.917556075049,3741.711968656827,3643.726420332797,3549.6000283452568,3557.176391867658,3706.1559507127067,3818.634373959677,3605.9567874206004,3786.551225894549,3778.5662880390464,3706.9116289891062
"(2, 4, 3)",3732.9023475947215,3726.799800717631,3839.2165658784616,3739.800754093795,3633.895596864934,3565.0295836486275,3577.649302217773,3713.3935921172797,3847.4110252835744,3655.7425474328934,3823.7156087528183,3789.85495047772,3720.4509729233528
"(2, 4, 4)",3735.6492590034013,3701.090558910066,3815.6427720914226,3737.3940377246768,3622.2017886819976,3542.218237078498,3581.7234238147294,3710.9008707865164,3822.668745649101,3601.595455301339,3791.3965811541075,3786.8221011916908,3704.108652615628
"(3, 0, 0)",3787.588225622,3764.600943681674,3821.655309744542,3725.3915283311426,3607.0061185662576,3489.4021698082306,3566.097246457418,3690.253377091266,3791.4956284805558,3587.033090278754,3739.904995627372,3791.0984411848385,3696.7939229061717
"(3, 0, 1)",3787.5617999820897,3772.862583098653,3826.491418206724,3726.1852027851637,3606.611513448451,3490.845017240755,3567.4397725765884,3687.8751236121543,3787.33120635498,3591.638352092968,3737.067776556438,3790.384152907168,3697.6911599051778
"(3, 0, 2)",3827.3660646077383,3841.4704360596716,3825.645667263798,3730.8536458327726,3612.182897429519,3490.5753631589414,3573.472556195774,3697.2544393784146,3789.124696680862,3585.9597755105706,3738.243923369935,3796.013383204264,3709.0135707243553
"(3, 0, 3)",3801.7323310839793,3793.069882418522,3829.097825313793,3743.3089610884713,3594.4939333843486,3478.82408858869,3572.254404059197,3679.12690287208,3765.274735777159,3613.2035457539732,3716.7289739662797,3764.20246693605,3695.9431709368782
"(3, 0, 4)",3802.2538947360263,3753.5616639615096,3816.096942001931,3722.6213057524037,3595.430153427621,3465.622064904319,3562.104182983765,3667.722290581398,3754.9751115231206,3572.6556818078425,3715.3045350726898,3764.3420454947172,3682.7241560206116
"(3, 1, 0)",3933.9923155866954,3727.0333047985596,3947.521968272039,3892.3894036492698,3596.128659228032,3595.5157538790527,3702.5490314762305,3889.5389787297227,4013.700439010495,3649.8224162331567,3909.891196200344,4029.705395287655,3823.982405195937
"(3, 1, 1)",3934.264897345801,3721.7466669473697,3950.3711325376294,3904.7224350658003,3594.322858407165,3576.375290624801,3713.133305702826,3805.437431448121,3920.564660278759,3652.6262564757917,3911.960746204729,3921.8937561910298,3800.618286435818
"(3, 1, 2)",3950.7650086213007,3727.6292317589814,3952.6361527611707,3912.0021271302135,3592.52702110559,3577.6470266298047,3729.3385247345227,3911.3658883134085,4073.0829690611154,3606.0903419804845,3957.640775203088,4125.949085722425,3843.0561794185082
"(3, 1, 3)",3970.947738889575,3750.20787819053,3962.477364574328,3928.1045656583187,3595.5280894728294,3609.2153363739844,3736.529641025713,3944.1424820375187,4022.3031779695775,3609.134362786649,3914.4547094177346,4053.673116350379,3841.393205228928
"(3, 1, 4)",3958.0945178839256,3732.488896858684,3953.292176860272,3900.3499320380415,3604.7717151776205,3583.922244384101,3750.6334386584494,3889.538706439117,4039.206367566973,3610.9661914935987,3892.779265343317,4052.6844296120976,3830.7273235263506
"(3, 2, 0)",3692.1627543522395,3635.324177242129,3752.0034611374267,3663.6435581571777,3541.615205441667,3465.1744592821847,3487.2383545931257,3666.8329787395282,3760.75485405948,3518.468712051773,3706.851196813236,3728.2761211941406,3634.8621527553423
"(3, 2, 1)",3692.604981318109,3629.3232572762827,3747.7722912799045,3665.1346977480075,3542.1235830326814,3467.0746704954054,3489.2513822572205,3668.8545550261533,3762.7386485232146,3519.826700675071,3708.8203212681774,3729.978922394077,3635.292000941192
"(3, 2, 2)",3696.7720359818472,3644.386956159842,3755.190026147695,3667.0062601702402,3544.985626874146,3468.941503449739,3491.605019440195,3660.8719339413656,3765.4139773833595,3522.781636359239,3711.742601641547,3733.124906524433,3638.568540339471
"(3, 2, 3)",3707.0187557196723,3633.0411014397955,3754.949399809735,3666.089257712867,3553.1996771245376,3485.2872594714536,3496.2046889685926,3678.1782219981624,3767.4303217345596,3524.214698488481,3713.7509909937808,3728.5668065172194,3642.327598331571
"(3, 2, 4)",3697.438987359675,3630.29499685487,3757.0834798467986,3670.7208622102,3551.5772181701104,3471.1732863699654,3495.250669511822,3670.1966431545957,3768.742827604945,3526.115845536324,3709.487624575536,3735.493466404171,3640.297992299918
"(3, 3, 0)",3757.1729793249897,3778.6971014594196,3858.8262823063696,3780.3389653463423,3733.892222473012,3598.260764276674,3604.459518911717,3729.8361618908734,3855.693285543325,3681.398269172061,3836.02183420409,3810.784168974227,3752.115129490258
"(3, 3, 1)",3679.6083999783195,3626.926074366804,3744.881129094023,3655.222974528707,3535.5571631763555,3475.5183983569214,3485.299288685249,3653.1680506149123,3750.3122128776695,3541.8782109023573,3697.0170801929225,3719.8459694035464,3630.4362460148154
"(3, 3, 2)",3678.9928262677327,3621.8708305741984,3738.652785303919,3653.2120193370006,3547.5513380678813,3483.289359761504,3485.3517798376897,3655.291654558131,3751.7249578427272,3562.5566610418173,3698.649407545389,3720.3961680733287,3633.1283156842765
"(3, 3, 3)",3676.459896940215,3624.0666776700946,3742.579845440977,3659.52025896543,3547.7585144578256,3479.202101719732,3497.8940925978413,3656.6124157297063,3759.0429280061335,3547.092390463031,3703.4641269982126,3761.41303228153,3637.9255234392276
"(3, 3, 4)",3678.1241813335746,3623.561565482002,3742.008637846664,3659.60475011596,3547.835929996989,3486.885093029457,3486.6728125813365,3661.2017866243687,3753.036289874118,3550.882723360129,3704.2729578437065,3723.0682916416035,3634.7629183108256
"(3, 4, 0)",3864.8046604591837,3884.8601814228587,3959.0454522040636,3898.503471633886,3898.5123215687995,3747.8212871889627,3747.5869055292287,3835.981326560516,3964.4135275008016,3853.946156770868,3928.349406135051,3913.621223980469,3874.7871600795575
"(3, 4, 1)",3735.8196096872834,3720.2050099860376,3828.72841758256,3739.508614841778,3633.6164146596866,3547.5217379364203,3562.271223210492,3711.7888797160954,3820.5751923093276,3604.9163988170294,3777.430131256494,3784.9513730311137,3705.611083586193
"(3, 4, 2)",3728.5862230589555,3723.1221146110115,3821.5230461731126,3745.933238824541,3644.55585629104,3548.623453878192,3563.6459460702645,3709.261105577296,3824.558422957142,3605.1253425897467,3788.3974510375697,3781.6597454135267,3707.0826622068666
"(3, 4, 3)",3732.2152603154536,3704.408609209606,3815.3542192590303,3735.733632505929,3633.866838946924,3543.6621102053077,3558.0441842889877,3715.587422576559,3817.917457820883,3601.526515110122,3779.234690740984,3783.773691501936,3701.7770527068096
"(3, 4, 4)",3746.7064913143513,3703.9664934045563,3818.0799811902034,3739.1654549497225,3622.64686687791,3569.564488259588,3551.9554185309516,3714.074955537621,3823.087265528945,3602.3044782294724,3786.6236312397427,3784.5100836942147,3705.2238007297733
"(4, 0, 0)",3789.553222075965,3775.2719187916964,3824.0751938269077,3727.354566866552,3599.754895656458,3489.7614960095348,3570.8358715522013,3692.2488008254213,3791.63319643368,3582.476465727007,3739.600021877455,3794.842802731287,3698.11737103118
"(4, 0, 1)",3790.033195064649,3772.3850440626466,3826.3529795093973,3730.264543770002,3601.742488604049,3492.301878296168,3565.1758474375665,3695.117269848851,3787.692279936058,3591.6325237361007,3733.9298081746765,3792.191105944762,3698.2349136987436
"(4, 0, 2)",3779.5498528832013,3800.7300214799234,16.0,3721.2042072333315,3584.8253162193323,3477.3902131218247,3563.0714154196553,3688.1733259875346,3759.3662187077543,3578.5974259547966,3713.1670239553673,3772.135806464426,3371.184235618928
"(4, 0, 3)",3807.6365531265046,3807.2312583230987,3814.162458341576,3729.19731964572,3613.8544398666,3477.3340527099817,3558.397536990909,3675.914002327957,3767.61956432252,3600.4192638457494,3700.1404433342686,3778.5710632673854,3694.206496341856
"(4, 0, 4)",3781.70083076589,3742.5893895889394,3818.6912068719325,3725.1212561978828,3588.3643118112423,3454.835973536521,3548.1485461183283,3666.1526160705635,3745.461735697911,3574.0602672935293,3717.2364665420773,3762.449443643329,3677.0676703448457
"(4, 1, 0)",3952.118374460848,3726.8070986925995,3951.2711033157443,3908.4648189804693,3595.7357842871443,3596.035898521141,3718.441419402784,3913.670816134707,4036.7220373846344,3648.7499818680617,3923.838499996761,4068.241288307935,3836.674760112736
