Period,mape,smape,mae,rmse
140.000,9.722,8.809,2.930,4.139
141.000,11.258,10.111,3.405,4.633
142.000,12.645,11.374,3.861,4.998
143.000,14.677,13.151,4.500,5.565
144.000,19.387,16.691,5.628,7.008
145.000,22.635,19.322,6.535,7.806
146.000,41.652,27.682,8.469,10.481
147.000,43.385,28.387,7.996,10.240
148.000,47.212,31.392,8.909,10.832
149.000,51.800,34.575,10.076,11.652
150.000,50.791,34.345,9.907,11.288
151.000,34.655,23.583,6.071,8.131
152.000,36.137,24.620,6.430,8.400
153.000,37.858,26.054,6.862,8.598
154.000,32.995,22.666,5.700,7.653
155.000,34.773,24.034,6.148,7.931
156.000,28.320,19.292,4.589,6.829
157.000,23.710,15.915,3.539,6.070
158.000,20.176,14.809,3.227,4.912
159.000,19.861,14.043,3.014,5.039
160.000,21.299,24.179,6.194,6.601
161.000,20.615,23.249,6.018,6.328
162.000,20.780,23.304,6.111,6.247
163.000,9.359,9.903,2.785,3.020
164.000,8.646,9.094,2.585,2.795
165.000,7.313,7.614,2.177,2.356
166.000,4.996,5.118,1.479,1.735
167.000,4.586,4.676,1.356,1.615
168.000,4.945,4.810,1.330,1.675
169.000,4.883,4.711,1.293,1.695
170.000,4.939,4.742,1.295,1.734
171.000,5.149,4.943,1.351,1.769
172.000,5.283,5.204,1.425,1.754
173.000,5.684,5.652,1.555,1.830
174.000,6.503,6.549,1.805,2.024
175.000,9.370,9.792,2.688,2.853
176.000,6.680,6.824,1.874,2.164
177.000,6.135,6.208,1.710,2.174
178.000,6.471,6.494,1.814,2.347
179.000,7.700,7.896,2.262,2.836
180.000,8.378,8.574,2.518,3.124
181.000,10.436,11.041,3.297,3.983
182.000,15.256,16.726,4.973,5.496
183.000,13.812,15.060,4.645,5.232
184.000,13.501,14.680,4.630,5.174
185.000,12.921,13.993,4.520,5.023
186.000,12.100,13.025,4.309,4.747
187.000,13.403,14.458,4.800,5.076
188.000,12.735,13.664,4.606,4.807
189.000,11.380,12.127,4.158,4.343
190.000,11.282,11.985,4.144,4.234
191.000,9.356,9.844,3.471,3.574
192.000,8.555,8.961,3.201,3.293
193.000,7.544,7.878,2.854,3.038
194.000,6.653,6.944,2.538,2.866
195.000,5.322,5.601,2.032,2.759
196.000,5.181,5.497,1.953,2.879
197.000,5.828,6.202,2.218,3.172
198.000,6.767,7.213,2.593,3.489
199.000,7.551,8.044,2.906,3.683
200.000,8.489,9.047,3.281,3.940
201.000,9.243,9.844,3.586,4.103
202.000,9.846,10.475,3.823,4.204
203.000,9.881,10.495,3.846,4.165
204.000,10.042,10.644,3.920,4.135
205.000,9.101,9.599,3.557,3.769
206.000,8.093,8.488,3.164,3.365
207.000,5.786,5.997,2.256,2.508
208.000,4.488,4.595,1.745,1.951
209.000,3.334,3.312,1.276,1.477
210.000,4.039,3.940,1.466,1.798
211.000,4.061,3.911,1.456,1.968
212.000,4.399,4.241,1.580,2.024
213.000,4.961,4.783,1.777,2.176
214.000,6.399,6.091,2.261,2.802
215.000,7.443,7.058,2.617,3.133
216.000,8.573,8.102,2.963,3.403
217.000,10.055,9.462,3.479,3.810
218.000,8.759,8.279,2.982,3.378
219.000,7.946,7.536,2.683,3.109
220.000,8.444,8.017,2.862,3.181
221.000,7.192,6.875,2.428,2.751
222.000,7.358,7.043,2.485,2.763
223.000,7.051,6.774,2.385,2.632
224.000,6.135,5.959,2.093,2.315
225.000,8.137,7.760,2.770,3.012
226.000,7.757,7.416,2.644,2.860
227.000,5.725,5.518,1.948,2.217
228.000,3.064,3.018,1.045,1.255
229.000,2.606,2.589,0.896,1.131
230.000,2.894,2.891,1.000,1.182
231.000,3.584,3.506,1.220,1.413
232.000,2.927,2.879,0.999,1.202
233.000,3.274,3.239,1.124,1.299
234.000,3.691,3.698,1.279,1.496
235.000,3.391,3.443,1.192,1.460
236.000,3.689,3.774,1.298,1.588
237.000,4.472,4.620,1.575,1.919
238.000,5.397,5.603,1.900,2.223
239.000,4.608,4.754,1.613,1.908
240.000,4.252,4.361,1.474,1.717
241.000,4.210,4.275,1.432,1.592
242.000,4.365,4.454,1.482,1.654
243.000,5.073,5.227,1.716,1.916
244.000,6.395,6.650,2.143,2.345
245.000,6.930,7.136,2.237,2.371
246.000,6.021,6.144,1.893,2.025
247.000,5.752,5.889,1.787,2.257
248.000,6.139,6.324,1.907,2.715
249.000,8.203,8.634,2.637,3.325
250.000,8.388,8.839,2.708,3.459
251.000,7.572,7.912,2.407,3.224
252.000,7.395,7.672,2.330,3.110
253.000,8.045,8.361,2.549,3.228
254.000,8.919,9.312,2.858,3.437
255.000,9.169,9.541,2.950,3.446
256.000,10.332,10.829,3.360,3.734
257.000,9.881,10.281,3.205,3.566
258.000,10.005,10.362,3.220,3.529
259.000,14.043,15.197,4.706,4.912
260.000,11.283,12.021,3.798,3.966
261.000,5.667,5.862,1.907,2.060
262.000,2.790,2.833,0.928,1.073
263.000,3.104,3.154,1.041,1.166
264.000,2.679,2.707,0.904,1.163
265.000,4.123,4.237,1.425,1.639
266.000,4.507,4.632,1.561,1.721
267.000,4.129,4.252,1.497,1.837
268.000,3.764,3.873,1.373,1.742
269.000,3.503,3.601,1.293,1.675
270.000,3.745,3.830,1.383,1.719
271.000,4.166,4.241,1.527,1.801
272.000,3.469,3.506,1.287,1.619
273.000,3.338,3.359,1.241,1.559
274.000,3.508,3.535,1.306,1.601
275.000,3.776,3.813,1.407,1.672
276.000,3.540,3.496,1.327,1.721
277.000,4.132,4.059,1.549,1.928
278.000,4.703,4.569,1.751,2.125
279.000,5.302,5.135,1.961,2.285
280.000,4.960,4.828,1.848,2.147
281.000,7.859,7.496,2.903,3.249
282.000,6.720,6.405,2.483,3.049
283.000,8.197,7.777,3.028,3.510
284.000,6.147,5.884,2.281,2.860
285.000,6.025,5.788,2.224,2.803
286.000,7.767,7.372,2.857,3.372
287.000,8.201,7.777,3.018,3.499
288.000,7.268,6.914,2.686,3.192
289.000,7.349,6.987,2.746,3.270
290.000,6.475,6.172,2.449,3.058
291.000,7.359,7.001,2.801,3.390
292.000,8.750,8.248,3.331,3.968
293.000,9.793,9.219,3.714,4.222
294.000,10.401,9.801,3.939,4.308
295.000,7.460,7.135,2.831,3.209
296.000,5.240,5.073,2.006,2.468
297.000,5.691,5.527,2.232,2.612
298.000,5.390,5.263,2.160,2.536
299.000,5.564,5.443,2.252,2.558
300.000,5.705,5.603,2.326,2.569
301.000,6.680,6.413,2.726,3.095
302.000,7.446,7.140,3.062,3.341
303.000,5.924,5.758,2.481,2.709
304.000,4.702,4.631,2.018,2.270
305.000,3.731,3.735,1.671,2.060
306.000,3.585,3.611,1.628,2.122
307.000,3.698,3.723,1.673,2.129
308.000,3.782,3.820,1.712,2.204
309.000,4.370,4.344,1.953,2.267
310.000,5.264,5.166,2.307,2.522
311.000,7.276,6.996,3.126,3.313
312.000,6.329,6.113,2.713,3.046
313.000,9.159,8.696,3.852,4.158
314.000,6.980,6.670,2.905,3.356
315.000,6.849,6.552,2.846,3.281
316.000,4.580,4.407,1.898,2.488
317.000,4.625,4.458,1.926,2.453
318.000,5.892,5.644,2.460,3.007
319.000,6.489,6.155,2.692,3.492
320.000,6.949,6.589,2.875,3.627
321.000,7.839,7.425,3.240,3.874
322.000,7.729,7.340,3.186,3.747
323.000,7.336,6.988,3.026,3.563
324.000,6.586,6.300,2.714,3.246
325.000,6.047,5.812,2.482,2.976
326.000,5.016,4.888,2.051,2.436
327.000,4.630,4.562,1.891,2.241
328.000,4.961,4.855,2.014,2.381
329.000,5.817,5.594,2.350,2.905
330.000,5.696,5.499,2.288,2.785
331.000,6.580,6.423,2.650,3.104
332.000,5.201,5.271,2.023,2.434
333.000,5.624,5.932,2.117,2.910
334.000,6.565,6.945,2.463,3.210
335.000,7.120,7.545,2.643,3.364
336.000,8.440,9.005,3.098,3.787
337.000,11.123,12.060,4.135,4.905
338.000,11.453,12.407,4.267,4.974
339.000,12.426,13.466,4.646,5.212
340.000,13.421,14.539,5.018,5.402
341.000,12.711,13.713,4.755,5.122
342.000,11.690,12.559,4.364,4.756
343.000,11.593,12.457,4.323,4.721
344.000,11.845,12.697,4.411,4.690
345.000,8.263,8.726,3.056,3.488
346.000,9.250,9.803,3.418,3.804
347.000,8.083,8.445,2.981,3.365
348.000,7.474,7.748,2.760,3.135
349.000,7.195,7.375,2.648,2.982
350.000,6.173,6.174,2.249,2.642
351.000,7.122,6.851,2.520,2.972
352.000,6.680,6.517,2.333,2.712
