Period,From Date,To Date,MAPE,SMAPE,MAE,RMSE,COV,CE,IS
1,2018-07-06,2018-07-19,4.178,4.117,2.109,2.566,98.214,3.214,14.194
2,2018-08-03,2018-08-16,9.998,9.315,4.861,5.752,64.881,30.119,51.645
3,2018-08-11,2018-08-24,7.810,7.359,3.735,4.620,76.786,18.214,35.999
4,2018-10-12,2018-10-25,67.111,28.443,11.394,14.684,14.583,80.417,273.243
5,2019-03-22,2019-04-04,15.648,14.199,5.803,6.593,33.929,61.071,89.776
