Date,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
01-01-2016,8894,27436,10092,5341,13265,1542,1037,221,1771
02-01-2016,3302,9028,19171,23860,65571,17460,568,154,1533
03-01-2016,1995,5179,8612,18055,72334,18420,1221,45,283
04-01-2016,4335,16691,9352,15906,64400,16179,337,51,328
05-01-2016,3530,9272,10846,11669,50214,11896,178,70,250
06-01-2016,1078,2433,9001,13190,33376,8778,494,38,465
07-01-2016,1162,4365,11344,15156,52316,14033,410,106,1045
08-01-2016,4647,7642,16485,17794,37355,12826,1155,226,1265
09-01-2016,1606,2063,14214,6522,19486,3987,648,22,96
10-01-2016,207,11635,24223,18084,40932,9883,604,214,1262
11-01-2016,3535,18965,5271,3882,12909,2232,1935,263,1723
12-01-2016,4756,16158,7411,3063,21187,2583,1271,22,441
13-01-2016,5345,16264,14704,8622,12790,3362,1730,346,2625
14-01-2016,8827,19182,10069,5256,19330,2884,1586,324,2358
15-01-2016,7732,25027,6998,4445,10424,3256,1931,26,792
16-01-2016,8319,28504,11487,2534,8271,272,282,44,832
17-01-2016,2272,21567,18429,5491,6268,2420,1109,207,1053
18-01-2016,993,5483,19055,9994,23374,3106,1592,482,1755
19-01-2016,510,2235,5083,12546,23835,11396,733,205,2537
20-01-2016,856,1709,6811,5120,4348,1753,268,197,2585
21-01-2016,1862,5001,3988,4434,8430,1665,314,22,233
22-01-2016,4608,12322,11728,3986,28545,6465,324,20,140
23-01-2016,1317,10997,13342,5303,15097,2916,1498,198,1233
24-01-2016,1162,12389,12260,5677,28100,6279,1419,192,1175
25-01-2016,2524,11267,11094,4459,33779,8585,93,45,472
26-01-2016,4223,20420,33463,20895,62647,15438,2698,591,3318
27-01-2016,3368,18634,32815,27650,71473,19875,2999,832,4926
28-01-2016,3196,20393,37662,28156,66110,18563,4215,887,5611
29-01-2016,6460,32065,39400,27544,72917,19655,4316,831,4877
30-01-2016,7518,33666,37084,23082,59512,15919,4598,887,5421
31-01-2016,7976,17303,27333,23830,52037,16091,1441,495,4104
01-02-2016,6935,27738,26068,19244,51331,13405,1383,485,2939
02-02-2016,1033,4170,36509,30497,71868,21803,4629,902,5766
03-02-2016,2005,19546,20777,23180,62167,19102,1779,622,4831
04-02-2016,3185,33079,23551,16582,44191,13868,1401,259,2113
05-02-2016,2367,14808,16206,9516,26726,7684,2395,434,3074
06-02-2016,5132,24614,27892,15558,57843,13049,2366,545,1764
07-02-2016,4631,26063,30072,15831,61521,13740,3804,593,3129
08-02-2016,8289,29072,33872,24488,65312,18529,4005,667,3468
09-02-2016,2052,7546,18626,20148,35520,14383,4344,1031,4328
10-02-2016,255,2371,9904,13579,4778,9175,3713,762,2643
11-02-2016,3423,22798,11724,1502,4214,606,1572,36,755
12-02-2016,9937,35224,11882,2320,5901,458,2188,203,1753
13-02-2016,5284,13087,4163,1687,6966,2526,1692,150,1060
14-02-2016,1786,2225,3631,6601,33588,11662,827,23,606
15-02-2016,5274,18304,10404,8699,22097,9854,185,50,836
16-02-2016,7078,20777,15255,4303,13758,818,1345,136,1011
17-02-2016,5420,27520,26498,12043,40600,7796,1926,267,2014
18-02-2016,4656,16950,5633,3525,10905,1228,3163,528,3594
19-02-2016,2629,10175,7884,2270,17182,1895,402,3,195
20-02-2016,6215,32053,29081,19918,54307,15827,2148,315,2235
21-02-2016,6921,16324,20065,16799,40516,11999,2646,446,3634
22-02-2016,1377,1734,11802,20294,49300,15790,838,456,4269
23-02-2016,2717,13075,8149,14505,48189,15696,732,352,4606
24-02-2016,3672,24792,12265,11559,43264,13618,1441,227,1925
25-02-2016,3472,8242,11813,8059,18102,5569,1783,249,2975
26-02-2016,2833,7907,11153,8941,19677,4326,2040,605,2778
27-02-2016,1537,21871,10903,6915,6369,205,1427,503,1923
