Date,SE1,SE2,SE3,SE4,FI,DK1,DK2,EE,LV,LT
17-04-2019,,,,,2706.0,33329,8447,597,211,3167
18-04-2019,,,,,4036.0,20428,7000,403,208,2083
19-04-2019,,,,,12191.0,10894,5352,748,191,2443
20-04-2019,,,,,3925.0,2554,818,770,189,2516
21-04-2019,,,,,30712.0,2831,482,418,221,2487
22-04-2019,,,,,17115.0,32966,9534,785,132,3695
23-04-2019,,,,,26567.0,59804,18478,403,272,5088
24-04-2019,,,,,12728.0,61401,14102,885,713,8676
25-04-2019,,,,,5914.0,25533,6039,1168,301,4897
26-04-2019,,,,,5299.0,15774,9364,741,295,2664
27-04-2019,,,,,16344.0,7289,3509,938,280,2407
28-04-2019,,,,,10083.0,4117,2231,2779,651,3313
29-04-2019,,,,,6338.0,8282,4043,894,350,4888
30-04-2019,,,,,6515.0,16181,3549,376,204,2391
01-05-2019,,,,,14434.0,64453,17029,863,159,2053
02-05-2019,,,,,30423.0,71881,22542,1292,662,9452
03-05-2019,,,,,36572.0,54127,16475,2648,374,3147
04-05-2019,,,,,6964.0,31536,10802,1152,457,2894
05-05-2019,,,,,7753.0,41839,6927,430,109,1177
06-05-2019,,,,,10331.0,56575,16460,913,295,1002
07-05-2019,,,,,19473.0,49269,11757,825,567,4527
08-05-2019,,,,,30533.0,15961,5411,1079,213,1438
09-05-2019,,,,,18622.0,23453,4100,1977,623,6328
10-05-2019,,,,,19865.0,27345,4061,655,99,1233
11-05-2019,,,,,6997.0,40065,3655,852,23,1135
12-05-2019,,,,,29726.0,47778,9913,939,86,1136
13-05-2019,,,,,16005.0,30134,5946,939,116,1515
14-05-2019,,,,,11732.0,2861,794,1606,402,3172
15-05-2019,,,,,4704.0,4033,2126,908,367,5163
16-05-2019,,,,,5583.0,29026,13220,796,628,7442
17-05-2019,,,,,6560.0,45009,8622,1168,651,5903
18-05-2019,,,,,4022.0,14472,6712,1389,242,2341
19-05-2019,,,,,6185.0,10667,8116,1382,242,3599
20-05-2019,,,,,7999.0,7683,3068,1145,375,5811
21-05-2019,,,,,4785.0,11117,2815,546,106,2720
22-05-2019,,,,,13642.0,35871,11054,336,21,1037
23-05-2019,,,,,11417.0,30421,4315,1429,56,1560
24-05-2019,,,,,13578.0,49871,9617,339,114,886
25-05-2019,,,,,5498.0,46440,10540,2126,305,3918
26-05-2019,,,,,4282.0,31694,12456,2534,842,6245
27-05-2019,,,,,1691.0,37930,13984,1435,386,3781
28-05-2019,,,,,6248.0,46543,6174,900,106,1602
29-05-2019,,,,,18483.0,24682,5045,1423,130,2851
30-05-2019,,,,,37012.0,54208,14777,1186,366,823
31-05-2019,,,,,37854.0,7419,5939,2777,394,3368
01-06-2019,,,,,26682.0,40982,8979,2079,364,914
02-06-2019,,,,,12464.0,21398,4350,1910,181,3472
03-06-2019,,,,,18292.0,21892,5902,1300,228,1635
04-06-2019,,,,,22229.0,6476,2019,1884,276,2934
05-06-2019,,,,,4368.0,21069,6156,365,113,1984
06-06-2019,,,,,8938.0,29490,10338,383,255,3712
07-06-2019,,,,,7499.0,8275,3352,864,158,2435
08-06-2019,,,,,9505.0,54066,13739,972,129,2120
09-06-2019,,,,,24229.0,50411,9900,1893,350,1565
10-06-2019,,,,,30703.0,12567,11403,1076,140,2568
11-06-2019,,,,,14824.0,32160,6575,598,362,3014
12-06-2019,,,,,9585.0,20932,7018,3141,432,1958
13-06-2019,,,,,14288.0,25067,3569,2262,201,3632
14-06-2019,,,,,4105.0,13045,5308,865,10,659
15-06-2019,,,,,4704.0,21840,9539,727,43,1865
16-06-2019,,,,,9988.0,20210,5694,143,181,3557
17-06-2019,,,,,12705.0,16129,1625,1006,109,2804
18-06-2019,,,,,16077.0,12626,5742,1771,35,429
19-06-2019,,,,,9878.0,10168,3922,693,90,586
20-06-2019,,,,,5986.0,11597,3495,622,152,1918
21-06-2019,,,,,16395.0,15814,2885,1014,101,1238
22-06-2019,,,,,28007.0,9762,1312,2233,320,2906
23-06-2019,,,,,23405.0,4836,2243,533,35,891
24-06-2019,,,,,6753.0,21152,5276,687,73,1365
25-06-2019,,,,,8025.0,19014,4695,117,76,1564
26-06-2019,,,,,4863.0,31836,9516,334,56,967
27-06-2019,,,,,16430.0,45387,12971,2269,670,7699
28-06-2019,,,,,14851.0,12091,2650,3025,483,6594
29-06-2019,,,,,19048.0,16122,2231,1329,212,3120
30-06-2019,,,,,9960.0,40107,10619,910,375,3523
01-07-2019,,,,,17432.0,56609,14391,3612,1014,8274
02-07-2019,,,,,7236.0,64649,19814,1611,846,8969
03-07-2019,,,,,14135.0,50852,12625,3189,302,6072
04-07-2019,,,,,10938.0,61347,17855,1278,632,7157
05-07-2019,,,,,8673.0,27194,11608,2058,965,8964
06-07-2019,,,,,6524.0,49256,12567,1291,450,4671
07-07-2019,,,,,12353.0,49724,16822,233,121,3589
08-07-2019,,,,,19567.0,24442,9880,619,218,5292
09-07-2019,,,,,12147.0,25233,9305,1378,224,2272
10-07-2019,,,,,13700.0,17982,5994,631,156,2091
11-07-2019,,,,,7282.0,2284,790,293,104,2015
12-07-2019,,,,,12777.0,1621,655,289,56,826
13-07-2019,,,,,8812.0,13849,2658,281,97,1352
14-07-2019,,,,,4110.0,15154,2306,344,112,1989
15-07-2019,,,,,3056.0,20102,6912,531,161,771
16-07-2019,,,,,7884.0,17131,5443,1071,155,1898
17-07-2019,,,,,1861.0,2368,1710,686,204,1641
18-07-2019,,,,,4098.0,5153,1887,1105,80,1715
19-07-2019,,,,,4954.0,3460,3250,1397,61,507
20-07-2019,,,,,1728.0,21400,4119,486,40,545
21-07-2019,,,,,1427.0,32235,10803,253,268,2096
22-07-2019,,,,,4878.0,25807,4188,358,107,3734
23-07-2019,,,,,2917.0,12901,3109,360,59,1884
24-07-2019,,,,,2297.0,6875,1932,745,40,1044
25-07-2019,,,,,1607.0,14301,5472,757,126,1794
26-07-2019,,,,,4940.0,17856,5115,781,232,3500
27-07-2019,,,,,4167.0,38040,14932,778,296,3458
28-07-2019,,,,,16863.0,25119,11033,650,172,2331
29-07-2019,,,,,19389.0,5489,1830,697,113,1403
30-07-2019,,,,,30271.0,10929,1950,1620,268,2661
31-07-2019,,,,,18483.0,18253,4188,1149,161,2048
01-08-2019,,,,,6918.0,3937,1046,414,41,297
02-08-2019,,,,,12945.0,1486,612,634,120,1113
