Date,DK1,DK2,EE,LV,LT
08-06-2014,7006,1469,474,125,749
09-06-2014,5512,1113,476,96,444
10-06-2014,14060,2959,864,163,877
11-06-2014,9079,2084,187,47,302
12-06-2014,31092,7440,961,119,1194
13-06-2014,41764,12031,850,236,1624
14-06-2014,15245,3961,2466,447,1799
15-06-2014,8420,948,1085,136,776
16-06-2014,21454,1669,1862,188,519
17-06-2014,10554,1169,3426,409,1316
18-06-2014,18078,3542,2421,113,1596
19-06-2014,58860,15148,639,365,2132
20-06-2014,39652,8853,844,314,1759
21-06-2014,46675,13978,1495,91,214
22-06-2014,47872,13318,194,124,1782
23-06-2014,32068,11994,209,339,1325
24-06-2014,4830,1550,301,247,1924
25-06-2014,3385,473,467,187,423
26-06-2014,2482,757,93,89,941
27-06-2014,4613,1386,295,83,509
28-06-2014,3110,1963,260,183,1225
29-06-2014,11363,722,1334,90,882
30-06-2014,14039,2683,398,10,274
01-07-2014,8325,3379,273,26,418
02-07-2014,20902,5688,1214,160,1043
03-07-2014,38929,7145,1853,363,1467
04-07-2014,16394,2510,1261,235,1041
05-07-2014,17180,2578,294,38,625
06-07-2014,12210,2942,840,98,814
07-07-2014,14375,4702,637,129,608
08-07-2014,16737,6411,768,191,1279
09-07-2014,34196,13591,831,279,1555
10-07-2014,18138,11329,2314,387,1903
11-07-2014,8602,8602,1874,379,2160
12-07-2014,3245,2018,1709,294,1590
13-07-2014,8657,4257,1253,319,949
14-07-2014,27916,12970,462,194,1278
15-07-2014,24548,4071,1054,272,684
16-07-2014,11420,939,811,201,340
17-07-2014,3570,340,161,44,296
18-07-2014,1947,594,73,12,243
19-07-2014,14409,3179,75,29,336
20-07-2014,28932,10126,449,92,549
21-07-2014,15825,11071,1338,187,671
22-07-2014,7734,5298,785,242,1157
23-07-2014,6121,3817,506,152,1362
24-07-2014,6603,3499,416,105,1013
25-07-2014,9672,7280,162,86,881
26-07-2014,9563,2461,20,118,808
27-07-2014,3644,539,217,152,1001
28-07-2014,4541,469,487,108,837
29-07-2014,5631,1607,249,21,535
30-07-2014,10231,2825,342,66,1262
31-07-2014,23547,4371,1672,181,933
01-08-2014,10624,3239,713,45,167
02-08-2014,33171,7409,255,129,1087
03-08-2014,9856,1484,1092,216,1562
04-08-2014,5132,2188,1162,297,1365
05-08-2014,4691,662,1072,202,659
06-08-2014,8778,1203,864,77,153
07-08-2014,10747,1184,522,25,232
08-08-2014,3020,470,204,33,520
09-08-2014,48171,10329,52,45,292
10-08-2014,39227,8708,197,59,250
