Date,SE1,SE2,SE3,SE4,FI,DK1,DK2,EE,LV,LT
01-01-2020,,,,,30199.0,59200,9722,3608,514,7818
02-01-2020,,,,,39378.0,76665,9888,4053,833,8350
03-01-2020,,,,,40276.0,55268,14296,5472,1029,8502
04-01-2020,,,,,36117.0,64134,17671,4686,799,7901
05-01-2020,,,,,27727.0,40158,7627,2996,508,4205
06-01-2020,,,,,22201.0,46060,9536,1879,442,5197
07-01-2020,,,,,18364.0,52086,10167,3123,491,3136
08-01-2020,,,,,,63841,14349,5777,1116,9039
09-01-2020,,,,,,36093,8493,3097,410,4018
10-01-2020,,,,,,32438,6768,184,209,2650
11-01-2020,,,,,,66405,12356,2816,514,4471
12-01-2020,,,,,,36249,16076,5279,1108,9423
13-01-2020,,,,,,40000,8310,2097,204,3613
14-01-2020,,,,,,67737,16570,4237,838,6936
15-01-2020,,,,,,58419,18243,5308,1248,9662
16-01-2020,,,,,10231.0,58806,12210,3572,1071,8810
17-01-2020,,,,,17493.0,42115,11993,3754,556,4389
18-01-2020,,,,,,52697,18193,4193,911,5164
19-01-2020,10335.0,45281.0,23802.0,7786.0,15578.0,45346,5337,3567,509,3821
20-01-2020,21166.0,,,,34219.0,49860,11191,3715,743,7937
21-01-2020,23100.0,,,,38252.0,65134,20898,5288,950,10754
22-01-2020,,,,,30910.0,38713,9782,5242,912,9183
23-01-2020,,,,,26836.0,42495,8791,2580,666,7457
24-01-2020,,,,,30985.0,44599,13439,2671,1013,10808
25-01-2020,,,,,22109.0,30588,10232,4018,435,5710
26-01-2020,,,,,18944.0,42239,8026,3293,795,5944
27-01-2020,6668.0,22100.0,21941.0,11662.0,21696.0,41825,11095,819,221,1647
28-01-2020,6580.0,11482.0,16210.0,8080.0,21296.0,40266,9057,2089,431,5314
29-01-2020,5070.0,22747.0,9167.0,11227.0,19819.0,52883,16824,1452,243,3431
30-01-2020,4417.0,8779.0,5313.0,10118.0,24804.0,46347,19188,627,153,3151
31-01-2020,8331.0,25419.0,14252.0,15767.0,24917.0,59895,19034,416,67,1037
01-02-2020,13979.0,25589.0,39553.0,23927.0,37157.0,76577,20113,2468,695,6215
02-02-2020,7753.0,46775.0,36459.0,24357.0,11334.0,44283,13620,3234,1011,10326
