Date,SE1,SE2,SE3,SE4,FI,DK1,DK2,EE,LV,LT
01-01-2018,3058.0,11390.0,12021.0,20992.0,,44385,16593,2169,778,7484
02-01-2018,720.0,4844.0,15963.0,12250.0,,26945,6739,3948,683,4020
03-01-2018,1149.0,3460.0,22999.0,19412.0,,36620,11578,1489,282,4544
04-01-2018,2888.0,9641.0,16682.0,2547.0,,13251,7468,1860,495,7672
05-01-2018,8758.0,22025.0,7715.0,1433.0,,2624,5906,2492,303,7270
06-01-2018,10021.0,35028.0,15335.0,5077.0,,9633,4197,2333,218,3454
07-01-2018,7047.0,39190.0,33807.0,11279.0,,10965,2772,4701,677,4356
08-01-2018,9550.0,29717.0,20614.0,4881.0,,11551,3319,3619,562,5204
09-01-2018,6487.0,21877.0,13942.0,15912.0,,58997,13774,1431,171,1715
10-01-2018,964.0,6134.0,24318.0,18070.0,,24171,3112,117,62,4664
11-01-2018,3419.0,14176.0,12988.0,12551.0,,9234,3320,356,88,2610
12-01-2018,5196.0,8419.0,5188.0,12046.0,,26272,8118,221,134,2610
13-01-2018,4277.0,14487.0,3645.0,9330.0,,38568,9475,287,69,1757
14-01-2018,7296.0,31388.0,10664.0,11432.0,,42762,11326,257,95,1987
15-01-2018,,,,,,71953,18236,2127,411,7004
16-01-2018,4470.0,34198.0,35448.0,20494.0,,32008,13738,4784,1141,10900
17-01-2018,1555.0,16041.0,7145.0,3307.0,,14154,9795,2196,349,3596
18-01-2018,1062.0,3603.0,3055.0,3288.0,,6622,8929,429,104,2665
19-01-2018,482.0,4713.0,2210.0,1032.0,,4312,2544,184,94,2973
20-01-2018,606.0,6328.0,5484.0,2904.0,,10230,2644,31,15,364
21-01-2018,254.0,1268.0,5353.0,1412.0,,5117,473,107,51,347
22-01-2018,474.0,1273.0,3378.0,4276.0,,23111,7477,1332,300,980
23-01-2018,906.0,9453.0,21963.0,12815.0,,42292,7970,1329,537,1541
24-01-2018,1951.0,19309.0,42926.0,30758.0,,72923,18567,5226,1162,7737
25-01-2018,2191.0,33644.0,43744.0,22303.0,,51650,11248,5300,1051,7552
26-01-2018,2977.0,21073.0,18218.0,4679.0,,12548,944,1948,186,792
27-01-2018,914.0,5569.0,15256.0,12737.0,,39146,9269,1342,264,3083
28-01-2018,619.0,10302.0,29108.0,31748.0,,61368,17227,1301,777,9835
29-01-2018,829.0,3243.0,8481.0,24459.0,,69135,19546,159,324,7950
30-01-2018,186.0,753.0,10773.0,19880.0,,59947,16253,1368,458,8428
31-01-2018,,,,,,57707,14537,986,374,4382
01-02-2018,2110.0,34475.0,16057.0,18205.0,,52925,17639,3013,503,3887
02-02-2018,3645.0,25631.0,22485.0,5711.0,,42761,8066,591,149,696
03-02-2018,2514.0,16065.0,31848.0,7791.0,,32252,3377,645,63,1030
04-02-2018,2590.0,6208.0,18265.0,16216.0,,47117,10398,2908,320,3655
05-02-2018,4871.0,4605.0,5592.0,6620.0,,4047,3439,3399,450,3188
06-02-2018,3668.0,8568.0,4349.0,3450.0,,2775,357,423,130,3891
07-02-2018,1432.0,3035.0,10554.0,7525.0,,19152,853,1698,313,3415
08-02-2018,4979.0,15996.0,17823.0,6057.0,,37334,1657,1514,170,522
09-02-2018,4067.0,25254.0,21335.0,8594.0,,47619,5562,27,12,204
10-02-2018,4386.0,33272.0,13316.0,4170.0,,32523,1992,33,4,63
11-02-2018,3536.0,18815.0,21202.0,16621.0,,71817,14989,201,55,1389
12-02-2018,887.0,10790.0,25874.0,29080.0,,67114,16651,2245,369,3840
13-02-2018,1461.0,5150.0,11953.0,8787.0,,24366,5081,2181,250,1067
14-02-2018,3000.0,23830.0,12009.0,3884.0,,42599,4241,179,17,688
15-02-2018,6813.0,37231.0,26474.0,19440.0,,69554,15599,324,74,1156
16-02-2018,4781.0,13918.0,8429.0,7960.0,,32610,11869,493,62,1299
17-02-2018,386.0,2780.0,1057.0,2160.0,,3685,1555,639,46,975
18-02-2018,139.0,919.0,6496.0,4306.0,,24700,2320,192,87,1995
19-02-2018,317.0,294.0,12604.0,3478.0,,7173,1229,186,14,331
20-02-2018,96.0,1053.0,4407.0,4142.0,,11229,2674,169,44,632
21-02-2018,1533.0,2424.0,737.0,949.0,5739.0,4244,314,3,29,926
