Date,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
29-03-2015,7866.0,22467.0,18893.0,14980.0,24830,8870,2373,438,2036
30-03-2015,3197.0,4161.0,10651.0,18298.0,58733,14245,4173,594,4577
31-03-2015,1171.0,6488.0,8684.0,10423.0,39570,11205,2648,485,2848
01-04-2015,3081.0,5014.0,6432.0,15577.0,65407,15612,856,229,1944
02-04-2015,1952.0,12564.0,13083.0,11061.0,46779,10253,1275,277,1977
03-04-2015,2104.0,15597.0,13115.0,7382.0,21845,5605,294,169,1283
04-04-2015,1809.0,8451.0,14999.0,6812.0,10908,3264,1523,163,935
05-04-2015,2482.0,5892.0,7155.0,8805.0,9688,3482,1110,99,551
06-04-2015,7720.0,18105.0,11780.0,5306.0,4933,1903,859,102,701
07-04-2015,7756.0,25759.0,20673.0,15810.0,41968,9894,1911,327,1711
08-04-2015,10409.0,27419.0,17946.0,6749.0,24613,4808,4799,402,1636
09-04-2015,7998.0,23718.0,23752.0,10861.0,7475,1299,3369,640,2911
10-04-2015,7349.0,21321.0,23038.0,6174.0,3876,685,2161,232,1733
11-04-2015,3799.0,9142.0,9935.0,10364.0,33629,8056,1043,149,669
12-04-2015,1361.0,16927.0,32817.0,25598.0,59637,13231,3388,840,4386
13-04-2015,7874.0,28037.0,20723.0,20884.0,63509,17909,1855,402,3437
14-04-2015,4150.0,12082.0,18711.0,16198.0,44962,10650,3167,463,2400
15-04-2015,499.0,6811.0,16202.0,20046.0,51562,14039,835,343,2749
16-04-2015,6018.0,18322.0,21087.0,20202.0,58976,14099,1882,423,3764
17-04-2015,3408.0,15170.0,18561.0,9966.0,31686,8390,1474,253,1828
18-04-2015,3410.0,17348.0,12641.0,8097.0,10361,2348,1081,240,1449
19-04-2015,8813.0,28027.0,20482.0,8385.0,14808,1346,2010,369,1908
20-04-2015,4791.0,21454.0,17157.0,11787.0,15239,3624,2734,593,2915
21-04-2015,4379.0,12435.0,8918.0,7883.0,42775,8370,1477,242,1111
22-04-2015,7439.0,25860.0,12628.0,5174.0,16687,2271,2365,122,711
