Date,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
01-01-2017,3980.0,17422.0,22191.0,17238.0,27918,11704,929,872,8054
02-01-2017,1362.0,14094.0,19637.0,9674.0,20763,4296,240,207,3117
03-01-2017,2056.0,16877.0,20965.0,17480.0,55892,14628,549,460,4067
04-01-2017,3032.0,18091.0,33534.0,28075.0,57010,17695,4611,950,6546
05-01-2017,3099.0,6516.0,15462.0,16600.0,18552,9104,3930,804,6406
06-01-2017,10905.0,36167.0,31281.0,7083.0,34609,2531,961,158,883
07-01-2017,10462.0,35627.0,19829.0,12135.0,36278,10522,3535,475,2268
08-01-2017,10121.0,35746.0,18997.0,2857.0,9243,1082,1521,207,1300
09-01-2017,7433.0,26327.0,23502.0,10135.0,38945,6496,2260,467,1983
10-01-2017,2811.0,32132.0,31741.0,20129.0,48616,12786,3346,617,2640
11-01-2017,10018.0,38959.0,43146.0,29531.0,69723,18762,5076,1094,7604
12-01-2017,6879.0,11286.0,36068.0,29039.0,59606,17187,4528,989,7283
13-01-2017,1420.0,5338.0,13488.0,4749.0,12361,2561,2617,391,3910
14-01-2017,3397.0,20299.0,13285.0,3600.0,36675,6294,117,8,524
15-01-2017,5601.0,36368.0,20222.0,7510.0,12272,5715,241,11,1399
16-01-2017,5884.0,17753.0,11507.0,6496.0,5112,2605,104,8,216
17-01-2017,9710.0,30921.0,20149.0,5227.0,15269,839,656,80,354
18-01-2017,7076.0,34000.0,24895.0,18193.0,39715,6991,2440,602,4259
19-01-2017,11199.0,40622.0,32412.0,20035.0,31445,7576,2763,642,4949
20-01-2017,10028.0,29698.0,27357.0,16018.0,32208,7588,1909,285,3655
21-01-2017,6368.0,28575.0,11085.0,2662.0,8091,1526,1562,141,1318
22-01-2017,5589.0,28695.0,22627.0,4128.0,3883,446,2835,770,2391
23-01-2017,3930.0,33000.0,23093.0,10024.0,10880,1570,2959,716,2691
24-01-2017,3743.0,10356.0,6823.0,3949.0,14543,3340,1510,163,2652
25-01-2017,10651.0,32444.0,23803.0,5669.0,21781,1660,1637,141,1153
26-01-2017,8235.0,32257.0,28452.0,7152.0,13217,1290,3559,472,5054
27-01-2017,7852.0,22551.0,7469.0,3580.0,24076,4322,344,66,628
28-01-2017,5530.0,18977.0,8589.0,4828.0,19062,2441,836,98,641
29-01-2017,9700.0,27712.0,15830.0,9380.0,25632,7164,1355,446,2628
30-01-2017,9548.0,30210.0,13172.0,4840.0,12169,7503,2219,241,2218
31-01-2017,5268.0,6537.0,3724.0,9158.0,17094,9015,1015,8,1330
01-02-2017,4893.0,9907.0,3500.0,3772.0,28102,4604,586,12,267
02-02-2017,1463.0,8724.0,5847.0,8443.0,36525,8395,269,12,795
03-02-2017,29.0,1660.0,1859.0,7124.0,31979,5443,57,2,422
04-02-2017,46.0,341.0,5897.0,9204.0,21109,2920,0,49,1845
05-02-2017,676.0,702.0,9827.0,12713.0,20131,6661,991,113,2074
