Date,DK1,DK2
01-01-2020,59200,9722
02-01-2020,76665,9888
03-01-2020,55268,14296
04-01-2020,64134,17671
05-01-2020,40158,7627
06-01-2020,46060,9536
07-01-2020,52086,10167
08-01-2020,63841,14349
09-01-2020,36093,8493
10-01-2020,32438,6768
11-01-2020,66405,12356
12-01-2020,36249,16076
13-01-2020,40000,8310
14-01-2020,67737,16570
15-01-2020,58419,18243
16-01-2020,58806,12210
17-01-2020,42115,11993
18-01-2020,52697,18193
19-01-2020,45346,5337
20-01-2020,49860,11191
21-01-2020,65134,20898
22-01-2020,38713,9782
23-01-2020,42495,8791
24-01-2020,44599,13439
25-01-2020,30588,10232
26-01-2020,42239,8026
27-01-2020,41825,11095
28-01-2020,40266,9057
29-01-2020,52883,16824
30-01-2020,46347,19188
31-01-2020,59895,19034
01-02-2020,76577,20113
02-02-2020,44283,13620
03-02-2020,23396,8321
04-02-2020,40398,16501
05-02-2020,43123,12362
06-02-2020,47270,13785
07-02-2020,14363,3165
08-02-2020,43167,11377
09-02-2020,76644,21342
10-02-2020,72269,21256
11-02-2020,67690,20883
12-02-2020,59383,21398
13-02-2020,23284,11646
14-02-2020,18947,2716
15-02-2020,57561,17126
16-02-2020,81642,21731
17-02-2020,67354,22960
18-02-2020,53408,19838
19-02-2020,30355,15055
20-02-2020,57202,17218
21-02-2020,54492,21522
22-02-2020,77078,23853
23-02-2020,63972,19702
24-02-2020,30470,12121
25-02-2020,44602,22394
26-02-2020,19989,9108
27-02-2020,9171,2568
28-02-2020,34475,13182
29-02-2020,56939,18242
01-03-2020,74158,19421
02-03-2020,24934,2949
03-03-2020,12970,3012
04-03-2020,13608,5277
05-03-2020,5901,3912
06-03-2020,28736,14951
07-03-2020,18944,5747
08-03-2020,80957,17357
09-03-2020,16101,5693
10-03-2020,44559,15201
11-03-2020,62114,18474
12-03-2020,62991,20255
13-03-2020,40885,18626
14-03-2020,25129,5317
15-03-2020,69805,19304
16-03-2020,24291,9802
17-03-2020,50710,9491
18-03-2020,40142,13920
19-03-2020,26577,2661
20-03-2020,31651,7401
21-03-2020,14197,6917
22-03-2020,22530,7316
23-03-2020,36526,5177
24-03-2020,47305,7430
25-03-2020,36469,5549
26-03-2020,9114,4614
27-03-2020,6463,3968
28-03-2020,33866,6228
29-03-2020,57492,16772
30-03-2020,39562,9201
31-03-2020,35812,4900
01-04-2020,62881,18695
02-04-2020,62442,22720
03-04-2020,54871,20646
04-04-2020,21874,3987
05-04-2020,29802,8735
06-04-2020,33746,11531
07-04-2020,20225,6590
08-04-2020,19128,4301
09-04-2020,36762,7455
10-04-2020,14857,2320
11-04-2020,19822,1905
12-04-2020,46699,10836
13-04-2020,55979,15454
14-04-2020,40791,11336
15-04-2020,55417,20883
16-04-2020,41638,11935
17-04-2020,9245,1564
18-04-2020,11280,1923
19-04-2020,11573,2158
20-04-2020,7410,2031
21-04-2020,19314,11018
22-04-2020,11815,5931
23-04-2020,6876,866
24-04-2020,28531,7958
25-04-2020,11781,3496
26-04-2020,8346,2200
27-04-2020,10701,1512
28-04-2020,6155,2059
29-04-2020,23102,7497
30-04-2020,43390,7433
01-05-2020,12195,2001
02-05-2020,6455,4685
03-05-2020,32703,6653
04-05-2020,29023,4883
05-05-2020,17472,8112
06-05-2020,47200,11880
07-05-2020,25386,8305
08-05-2020,26030,5178
09-05-2020,6396,1151
10-05-2020,32876,8086
11-05-2020,34876,15374
12-05-2020,46671,11361
13-05-2020,13644,1768
14-05-2020,45347,7273
15-05-2020,58333,14374
16-05-2020,71663,19138
17-05-2020,61390,19161
18-05-2020,21624,12270
19-05-2020,33136,11898
20-05-2020,4597,1006
21-05-2020,2217,1239
22-05-2020,44690,10422
23-05-2020,39791,8148
24-05-2020,49265,15263
25-05-2020,23595,9262
26-05-2020,3547,661
