Date,DK1,DK2
04-09-2019,36204,9804
05-09-2019,45787,16538
06-09-2019,42887,15079
07-09-2019,16012,5798
08-09-2019,6931,606
09-09-2019,2802,2515
10-09-2019,27322,14657
11-09-2019,49127,15585
12-09-2019,40678,10028
13-09-2019,37836,15387
14-09-2019,46687,6916
15-09-2019,73505,20634
16-09-2019,57201,17312
17-09-2019,60463,19357
18-09-2019,48346,14986
19-09-2019,17131,3506
20-09-2019,36903,7243
21-09-2019,11162,3633
22-09-2019,13404,4089
23-09-2019,43725,14694
24-09-2019,9011,1537
25-09-2019,19173,3567
26-09-2019,35868,4756
27-09-2019,22298,7800
28-09-2019,41420,11889
29-09-2019,21028,14033
30-09-2019,52338,16903
01-10-2019,32230,4207
02-10-2019,38702,10740
03-10-2019,9803,4268
04-10-2019,29691,5573
05-10-2019,25775,9641
06-10-2019,18253,3134
07-10-2019,8295,1619
08-10-2019,34005,11931
09-10-2019,27709,11822
10-10-2019,30658,15657
11-10-2019,46253,21438
12-10-2019,54211,16489
13-10-2019,25346,7286
14-10-2019,36584,12135
15-10-2019,29705,8142
16-10-2019,3071,2245
17-10-2019,14197,5130
18-10-2019,27560,10587
19-10-2019,42526,13744
20-10-2019,11589,1598
21-10-2019,5782,3853
22-10-2019,25684,8745
23-10-2019,23054,3227
24-10-2019,33127,7584
25-10-2019,51718,15799
26-10-2019,35327,20936
27-10-2019,52890,21058
28-10-2019,24004,9289
29-10-2019,5127,3044
30-10-2019,12012,1013
31-10-2019,12272,2293
01-11-2019,29744,8730
02-11-2019,26639,6418
03-11-2019,15055,2591
04-11-2019,61390,10633
05-11-2019,35040,6908
06-11-2019,4470,1387
07-11-2019,11479,2061
08-11-2019,16568,3440
09-11-2019,6847,1625
10-11-2019,8462,2835
11-11-2019,40207,12175
12-11-2019,59524,15678
13-11-2019,39812,8060
14-11-2019,17882,4420
15-11-2019,61500,18646
16-11-2019,25363,10530
17-11-2019,21911,9533
18-11-2019,26928,10466
19-11-2019,23886,14701
20-11-2019,8344,1890
21-11-2019,21130,3276
22-11-2019,31279,5255
23-11-2019,60985,15842
24-11-2019,62907,14569
25-11-2019,18492,4855
26-11-2019,12189,4188
27-11-2019,25370,8237
28-11-2019,18333,14447
29-11-2019,43982,17470
30-11-2019,19870,6545
01-12-2019,20595,4699
02-12-2019,29491,10710
03-12-2019,39349,10027
04-12-2019,42550,12067
05-12-2019,71315,13905
06-12-2019,73205,23768
07-12-2019,60248,19541
08-12-2019,66292,21606
09-12-2019,64351,20819
10-12-2019,47690,12551
11-12-2019,46890,12512
12-12-2019,28016,6971
13-12-2019,54263,12986
14-12-2019,35740,11687
15-12-2019,62572,17898
16-12-2019,47162,11724
17-12-2019,15417,7756
18-12-2019,37120,13100
19-12-2019,47531,10124
20-12-2019,56372,8410
21-12-2019,27543,5951
22-12-2019,27647,6585
23-12-2019,20853,8296
24-12-2019,20218,5806
25-12-2019,14595,2601
26-12-2019,7682,3498
27-12-2019,7948,2458
28-12-2019,24400,1544
29-12-2019,66194,10799
30-12-2019,67269,16364
31-12-2019,52497,12482
