ARIMA,AIC 2015-04-02 00:00:00,AIC 2017-09-08 00:00:00,AIC 2019-04-01 00:00:00,AIC 2018-12-30 00:00:00,AIC 2018-10-12 00:00:00,AIC 2014-11-07 00:00:00,AIC 2015-12-05 00:00:00,AIC 2015-02-27 00:00:00,AIC 2017-04-10 00:00:00,AIC 2018-10-06 00:00:00,AIC 2017-01-06 00:00:00,AIC 2017-02-22 00:00:00,AIC 2018-02-24 00:00:00,AIC 2016-08-16 00:00:00,AIC 2018-12-02 00:00:00,AIC 2015-09-03 00:00:00,AIC 2015-01-09 00:00:00,AIC 2017-03-26 00:00:00,AIC 2014-08-28 00:00:00,AIC 2019-03-08 00:00:00,AIC 2016-09-06 00:00:00,AIC 2016-12-03 00:00:00,AIC 2017-11-26 00:00:00,AIC 2018-10-09 00:00:00,AIC 2018-10-19 00:00:00,AIC 2014-07-05 00:00:00,AIC 2018-05-26 00:00:00,AIC 2016-12-29 00:00:00,AIC 2015-12-28 00:00:00,AIC 2018-07-17 00:00:00,Median AIC
"(4, 0, 3)",68.311,14.533,-35.406,-13.063,202.759,-79.913,-60.771,67.946,-43.355,36.908,-25.51,3.659,217.501,-171.254,-10.8,-181.921,73.538,42.969,85.547,119.116,-37.75,-123.499,156.244,112.409,45.774,96.16,40.058,-165.765,-40.364,78.404,25.72
"(4, 0, 4)",67.198,-1.746,-29.883,-21.206,195.922,-77.863,-60.43,59.927,-42.158,29.799,-23.473,-1.499,220.326,-169.051,-7.026,-179.7,75.03,28.06,82.417,120.898,-32.146,-121.549,151.93,106.487,46.177,94.89,31.402,-164.092,-38.116,69.856,13.281
"(4, 0, 5)",66.332,-0.547,-33.786,-19.799,192.241,-78.673,-57.97,61.837,-44.272,24.825,-29.848,0.139,218.92,-168.356,-14.149,-178.013,70.217,28.986,78.715,122.779,-33.944,-120.002,155.197,100.147,47.772,96.782,33.352,-160.459,-40.178,71.93,12.482
"(4, 1, 0)",73.105,6.776,-31.829,-19.599,208.395,-67.154,-58.48,75.173,-37.918,33.082,-25.726,2.869,230.672,-159.396,-4.777,-182.201,80.035,47.849,90.348,123.544,-6.232,-126.185,159.254,110.265,61.825,118.275,51.471,-167.09,-40.054,75.189,19.929
"(4, 1, 1)",72.222,-6.304,-40.18,-22.442,202.844,-81.708,-56.94,69.793,-44.356,30.001,-25.415,-5.498,220.981,-157.413,-9.194,-180.407,68.146,34.245,76.439,118.516,-25.796,-124.184,160.218,107.236,54.879,101.38,35.082,-165.044,-38.06,66.04,12.252
"(4, 1, 2)",65.661,-5.754,-38.194,-21.779,204.658,-80.349,-59.998,71.866,-43.634,31.032,-23.74,-3.45,221.25,-168.37,-9.519,-178.267,70.235,36.134,74.414,119.914,-23.582,-124.827,155.18,109.159,51.442,104.211,36.861,-163.2,-36.374,67.877,13.791
"(4, 1, 3)",63.537,-11.717,-37.951,-19.666,201.354,-78.349,-59.664,64.789,-46.742,26.566,-22.63,-2.153,218.102,-166.165,-11.489,-177.171,72.657,38.04,79.758,121.882,-24.409,-123.138,157.032,105.704,51.046,101.732,37.601,-162.156,-37.567,69.786,12.207
"(4, 1, 4)",65.478,-5.287,-34.779,-20.333,194.766,-76.585,-57.682,70.342,-46.778,25.007,-21.883,-0.482,219.803,-164.121,-5.199,-179.996,73.386,40.08,89.938,123.888,-25.938,-118.543,162.721,100.275,52.579,102.342,39.513,-162.079,-35.095,67.399,12.263
"(4, 1, 5)",67.428,-10.658,-34.163,-19.088,194.693,-74.63,-56.579,70.742,-44.975,22.407,-26.473,-0.777,223.531,-162.505,-6.457,-182.811,72.944,40.125,73.174,123.669,-24.365,-119.938,157.0,99.696,48.871,96.061,29.505,-160.57,-36.816,72.64,10.815
"(5, 0, 0)",67.728,2.269,-33.161,-20.958,204.962,-83.598,-60.593,66.265,-40.887,33.754,-28.381,-0.851,218.076,-175.035,-10.88,-185.78,70.503,41.059,82.076,117.844,-33.475,-127.724,153.259,108.682,57.054,101.374,40.785,-169.459,-42.402,72.328,18.012
