,data,forecast,lower,upper
0,51.06,51.74277864134206,47.62555961062696,55.85999767205717
1,50.65,51.09330743826442,45.467534396810564,56.71908047971827
2,50.46,50.518575432398414,43.85576005935203,57.1813908054448
3,50.55,50.44135183625795,42.99537054693928,57.887333125576625
4,51.04,50.54683871882573,42.48314502048961,58.610532417161856
5,53.71,49.87292271573185,41.309630920931944,58.43621451053176
6,55.22,49.34541956160944,40.37143466455948,58.3194044586594
7,61.7,47.159875705970336,37.844442516611245,56.47530889532943
8,62.85,45.00839062264424,35.406727124445766,54.61005412084272
9,61.94,46.53209408627505,36.68898871730864,56.375199455241464
10,58.85,49.53560752317688,39.48785433849983,59.58336070785393
11,57.73,50.57960004604681,40.35772228565407,60.80147780643954
12,56.91,50.97260198329479,40.602115272699635,61.34308869388994
13,56.62,50.9665246733791,40.468888925572465,61.46416042118573
14,56.77,50.62320383364961,40.01655688423674,61.22985078306248
15,56.95,50.64100575618966,39.940739277919405,61.34127223445991
16,57.74,52.30781684254787,41.52703536417829,63.088598320917455
17,61.15,53.25902538157447,42.40891678590039,64.10913397724855
18,59.51,53.960151446761294,43.05028919362126,64.87001369990132
19,55.96,54.225530960295636,43.264122814799414,65.18693910579185
20,55.1,53.4745567243201,42.468650999387805,64.4804624492524
21,54.73,52.7207909910647,41.67644865122138,63.76513333090803
22,53.59,52.46815369828315,41.39059275324874,63.54571464331757
23,52.37,51.519856221053615,40.413573429653866,62.626139012453365
24,51.28,51.94823470510754,39.783879052507196,64.11259035770787
25,50.65,51.19541161643006,38.18310452502761,64.2077187078325
26,50.57,50.6018565153316,36.89673059122155,64.30698243944165
27,50.97,50.51555415989422,36.23690194023178,64.79420637955667
28,51.52,50.38146459471519,35.62356481587428,65.1393643735561
29,53.84,49.63946642648558,34.47829094424499,64.80064190872618
30,56.17,49.156743742707036,33.65439621211294,64.65909127330113
31,61.57,46.68728693212834,30.89509018424809,62.479483680008585
32,65.43,44.25930844191127,28.220036380793136,60.29858050302941
33,66.19,45.16947282379908,28.919013910557705,61.41993173704046
34,66.02,47.90802179526506,31.476649707848885,64.33939388268124
35,63.67,48.85731388617398,32.2706777268254,65.44395004552257
