"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2020 22:00 - 01.01.2020 23:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4656","n/e","7758","1251","n/e","n/e","n/e","n/e","6708"
"Sweden (SE)","01.01.2020 23:00 - 02.01.2020 00:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4294","n/e","7758","1256","n/e","n/e","n/e","n/e","6662"
"Sweden (SE)","02.01.2020 00:00 - 02.01.2020 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3865","n/e","7758","1195","n/e","n/e","n/e","n/e","6733"
"Sweden (SE)","02.01.2020 01:00 - 02.01.2020 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3514","n/e","7758","1192","n/e","n/e","n/e","n/e","6628"
"Sweden (SE)","02.01.2020 02:00 - 02.01.2020 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3524","n/e","7759","1205","n/e","n/e","n/e","n/e","6487"
"Sweden (SE)","02.01.2020 03:00 - 02.01.2020 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3537","n/e","7753","1220","n/e","n/e","n/e","n/e","6416"
"Sweden (SE)","02.01.2020 04:00 - 02.01.2020 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3610","n/e","7753","1220","n/e","n/e","n/e","n/e","6310"
"Sweden (SE)","02.01.2020 05:00 - 02.01.2020 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4471","n/e","7752","1251","n/e","n/e","n/e","n/e","6242"
"Sweden (SE)","02.01.2020 06:00 - 02.01.2020 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5461","n/e","7754","1299","n/e","n/e","n/e","n/e","6230"
"Sweden (SE)","02.01.2020 07:00 - 02.01.2020 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6217","n/e","7756","1326","n/e","n/e","n/e","n/e","6219"
"Sweden (SE)","02.01.2020 08:00 - 02.01.2020 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6684","n/e","7753","1335","n/e","n/e","n/e","n/e","6217"
"Sweden (SE)","02.01.2020 09:00 - 02.01.2020 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6907","n/e","7758","1366","n/e","n/e","n/e","n/e","6425"
"Sweden (SE)","02.01.2020 10:00 - 02.01.2020 11:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6945","n/e","7756","1353","n/e","n/e","n/e","n/e","6488"
"Sweden (SE)","02.01.2020 11:00 - 02.01.2020 12:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6916","n/e","7754","1367","n/e","n/e","n/e","n/e","6532"
"Sweden (SE)","02.01.2020 12:00 - 02.01.2020 13:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6896","n/e","7753","1377","n/e","n/e","n/e","n/e","6575"
"Sweden (SE)","02.01.2020 13:00 - 02.01.2020 14:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6880","n/e","7754","1341","n/e","n/e","n/e","n/e","6475"
"Sweden (SE)","02.01.2020 14:00 - 02.01.2020 15:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7145","n/e","7754","1325","n/e","n/e","n/e","n/e","6452"
"Sweden (SE)","02.01.2020 15:00 - 02.01.2020 16:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7370","n/e","7755","1314","n/e","n/e","n/e","n/e","6514"
"Sweden (SE)","02.01.2020 16:00 - 02.01.2020 17:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7569","n/e","7756","1325","n/e","n/e","n/e","n/e","6510"
"Sweden (SE)","02.01.2020 17:00 - 02.01.2020 18:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7451","n/e","7758","1325","n/e","n/e","n/e","n/e","6538"
"Sweden (SE)","02.01.2020 18:00 - 02.01.2020 19:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7192","n/e","7760","1311","n/e","n/e","n/e","n/e","6629"
"Sweden (SE)","02.01.2020 19:00 - 02.01.2020 20:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6817","n/e","7760","1315","n/e","n/e","n/e","n/e","6684"
"Sweden (SE)","02.01.2020 20:00 - 02.01.2020 21:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6252","n/e","7758","1325","n/e","n/e","n/e","n/e","6756"
"Sweden (SE)","02.01.2020 21:00 - 02.01.2020 22:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5658","n/e","7757","1306","n/e","n/e","n/e","n/e","6816"
"Sweden (SE)","02.01.2020 22:00 - 02.01.2020 23:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5090","n/e","7758","1303","n/e","n/e","n/e","n/e","6875"
"Sweden (SE)","02.01.2020 23:00 - 03.01.2020 00:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4095","n/e","7760","1284","n/e","n/e","n/e","n/e","6983"
"Sweden (SE)","03.01.2020 00:00 - 03.01.2020 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3657","n/e","7762","1246","n/e","n/e","n/e","n/e","7066"
"Sweden (SE)","03.01.2020 01:00 - 03.01.2020 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3257","n/e","7763","1252","n/e","n/e","n/e","n/e","7169"
"Sweden (SE)","03.01.2020 02:00 - 03.01.2020 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3113","n/e","7764","1259","n/e","n/e","n/e","n/e","7239"
"Sweden (SE)","03.01.2020 03:00 - 03.01.2020 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3066","n/e","7763","1270","n/e","n/e","n/e","n/e","7186"
"Sweden (SE)","03.01.2020 04:00 - 03.01.2020 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3110","n/e","7763","1278","n/e","n/e","n/e","n/e","7268"
"Sweden (SE)","03.01.2020 05:00 - 03.01.2020 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3976","n/e","7763","1304","n/e","n/e","n/e","n/e","7264"
"Sweden (SE)","03.01.2020 06:00 - 03.01.2020 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4551","n/e","7762","1327","n/e","n/e","n/e","n/e","7087"
"Sweden (SE)","03.01.2020 07:00 - 03.01.2020 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5356","n/e","7764","1324","n/e","n/e","n/e","n/e","7086"
"Sweden (SE)","03.01.2020 08:00 - 03.01.2020 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5938","n/e","7762","1335","n/e","n/e","n/e","n/e","6953"
"Sweden (SE)","03.01.2020 09:00 - 03.01.2020 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5934","n/e","7761","1327","n/e","n/e","n/e","n/e","6846"
"Sweden (SE)","03.01.2020 10:00 - 03.01.2020 11:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6021","n/e","7765","1342","n/e","n/e","n/e","n/e","6823"
"Sweden (SE)","03.01.2020 11:00 - 03.01.2020 12:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6211","n/e","7762","1350","n/e","n/e","n/e","n/e","6837"
"Sweden (SE)","03.01.2020 12:00 - 03.01.2020 13:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6449","n/e","7760","1349","n/e","n/e","n/e","n/e","6816"
"Sweden (SE)","03.01.2020 13:00 - 03.01.2020 14:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6525","n/e","7761","1354","n/e","n/e","n/e","n/e","6836"
"Sweden (SE)","03.01.2020 14:00 - 03.01.2020 15:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6728","n/e","7760","1354","n/e","n/e","n/e","n/e","6707"
"Sweden (SE)","03.01.2020 15:00 - 03.01.2020 16:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7345","n/e","7759","1353","n/e","n/e","n/e","n/e","6561"
"Sweden (SE)","03.01.2020 16:00 - 03.01.2020 17:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7583","n/e","7760","1349","n/e","n/e","n/e","n/e","6500"
"Sweden (SE)","03.01.2020 17:00 - 03.01.2020 18:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7560","n/e","7760","1358","n/e","n/e","n/e","n/e","6465"
"Sweden (SE)","03.01.2020 18:00 - 03.01.2020 19:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7216","n/e","7755","1356","n/e","n/e","n/e","n/e","6537"
