Month,Weekday,Hour,Factor
2,4,13,1.00911
2,4,14,1.00554
2,4,15,1.01298
2,4,16,1.03219
2,4,17,1.10096
2,4,18,1.1008
2,4,19,1.03629
2,4,20,0.996574
2,4,21,0.980184
2,4,22,0.967329
2,4,23,0.9357
2,5,0,0.890963
2,5,1,0.879946
2,5,2,0.873512
2,5,3,0.881945
2,5,4,0.90978
2,5,5,0.948599
2,5,6,0.99256
2,5,7,1.07594
2,5,8,1.10483
2,5,9,1.1081
2,5,10,1.09992
2,5,11,1.0421
2,5,12,1.00251
2,5,13,0.99369
2,5,14,0.995926
2,5,15,0.996004
2,5,16,1.01068
2,5,17,1.06248
2,5,18,1.05669
2,5,19,1.01321
2,5,20,0.979207
2,5,21,0.95955
2,5,22,0.940527
2,5,23,0.921721
2,6,0,0.990152
2,6,1,0.978307
2,6,2,0.96834
2,6,3,0.963715
2,6,4,0.966566
2,6,5,0.972097
2,6,6,0.978943
2,6,7,0.990656
2,6,8,0.997611
2,6,9,1.01902
2,6,10,1.02815
2,6,11,1.02668
2,6,12,1.00918
2,6,13,0.992184
2,6,14,0.982964
2,6,15,0.990346
2,6,16,1.01831
2,6,17,1.06134
2,6,18,1.07034
2,6,19,1.02841
2,6,20,1.00501
2,6,21,0.988597
2,6,22,0.973964
2,6,23,0.946958
2,7,0,0.978475
2,7,1,0.959651
2,7,2,0.945539
2,7,3,0.942137
2,7,4,0.941448
2,7,5,0.949693
2,7,6,0.95851
2,7,7,0.968494
2,7,8,0.983445
2,7,9,1.00627
2,7,10,1.01173
2,7,11,1.01833
2,7,12,1.01018
2,7,13,0.999141
2,7,14,0.99094
2,7,15,0.996427
2,7,16,1.01517
2,7,17,1.06246
2,7,18,1.09125
2,7,19,1.07656
2,7,20,1.04239
2,7,21,1.02435
2,7,22,1.01243
2,7,23,0.983559
3,1,0,0.9169
3,1,1,0.881262
3,1,2,0.873885
3,1,3,0.880325
3,1,4,0.918205
3,1,5,0.96499
3,1,6,1.01262
3,1,7,1.08197
3,1,8,1.10183
3,1,9,1.08524
3,1,10,1.06426
3,1,11,1.04142
3,1,12,1.0176
3,1,13,1.00686
3,1,14,1.00019
3,1,15,0.995426
3,1,16,1
3,1,17,1.02101
3,1,18,1.06337
3,1,19,1.04734
3,1,20,1.00933
3,1,21,1.00365
3,1,22,0.978304
3,1,23,0.943918
3,2,0,0.908822
3,2,1,0.88374
3,2,2,0.874692
3,2,3,0.878146
3,2,4,0.899106
3,2,5,0.942904
3,2,6,0.999757
3,2,7,1.08996
3,2,8,1.10785
3,2,9,1.08248
3,2,10,1.06159
3,2,11,1.03296
3,2,12,1.01445
3,2,13,1.00151
3,2,14,0.999918
3,2,15,0.999154
