Res,0.01,0.05,0.1,0.16,0.5,0.84,0.9,0.95,0.99
Day,8.74,15.25,19.72,22.5,29.72,43.12,47.49,51.75,59.28
Hour,7.37,14.06,18.97,21.85,29.69,43.52,47.99,52.53,61.03
