Date,Hour,MAE d,MAE s
2016-02-12,4,20.19,42.25
2016-02-12,5,23.28,47.07
2016-02-12,6,29.83,44.79
2016-02-12,7,27.54,43.47
2016-02-12,8,29.5,41.95
2016-02-12,9,29.18,41.42
2016-02-12,10,23.95,43.44
2016-02-12,11,24.12,39.22
2016-02-12,12,24.25,38.79
2016-02-12,13,24.79,39.1
2016-02-12,14,26.67,39.12
2016-02-12,15,26.61,39.0
2016-02-12,16,25.92,40.86
2016-02-12,17,30.82,42.79
2016-02-12,18,31.19,42.34
2016-02-12,19,28.1,43.01
2016-02-12,20,24.29,38.94
2016-02-12,21,24.75,39.61
2016-02-12,22,22.08,41.37
2016-02-12,23,21.35,41.34
2016-02-13,0,24.49,34.76
2016-02-13,1,24.37,33.98
2016-02-13,2,24.04,34.13
2016-02-13,3,23.73,33.37
2016-02-13,4,23.51,32.85
2016-02-13,5,23.91,36.46
2016-02-13,6,26.68,41.86
2016-02-13,7,29.37,43.39
2016-02-13,8,31.06,37.49
2016-02-13,9,36.18,35.06
2016-02-13,10,32.75,34.73
2016-02-13,11,32.56,34.9
2016-02-13,12,31.13,34.91
2016-02-13,13,29.91,35.95
2016-02-13,14,29.88,37.22
2016-02-13,15,30.02,35.41
2016-02-13,16,31.5,34.59
2016-02-13,17,35.38,34.57
2016-02-13,18,36.43,34.91
2016-02-13,19,32.06,35.65
2016-02-13,20,30.37,35.33
2016-02-13,21,30.72,37.44
2016-02-13,22,27.29,38.26
2016-02-13,23,26.62,36.93
2016-02-14,0,24.48,36.67
2016-02-14,1,25.68,31.58
2016-02-14,2,26.39,31.62
2016-02-14,3,26.57,31.4
2016-02-14,4,26.68,31.73
2016-02-14,5,27.53,35.43
2016-02-14,6,30.46,36.41
2016-02-14,7,32.02,42.28
2016-02-14,8,32.4,40.59
2016-02-14,9,35.62,39.6
2016-02-14,10,32.4,34.98
2016-02-14,11,32.0,35.84
2016-02-14,12,30.75,35.93
2016-02-14,13,30.33,34.63
2016-02-14,14,29.81,36.05
2016-02-14,15,30.5,38.28
2016-02-14,16,31.62,38.03
2016-02-14,17,37.69,37.18
2016-02-14,18,39.06,36.76
2016-02-14,19,34.97,37.05
2016-02-14,20,34.9,37.01
2016-02-14,21,33.8,38.11
2016-02-14,22,32.71,38.07
2016-02-14,23,30.32,41.33
2016-02-15,0,22.38,41.22
2016-02-15,1,22.88,41.64
2016-02-15,2,23.18,41.53
2016-02-15,3,23.62,41.41
2016-02-15,4,26.05,40.75
2016-02-15,5,29.34,39.9
2016-02-15,6,32.22,35.63
2016-02-15,7,36.67,37.56
2016-02-15,8,36.03,39.84
2016-02-15,9,36.33,40.48
2016-02-15,10,33.33,40.58
2016-02-15,11,33.67,37.76
2016-02-15,12,33.14,37.79
2016-02-15,13,32.0,37.22
2016-02-15,14,30.44,37.15
2016-02-15,15,30.75,37.16
2016-02-15,16,31.39,37.1
2016-02-15,17,36.09,39.94
2016-02-15,18,37.42,38.89
2016-02-15,19,34.04,38.3
2016-02-15,20,30.66,38.38
2016-02-15,21,30.01,42.0
2016-02-15,22,26.59,39.87
2016-02-15,23,27.7,40.33
2016-02-16,0,29.55,40.54
2016-02-16,1,29.36,40.61
2016-02-16,2,29.6,40.62
2016-02-16,3,29.69,40.84
2016-02-16,4,30.77,41.06
2016-02-16,5,38.31,42.02
2016-02-16,6,43.21,37.13
2016-02-16,7,42.04,38.27
2016-02-16,8,39.07,39.34
2016-02-16,9,40.27,39.21
2016-02-16,10,32.64,36.68
2016-02-16,11,32.28,36.37
2016-02-16,12,31.26,35.86
2016-02-16,13,31.64,32.42
2016-02-16,14,30.82,33.25
2016-02-16,15,33.76,33.19
2016-02-16,16,34.03,34.51
2016-02-16,17,38.48,35.37
2016-02-16,18,42.38,35.81
2016-02-16,19,35.65,35.12
2016-02-16,20,29.2,34.42
2016-02-16,21,33.22,40.71
2016-02-16,22,31.2,40.16
2016-02-16,23,27.99,45.72
2016-02-17,0,24.57,41.28
2016-02-17,1,23.52,41.66
2016-02-17,2,23.5,40.84
2016-02-17,3,23.45,41.07
2016-02-17,4,24.65,40.53
2016-02-17,5,27.99,42.93
2016-02-17,6,30.42,36.58
2016-02-17,7,34.55,38.14
2016-02-17,8,30.78,39.59
2016-02-17,9,29.25,38.82
2016-02-17,10,29.91,37.19
2016-02-17,11,32.63,38.26
2016-02-17,12,32.64,39.85
2016-02-17,13,32.36,39.48
2016-02-17,14,33.51,39.15
2016-02-17,15,33.84,39.35
2016-02-17,16,33.95,39.52
2016-02-17,17,37.54,39.3
2016-02-17,18,37.9,39.13
2016-02-17,19,34.94,39.78
2016-02-17,20,33.19,37.27
2016-02-17,21,31.41,40.69
2016-02-17,22,27.69,41.32
2016-02-17,23,27.17,43.94
2016-02-18,0,26.38,55.13
2016-02-18,1,26.11,56.24
2016-02-18,2,26.18,56.33
2016-02-18,3,26.27,56.28
2016-02-18,4,27.39,52.9
2016-02-18,5,34.49,49.46
2016-02-18,6,33.74,48.17
2016-02-18,7,34.23,46.57
2016-02-18,8,31.64,46.51
2016-02-18,9,26.64,46.06
2016-02-18,10,29.26,45.59
2016-02-18,11,29.54,46.62
2016-02-18,12,30.1,47.89
2016-02-18,13,34.19,48.0
2016-02-18,14,33.65,47.79
2016-02-18,15,33.99,46.82
2016-02-18,16,35.93,46.42
2016-02-18,17,37.89,45.23
2016-02-18,18,38.73,45.54
2016-02-18,19,36.42,46.58
2016-02-18,20,34.45,47.56
2016-02-18,21,33.28,53.93
2016-02-18,22,30.14,55.31
2016-02-18,23,29.49,55.97
2016-02-19,0,29.53,48.01
2016-02-19,1,28.98,47.28
2016-02-19,2,28.51,47.06
2016-02-19,3,28.03,46.95
2016-02-19,4,31.68,47.1
2016-02-19,5,35.2,46.93
2016-02-19,6,40.53,47.85
2016-02-19,7,39.09,49.3
2016-02-19,8,38.31,50.59
2016-02-19,9,39.63,49.91
2016-02-19,10,37.89,48.84
2016-02-19,11,37.96,46.74
2016-02-19,12,37.97,47.31
2016-02-19,13,38.72,47.87
2016-02-19,14,38.49,46.77
2016-02-19,15,38.04,46.9
2016-02-19,16,36.25,48.02
2016-02-19,17,38.17,46.79
2016-02-19,18,36.29,46.64
2016-02-19,19,36.49,46.39
2016-02-19,20,33.91,45.56
2016-02-19,21,31.43,46.39
2016-02-19,22,29.94,44.31
2016-02-19,23,28.18,45.03
2016-02-20,0,24.33,33.67
2016-02-20,1,23.0,35.05
2016-02-20,2,20.12,34.88
2016-02-20,3,19.5,34.96
2016-02-20,4,19.74,34.89
2016-02-20,5,20.46,36.55
2016-02-20,6,24.98,36.21
2016-02-20,7,25.79,41.02
2016-02-20,8,28.97,40.08
2016-02-20,9,31.15,39.32
2016-02-20,10,27.92,39.36
2016-02-20,11,27.06,39.06
2016-02-20,12,26.21,38.87
2016-02-20,13,26.77,39.64
2016-02-20,14,27.36,39.32
2016-02-20,15,25.55,40.22
2016-02-20,16,24.94,39.64
2016-02-20,17,29.66,39.46
2016-02-20,18,30.4,39.43
2016-02-20,19,26.05,40.72
2016-02-20,20,25.32,38.37
2016-02-20,21,23.56,39.52
2016-02-20,22,21.18,41.06
2016-02-20,23,22.89,41.33
2016-02-21,0,23.96,32.32
2016-02-21,1,23.94,32.16
2016-02-21,2,23.26,32.42
2016-02-21,3,23.22,32.37
2016-02-21,4,23.01,32.38
2016-02-21,5,23.42,33.75
2016-02-21,6,25.56,37.65
2016-02-21,7,27.69,35.5
2016-02-21,8,27.49,34.69
2016-02-21,9,29.11,36.04
2016-02-21,10,26.64,36.3
2016-02-21,11,26.02,34.65
2016-02-21,12,24.98,35.94
2016-02-21,13,24.67,35.11
2016-02-21,14,23.86,33.21
2016-02-21,15,24.85,33.19
2016-02-21,16,26.09,33.27
2016-02-21,17,30.14,32.78
2016-02-21,18,31.83,32.39
2016-02-21,19,29.87,31.94
2016-02-21,20,29.32,32.11
2016-02-21,21,27.84,35.73
2016-02-21,22,25.87,35.58
2016-02-21,23,25.83,37.91
2016-02-22,0,27.11,35.92
2016-02-22,1,27.61,35.51
2016-02-22,2,27.22,36.06
2016-02-22,3,27.59,34.7
2016-02-22,4,28.24,33.13
2016-02-22,5,31.8,37.88
2016-02-22,6,34.78,39.44
2016-02-22,7,34.12,38.03
2016-02-22,8,34.99,36.01
2016-02-22,9,34.26,35.41
2016-02-22,10,30.02,36.55
2016-02-22,11,31.56,36.23
2016-02-22,12,29.45,37.55
2016-02-22,13,27.6,37.59
2016-02-22,14,27.14,37.53
2016-02-22,15,27.52,37.18
2016-02-22,16,28.91,36.22
2016-02-22,17,33.63,35.42
2016-02-22,18,34.63,34.98
2016-02-22,19,31.69,34.96
2016-02-22,20,30.88,36.05
2016-02-22,21,30.46,39.86
2016-02-22,22,27.43,42.41
2016-02-22,23,28.82,42.79
2016-02-23,0,25.19,35.71
2016-02-23,1,24.69,35.03
2016-02-23,2,24.66,35.16
2016-02-23,3,25.43,35.18
2016-02-23,4,25.55,35.03
2016-02-23,5,29.21,40.09
2016-02-23,6,33.94,42.28
2016-02-23,7,37.05,40.58
2016-02-23,8,36.86,40.32
2016-02-23,9,35.31,40.34
2016-02-23,10,33.18,39.52
2016-02-23,11,29.82,40.53
2016-02-23,12,28.91,40.72
2016-02-23,13,28.49,41.41
2016-02-23,14,27.17,41.08
2016-02-23,15,27.83,40.99
2016-02-23,16,28.68,40.35
2016-02-23,17,35.78,39.72
2016-02-23,18,35.71,39.65
2016-02-23,19,33.38,39.67
2016-02-23,20,30.76,40.2
2016-02-23,21,28.68,45.8
2016-02-23,22,25.73,42.15
2016-02-23,23,25.28,43.22
2016-02-24,0,19.51,29.91
2016-02-24,1,18.56,28.73
2016-02-24,2,18.48,28.45
2016-02-24,3,19.71,28.67
2016-02-24,4,19.65,30.68
2016-02-24,5,22.01,30.84
2016-02-24,6,27.96,30.47
2016-02-24,7,29.68,30.59
2016-02-24,8,29.07,29.52
2016-02-24,9,28.54,29.4
2016-02-24,10,25.63,29.17
2016-02-24,11,25.57,28.98
2016-02-24,12,23.65,29.3
2016-02-24,13,24.3,29.38
2016-02-24,14,24.64,30.17
2016-02-24,15,24.41,30.08
2016-02-24,16,25.37,29.93
2016-02-24,17,28.68,31.91
2016-02-24,18,30.41,31.77
2016-02-24,19,27.45,31.49
2016-02-24,20,26.12,31.36
2016-02-24,21,23.7,30.26
2016-02-24,22,20.39,35.95
2016-02-24,23,21.18,31.62
2016-02-25,0,20.87,29.98
2016-02-25,1,20.21,29.76
2016-02-25,2,20.35,29.26
2016-02-25,3,21.4,29.09
2016-02-25,4,21.3,29.42
2016-02-25,5,23.83,30.47
2016-02-25,6,32.62,31.63
2016-02-25,7,38.25,31.53
2016-02-25,8,37.74,30.28
2016-02-25,9,37.97,31.58
2016-02-25,10,34.35,31.92
2016-02-25,11,33.39,33.35
2016-02-25,12,29.87,33.85
2016-02-25,13,29.14,33.93
2016-02-25,14,27.61,34.16
2016-02-25,15,27.49,34.11
2016-02-25,16,28.12,33.34
2016-02-25,17,32.57,31.49
2016-02-25,18,33.51,31.38
2016-02-25,19,30.93,33.06
2016-02-25,20,31.64,35.95
2016-02-25,21,29.4,39.71
2016-02-25,22,24.61,29.83
2016-02-25,23,24.21,30.11
2016-02-26,0,26.15,36.97
2016-02-26,1,25.49,37.09
2016-02-26,2,25.86,36.74
2016-02-26,3,25.82,36.48
2016-02-26,4,25.95,37.14
2016-02-26,5,29.46,37.23
2016-02-26,6,33.24,36.51
2016-02-26,7,35.98,36.47
2016-02-26,8,34.75,36.74
2016-02-26,9,34.52,36.66
2016-02-26,10,30.78,38.59
2016-02-26,11,32.88,38.11
2016-02-26,12,30.71,40.15
2016-02-26,13,30.0,39.25
2016-02-26,14,28.72,39.31
2016-02-26,15,27.85,38.97
2016-02-26,16,28.82,38.69
2016-02-26,17,31.95,38.29
2016-02-26,18,33.48,37.1
2016-02-26,19,32.44,36.83
2016-02-26,20,30.1,41.17
2016-02-26,21,27.4,39.25
2016-02-26,22,25.03,36.86
2016-02-26,23,25.03,36.34
2016-02-27,0,26.68,41.79
2016-02-27,1,26.1,41.82
2016-02-27,2,26.61,42.12
2016-02-27,3,26.97,42.15
2016-02-27,4,26.23,42.12
2016-02-27,5,27.87,43.28
2016-02-27,6,30.29,43.81
2016-02-27,7,31.69,44.99
2016-02-27,8,32.18,46.22
2016-02-27,9,33.83,43.34
2016-02-27,10,30.27,44.31
2016-02-27,11,31.11,44.42
2016-02-27,12,28.76,44.98
2016-02-27,13,26.58,42.53
2016-02-27,14,25.88,42.6
2016-02-27,15,25.75,41.88
2016-02-27,16,27.06,42.86
2016-02-27,17,30.94,42.73
2016-02-27,18,32.74,42.59
2016-02-27,19,31.82,43.23
2016-02-27,20,29.72,44.61
2016-02-27,21,29.26,45.54
2016-02-27,22,27.91,47.28
2016-02-27,23,28.72,45.67
2016-02-28,0,29.14,46.64
2016-02-28,1,29.3,45.69
2016-02-28,2,29.26,45.16
2016-02-28,3,30.02,45.14
2016-02-28,4,29.83,45.11
2016-02-28,5,30.55,46.88
2016-02-28,6,30.98,47.94
2016-02-28,7,31.03,48.19
2016-02-28,8,30.63,48.12
2016-02-28,9,30.84,45.23
2016-02-28,10,28.38,46.11
2016-02-28,11,28.1,47.65
2016-02-28,12,27.48,49.08
2016-02-28,13,27.58,49.5
2016-02-28,14,27.62,50.06
2016-02-28,15,27.7,50.96
2016-02-28,16,28.41,51.25
2016-02-28,17,31.68,49.64
2016-02-28,18,32.92,51.09
2016-02-28,19,31.66,50.8
2016-02-28,20,31.94,51.93
2016-02-28,21,31.86,52.41
2016-02-28,22,30.09,55.2
2016-02-28,23,30.57,52.49
2016-02-29,0,29.54,43.51
2016-02-29,1,29.65,43.99
2016-02-29,2,29.59,44.17
2016-02-29,3,29.76,43.87
2016-02-29,4,28.41,43.98
2016-02-29,5,27.86,44.57
2016-02-29,6,22.73,45.88
2016-02-29,7,24.01,46.97
2016-02-29,8,24.57,47.25
2016-02-29,9,27.39,47.3
2016-02-29,10,28.14,48.15
2016-02-29,11,28.33,48.47
2016-02-29,12,26.55,49.53
2016-02-29,13,25.47,49.33
2016-02-29,14,25.22,48.94
2016-02-29,15,25.68,49.93
2016-02-29,16,26.9,49.83
2016-02-29,17,28.99,48.47
2016-02-29,18,29.29,48.68
2016-02-29,19,27.64,49.22
2016-02-29,20,26.46,49.47
2016-02-29,21,26.43,49.59
2016-02-29,22,23.84,50.62
2016-02-29,23,24.74,48.85
2016-03-01,0,30.58,41.2
2016-03-01,1,29.86,41.86
2016-03-01,2,29.83,41.83
2016-03-01,3,30.36,42.11
2016-03-01,4,30.47,42.68
2016-03-01,5,36.07,46.93
2016-03-01,6,33.73,46.5
2016-03-01,7,33.95,48.29
2016-03-01,8,33.69,47.71
2016-03-01,9,35.54,48.91
2016-03-01,10,32.17,49.13
2016-03-01,11,32.35,50.63
2016-03-01,12,33.25,51.27
2016-03-01,13,31.66,51.54
2016-03-01,14,33.85,51.23
2016-03-01,15,34.08,50.87
2016-03-01,16,34.73,50.32
2016-03-01,17,39.2,51.29
2016-03-01,18,40.57,51.37
2016-03-01,19,36.42,50.75
2016-03-01,20,33.83,52.31
2016-03-01,21,33.55,52.75
2016-03-01,22,32.46,50.28
2016-03-01,23,30.41,49.88
2016-03-02,0,22.51,45.38
2016-03-02,1,21.77,45.23
2016-03-02,2,21.7,44.84
2016-03-02,3,23.66,44.89
2016-03-02,4,20.64,45.56
2016-03-02,5,26.72,48.78
2016-03-02,6,30.48,52.4
2016-03-02,7,30.94,49.51
2016-03-02,8,30.47,48.85
2016-03-02,9,32.07,49.98
2016-03-02,10,29.65,50.62
2016-03-02,11,30.84,51.79
2016-03-02,12,30.95,50.73
2016-03-02,13,31.02,52.34
2016-03-02,14,31.33,52.49
2016-03-02,15,31.31,52.93
2016-03-02,16,30.87,51.82
2016-03-02,17,32.31,49.27
2016-03-02,18,30.93,47.84
2016-03-02,19,29.28,50.3
2016-03-02,20,29.05,52.98
2016-03-02,21,25.81,56.96
2016-03-02,22,24.01,57.38
2016-03-02,23,22.68,55.11
2016-03-03,0,24.51,29.89
2016-03-03,1,23.97,29.53
2016-03-03,2,23.61,29.68
2016-03-03,3,23.59,28.98
2016-03-03,4,23.31,29.3
2016-03-03,5,26.01,32.47
2016-03-03,6,32.96,41.12
2016-03-03,7,33.95,41.14
2016-03-03,8,33.49,41.53
2016-03-03,9,35.35,40.92
2016-03-03,10,31.44,39.89
2016-03-03,11,32.26,40.28
2016-03-03,12,31.83,39.76
2016-03-03,13,31.18,40.54
2016-03-03,14,31.05,40.34
2016-03-03,15,30.37,40.07
2016-03-03,16,30.52,40.16
2016-03-03,17,31.44,38.78
2016-03-03,18,31.64,39.46
2016-03-03,19,30.56,39.36
2016-03-03,20,30.63,42.03
2016-03-03,21,28.3,43.57
2016-03-03,22,23.97,39.86
2016-03-03,23,23.22,39.2
2016-03-04,0,23.78,34.96
2016-03-04,1,23.09,35.15
2016-03-04,2,23.05,35.25
2016-03-04,3,22.68,35.0
2016-03-04,4,22.43,35.29
2016-03-04,5,25.58,39.24
2016-03-04,6,30.84,38.84
2016-03-04,7,34.06,38.79
2016-03-04,8,33.34,38.22
2016-03-04,9,32.9,38.16
2016-03-04,10,28.99,38.16
2016-03-04,11,30.22,38.08
2016-03-04,12,30.22,39.14
2016-03-04,13,30.7,38.71
2016-03-04,14,30.6,38.93
2016-03-04,15,28.94,39.95
2016-03-04,16,29.45,39.95
2016-03-04,17,31.27,38.77
2016-03-04,18,32.28,40.09
2016-03-04,19,30.63,41.91
2016-03-04,20,28.42,37.53
2016-03-04,21,26.36,38.59
2016-03-04,22,21.32,39.02
2016-03-04,23,22.56,38.32
2016-03-05,0,19.55,28.04
2016-03-05,1,19.39,28.24
2016-03-05,2,19.71,28.53
2016-03-05,3,19.32,28.16
2016-03-05,4,18.81,27.91
2016-03-05,5,18.68,29.04
2016-03-05,6,23.25,27.96
2016-03-05,7,23.81,30.71
2016-03-05,8,24.64,30.36
2016-03-05,9,27.17,30.82
2016-03-05,10,24.26,31.42
2016-03-05,11,25.42,31.63
2016-03-05,12,24.55,31.8
2016-03-05,13,22.82,31.87
2016-03-05,14,23.79,32.94
2016-03-05,15,22.25,31.85
2016-03-05,16,22.83,32.39
2016-03-05,17,26.82,31.57
2016-03-05,18,28.03,31.56
2016-03-05,19,25.1,31.84
2016-03-05,20,23.43,30.6
2016-03-05,21,20.61,32.32
2016-03-05,22,18.89,32.37
2016-03-05,23,18.58,32.24
2016-03-06,0,20.66,29.31
2016-03-06,1,21.97,29.8
2016-03-06,2,20.57,29.62
2016-03-06,3,20.7,29.3
2016-03-06,4,21.02,29.47
2016-03-06,5,21.15,30.11
2016-03-06,6,22.89,29.38
2016-03-06,7,23.95,29.8
2016-03-06,8,24.57,32.2
2016-03-06,9,28.19,31.84
2016-03-06,10,24.49,31.69
2016-03-06,11,26.79,31.17
2016-03-06,12,24.79,32.31
2016-03-06,13,25.09,32.21
2016-03-06,14,23.52,31.9
2016-03-06,15,23.96,31.94
2016-03-06,16,23.46,32.85
2016-03-06,17,27.54,33.24
2016-03-06,18,31.05,32.99
2016-03-06,19,28.29,33.58
2016-03-06,20,27.83,34.7
2016-03-06,21,26.12,35.98
2016-03-06,22,21.97,37.58
2016-03-06,23,20.0,33.98
2016-03-07,0,19.69,39.54
2016-03-07,1,20.4,39.45
2016-03-07,2,20.46,39.46
2016-03-07,3,20.84,39.43
2016-03-07,4,20.29,39.44
2016-03-07,5,23.54,41.89
2016-03-07,6,33.18,46.84
2016-03-07,7,38.41,48.68
2016-03-07,8,36.79,47.08
2016-03-07,9,36.44,48.42
2016-03-07,10,31.21,48.6
2016-03-07,11,32.39,48.39
2016-03-07,12,32.01,48.4
2016-03-07,13,30.47,48.44
2016-03-07,14,30.04,48.97
2016-03-07,15,30.8,47.89
2016-03-07,16,29.26,47.2
2016-03-07,17,34.38,49.04
2016-03-07,18,34.26,46.56
2016-03-07,19,30.43,47.18
2016-03-07,20,29.86,48.76
2016-03-07,21,28.13,51.13
2016-03-07,22,24.14,48.19
2016-03-07,23,24.61,47.41
2016-03-08,0,17.81,33.14
2016-03-08,1,17.65,33.43
2016-03-08,2,17.47,33.19
2016-03-08,3,18.27,33.5
2016-03-08,4,17.91,33.21
2016-03-08,5,21.95,35.54
2016-03-08,6,25.52,35.28
2016-03-08,7,29.79,37.13
2016-03-08,8,29.86,37.52
2016-03-08,9,29.8,39.3
2016-03-08,10,24.93,37.08
2016-03-08,11,25.31,37.9
2016-03-08,12,25.4,39.54
2016-03-08,13,24.02,40.34
2016-03-08,14,21.58,38.68
2016-03-08,15,19.55,37.51
2016-03-08,16,22.08,38.1
2016-03-08,17,29.51,39.59
2016-03-08,18,30.64,38.46
2016-03-08,19,28.38,39.51
2016-03-08,20,27.64,40.96
2016-03-08,21,24.78,41.11
2016-03-08,22,21.33,41.19
2016-03-08,23,20.43,39.82
2016-03-09,0,25.56,33.39
2016-03-09,1,24.99,33.49
2016-03-09,2,24.81,33.57
2016-03-09,3,24.83,33.23
2016-03-09,4,24.98,33.81
2016-03-09,5,25.92,34.35
2016-03-09,6,25.83,27.9
2016-03-09,7,26.35,31.65
2016-03-09,8,27.42,31.6
2016-03-09,9,29.52,31.57
2016-03-09,10,27.94,32.04
2016-03-09,11,28.21,30.95
2016-03-09,12,28.01,30.78
2016-03-09,13,26.55,33.01
2016-03-09,14,26.13,33.05
2016-03-09,15,26.46,31.32
2016-03-09,16,28.07,31.66
2016-03-09,17,30.79,31.26
2016-03-09,18,31.03,31.62
2016-03-09,19,28.35,32.1
2016-03-09,20,27.36,30.18
2016-03-09,21,25.62,36.54
2016-03-09,22,21.1,37.87
2016-03-09,23,20.52,36.55
2016-03-10,0,20.33,32.26
2016-03-10,1,20.04,32.36
2016-03-10,2,19.67,32.51
2016-03-10,3,19.4,32.53
2016-03-10,4,18.24,32.75
2016-03-10,5,21.05,35.2
2016-03-10,6,27.73,34.7
2016-03-10,7,30.87,37.48
2016-03-10,8,30.88,38.52
2016-03-10,9,29.63,37.9
2016-03-10,10,24.0,38.46
2016-03-10,11,24.61,38.01
2016-03-10,12,24.54,38.88
2016-03-10,13,22.55,39.33
2016-03-10,14,22.19,38.23
2016-03-10,15,20.09,38.79
2016-03-10,16,21.63,38.94
2016-03-10,17,25.55,37.96
2016-03-10,18,26.56,38.02
2016-03-10,19,23.99,38.31
2016-03-10,20,24.74,39.57
2016-03-10,21,24.55,39.46
2016-03-10,22,19.65,42.14
2016-03-10,23,18.21,42.29
2016-03-11,0,22.34,33.34
2016-03-11,1,21.78,32.94
2016-03-11,2,21.69,32.73
2016-03-11,3,21.89,32.51
2016-03-11,4,23.55,32.88
2016-03-11,5,26.77,36.19
2016-03-11,6,32.14,30.96
2016-03-11,7,34.91,35.72
2016-03-11,8,34.97,37.15
2016-03-11,9,34.44,36.64
2016-03-11,10,29.44,36.02
2016-03-11,11,30.18,34.31
2016-03-11,12,29.98,34.61
2016-03-11,13,28.65,34.55
2016-03-11,14,28.47,34.61
2016-03-11,15,27.96,33.96
2016-03-11,16,29.41,34.47
2016-03-11,17,32.44,33.39
2016-03-11,18,32.85,33.01
2016-03-11,19,28.33,34.3
2016-03-11,20,30.09,34.41
2016-03-11,21,28.63,33.28
2016-03-11,22,24.27,34.92
2016-03-11,23,22.32,33.89
2016-03-12,0,15.77,29.78
2016-03-12,1,15.36,29.56
2016-03-12,2,15.33,29.68
2016-03-12,3,15.17,29.53
2016-03-12,4,15.49,29.83
2016-03-12,5,16.28,31.99
2016-03-12,6,19.46,32.35
2016-03-12,7,20.89,31.05
2016-03-12,8,21.98,32.65
2016-03-12,9,24.97,33.64
2016-03-12,10,21.14,33.81
2016-03-12,11,21.67,33.07
2016-03-12,12,20.36,33.69
2016-03-12,13,17.65,32.89
2016-03-12,14,17.87,32.56
2016-03-12,15,18.37,32.67
2016-03-12,16,18.41,32.19
2016-03-12,17,22.2,32.15
2016-03-12,18,25.23,32.83
2016-03-12,19,20.6,33.38
2016-03-12,20,19.35,33.31
2016-03-12,21,19.78,34.18
2016-03-12,22,17.19,34.78
2016-03-12,23,16.28,33.57
2016-03-13,0,18.04,34.6
2016-03-13,1,17.88,33.86
2016-03-13,2,18.19,33.81
2016-03-13,3,18.04,33.91
2016-03-13,4,18.45,33.86
2016-03-13,5,19.44,35.82
2016-03-13,6,21.63,34.24
2016-03-13,7,22.29,35.61
2016-03-13,8,21.15,36.32
2016-03-13,9,22.54,36.04
2016-03-13,10,18.29,36.76
2016-03-13,11,20.5,36.7
2016-03-13,12,19.86,37.2
2016-03-13,13,19.25,39.05
2016-03-13,14,17.57,38.45
2016-03-13,15,17.47,38.33
2016-03-13,16,17.76,37.18
2016-03-13,17,21.7,37.94
2016-03-13,18,23.93,37.85
2016-03-13,19,20.92,39.0
2016-03-13,20,21.34,39.51
2016-03-13,21,21.7,41.57
2016-03-13,22,19.11,43.59
2016-03-13,23,19.3,41.68
2016-03-14,0,21.57,28.24
2016-03-14,1,21.91,28.02
2016-03-14,2,21.34,27.64
2016-03-14,3,21.26,27.67
2016-03-14,4,22.07,28.22
2016-03-14,5,25.02,31.49
2016-03-14,6,32.96,41.38
2016-03-14,7,35.82,39.46
2016-03-14,8,34.92,37.5
2016-03-14,9,33.13,36.81
2016-03-14,10,27.06,36.99
2016-03-14,11,27.42,39.21
2016-03-14,12,27.31,38.77
2016-03-14,13,26.27,38.52
2016-03-14,14,25.17,40.55
2016-03-14,15,24.98,40.95
2016-03-14,16,26.75,39.67
2016-03-14,17,30.5,37.36
2016-03-14,18,31.06,36.79
2016-03-14,19,29.81,36.9
2016-03-14,20,27.52,38.82
2016-03-14,21,26.41,42.16
2016-03-14,22,22.97,40.07
2016-03-14,23,22.19,41.11
2016-03-15,0,17.78,33.55
2016-03-15,1,18.27,33.45
2016-03-15,2,18.9,33.47
2016-03-15,3,18.65,33.93
2016-03-15,4,20.49,34.0
2016-03-15,5,22.19,33.73
2016-03-15,6,29.85,38.95
2016-03-15,7,33.62,40.51
2016-03-15,8,33.19,40.3
2016-03-15,9,31.95,40.51
2016-03-15,10,25.61,40.21
2016-03-15,11,24.92,40.88
2016-03-15,12,22.19,38.98
2016-03-15,13,20.68,38.68
2016-03-15,14,20.2,38.3
2016-03-15,15,19.72,38.36
2016-03-15,16,20.46,41.45
2016-03-15,17,26.33,40.59
2016-03-15,18,28.26,40.15
2016-03-15,19,26.0,39.6
2016-03-15,20,26.2,39.71
2016-03-15,21,24.46,42.89
2016-03-15,22,21.72,39.91
2016-03-15,23,22.41,41.16
2016-03-16,0,24.29,34.48
2016-03-16,1,23.73,34.18
2016-03-16,2,23.55,34.04
2016-03-16,3,24.32,34.28
2016-03-16,4,24.95,34.51
2016-03-16,5,27.08,33.75
2016-03-16,6,33.41,38.88
2016-03-16,7,36.94,37.4
2016-03-16,8,35.66,36.98
2016-03-16,9,34.18,37.29
2016-03-16,10,27.0,37.44
2016-03-16,11,26.05,37.42
2016-03-16,12,25.17,38.28
2016-03-16,13,23.27,37.25
2016-03-16,14,22.98,37.56
2016-03-16,15,23.29,40.79
2016-03-16,16,23.48,39.86
2016-03-16,17,27.41,40.43
2016-03-16,18,30.37,40.26
2016-03-16,19,26.45,40.08
2016-03-16,20,27.6,42.12
2016-03-16,21,27.73,42.5
2016-03-16,22,23.91,39.74
2016-03-16,23,24.26,40.89
2016-03-17,0,17.83,38.9
2016-03-17,1,16.67,39.03
2016-03-17,2,16.26,38.79
2016-03-17,3,16.97,38.27
2016-03-17,4,17.86,38.64
2016-03-17,5,20.65,39.85
2016-03-17,6,25.76,44.06
2016-03-17,7,31.04,39.58
2016-03-17,8,29.39,41.32
2016-03-17,9,28.29,39.99
