Date,Hour,MAE d,MAE s
2014-07-07,19,31.54,24.37
2014-07-07,20,30.26,24.63
2014-07-07,21,28.44,26.59
2014-07-07,22,28.66,24.96
2014-07-07,23,27.68,28.53
2014-07-08,0,32.05,24.95
2014-07-08,1,31.34,27.17
2014-07-08,2,30.68,28.19
2014-07-08,3,30.71,28.59
2014-07-08,4,29.32,28.62
2014-07-08,5,30.13,25.37
2014-07-08,6,32.88,26.19
2014-07-08,7,28.28,32.78
2014-07-08,8,27.25,25.64
2014-07-08,9,26.57,29.02
2014-07-08,10,28.22,29.34
2014-07-08,11,32.89,29.13
2014-07-08,12,34.31,29.04
2014-07-08,13,32.08,32.23
2014-07-08,14,31.69,32.46
2014-07-08,15,31.56,32.33
2014-07-08,16,31.18,27.57
2014-07-08,17,27.04,26.08
2014-07-08,18,25.23,26.5
2014-07-08,19,30.24,25.75
2014-07-08,20,29.5,26.57
2014-07-08,21,30.09,25.0
2014-07-08,22,31.85,26.71
2014-07-08,23,29.7,30.02
2014-07-09,0,29.24,31.85
2014-07-09,1,24.51,34.86
2014-07-09,2,22.45,36.27
2014-07-09,3,21.7,36.68
2014-07-09,4,20.58,36.96
2014-07-09,5,23.68,32.13
2014-07-09,6,35.98,30.58
2014-07-09,7,30.36,33.5
2014-07-09,8,30.83,27.56
2014-07-09,9,31.0,32.45
2014-07-09,10,32.96,32.96
2014-07-09,11,35.58,32.78
2014-07-09,12,36.62,32.64
2014-07-09,13,34.91,33.8
2014-07-09,14,32.98,35.04
2014-07-09,15,32.11,34.27
2014-07-09,16,34.38,31.12
2014-07-09,17,30.23,29.75
2014-07-09,18,28.54,26.92
2014-07-09,19,32.71,27.59
2014-07-09,20,32.57,28.94
2014-07-09,21,32.94,30.09
2014-07-09,22,32.5,31.34
2014-07-09,23,28.39,33.1
2014-07-10,0,25.94,31.43
2014-07-10,1,25.44,32.76
2014-07-10,2,25.34,32.86
2014-07-10,3,25.3,32.88
2014-07-10,4,24.47,33.23
2014-07-10,5,25.14,30.39
2014-07-10,6,34.05,29.69
2014-07-10,7,29.99,30.24
2014-07-10,8,30.27,27.2
2014-07-10,9,30.1,30.87
2014-07-10,10,31.86,31.3
2014-07-10,11,34.83,31.85
2014-07-10,12,33.56,31.74
2014-07-10,13,32.61,34.73
2014-07-10,14,32.11,35.48
2014-07-10,15,31.99,36.59
2014-07-10,16,32.45,32.78
2014-07-10,17,29.67,30.0
2014-07-10,18,29.68,28.68
2014-07-10,19,33.75,27.25
2014-07-10,20,33.43,27.39
2014-07-10,21,33.32,28.3
2014-07-10,22,29.17,29.59
2014-07-10,23,28.56,33.12
2014-07-11,0,32.25,29.49
2014-07-11,1,31.92,31.24
2014-07-11,2,31.41,32.19
2014-07-11,3,31.0,33.16
2014-07-11,4,29.74,33.12
2014-07-11,5,30.87,29.55
2014-07-11,6,33.91,29.45
2014-07-11,7,33.98,35.48
2014-07-11,8,34.88,28.26
2014-07-11,9,34.03,31.71
2014-07-11,10,37.31,33.02
2014-07-11,11,40.2,33.15
2014-07-11,12,39.47,35.77
2014-07-11,13,39.16,36.64
2014-07-11,14,39.11,37.81
2014-07-11,15,39.1,38.77
2014-07-11,16,39.17,32.72
2014-07-11,17,34.38,31.08
2014-07-11,18,35.35,28.73
2014-07-11,19,41.87,28.24
2014-07-11,20,39.12,26.23
2014-07-11,21,38.19,28.26
2014-07-11,22,36.54,29.37
2014-07-11,23,37.39,35.34
2014-07-12,0,37.61,26.88
2014-07-12,1,37.17,29.39
2014-07-12,2,37.05,30.49
2014-07-12,3,36.71,30.01
2014-07-12,4,35.26,30.61
2014-07-12,5,35.07,31.62
2014-07-12,6,35.23,30.85
2014-07-12,7,33.9,28.85
2014-07-12,8,36.06,27.51
2014-07-12,9,39.69,34.53
2014-07-12,10,42.73,34.05
2014-07-12,11,45.28,35.32
2014-07-12,12,45.43,35.86
2014-07-12,13,42.84,35.71
2014-07-12,14,42.55,34.87
2014-07-12,15,42.1,30.51
2014-07-12,16,42.33,31.92
2014-07-12,17,40.57,30.56
2014-07-12,18,40.09,31.57
2014-07-12,19,44.82,28.92
2014-07-12,20,42.27,30.14
2014-07-12,21,42.18,29.1
2014-07-12,22,42.51,29.09
2014-07-12,23,42.7,32.85
2014-07-13,0,32.17,28.81
2014-07-13,1,29.23,30.74
2014-07-13,2,29.35,32.87
2014-07-13,3,28.83,34.34
