Period,mape,smape,mae,rmse
140.000,9.932,8.978,3.005,4.268
141.000,11.275,10.006,3.365,4.839
142.000,13.237,11.734,4.001,5.373
143.000,14.968,13.234,4.534,5.853
144.000,19.501,16.653,5.618,7.160
145.000,22.712,19.297,6.526,7.884
146.000,42.244,27.613,8.461,10.645
147.000,46.330,29.313,8.387,11.031
148.000,50.237,32.376,9.326,11.635
149.000,54.103,35.225,10.371,12.312
150.000,56.510,37.306,11.105,12.632
151.000,39.424,26.587,7.110,9.197
152.000,45.299,30.404,8.531,10.373
153.000,46.653,31.720,8.896,10.450
154.000,41.361,28.434,7.642,9.283
155.000,43.998,30.457,8.341,9.698
156.000,39.660,27.747,7.367,8.769
157.000,34.563,24.334,6.209,7.746
158.000,20.162,13.970,2.980,5.185
159.000,23.795,16.408,3.733,5.869
160.000,20.038,22.597,5.881,6.278
161.000,21.356,24.050,6.207,6.397
162.000,19.230,21.319,5.651,5.732
163.000,8.312,8.746,2.491,2.748
164.000,7.428,7.775,2.244,2.483
165.000,7.163,7.476,2.162,2.373
166.000,4.536,4.619,1.357,1.514
167.000,4.941,5.041,1.476,1.604
168.000,5.798,5.500,1.526,2.186
169.000,6.935,6.400,1.786,2.700
170.000,8.860,8.094,2.308,3.317
171.000,12.285,11.064,3.250,4.272
172.000,12.376,11.174,3.311,4.326
173.000,13.159,11.903,3.565,4.507
174.000,14.814,13.373,4.048,4.896
175.000,14.156,13.032,3.926,4.491
176.000,18.692,16.623,5.185,5.978
177.000,21.188,18.782,5.957,6.546
178.000,21.722,19.332,6.180,6.585
179.000,16.687,15.219,4.803,5.152
180.000,18.934,17.111,5.474,5.756
181.000,16.433,15.013,4.772,5.063
182.000,7.863,7.535,2.394,2.657
183.000,7.502,7.230,2.311,2.530
184.000,5.916,5.898,1.938,2.140
185.000,5.977,6.020,2.011,2.212
186.000,6.226,6.377,2.179,2.460
187.000,6.938,7.206,2.503,2.853
188.000,8.195,8.665,3.035,3.515
189.000,8.956,9.471,3.306,3.664
190.000,10.198,10.826,3.772,4.026
191.000,9.635,10.179,3.577,3.762
192.000,8.813,9.254,3.290,3.413
193.000,5.846,6.056,2.205,2.399
194.000,2.959,3.016,1.130,1.378
195.000,2.668,2.700,1.014,1.304
196.000,3.077,3.063,1.159,1.332
197.000,3.271,3.298,1.241,1.463
198.000,3.881,3.979,1.488,1.797
199.000,3.555,3.626,1.362,1.636
200.000,3.366,3.412,1.286,1.512
201.000,3.201,3.216,1.218,1.422
202.000,3.614,3.674,1.390,1.587
203.000,4.411,4.516,1.707,1.880
204.000,6.032,6.254,2.357,2.545
205.000,6.404,6.645,2.505,2.652
206.000,4.729,4.875,1.848,2.067
207.000,2.994,3.017,1.165,1.378
208.000,2.604,2.561,1.015,1.389
209.000,3.778,3.647,1.422,1.974
210.000,5.404,5.086,1.896,2.760
211.000,7.164,6.724,2.554,3.281
212.000,7.379,6.918,2.619,3.397
213.000,7.957,7.421,2.799,3.707
214.000,9.663,8.934,3.371,4.329
215.000,11.294,10.385,3.926,4.837
216.000,13.342,12.176,4.560,5.387
217.000,15.660,14.229,5.361,5.976
218.000,16.342,14.848,5.569,6.100
219.000,15.984,14.565,5.431,5.949
220.000,16.421,14.981,5.591,6.023
221.000,15.659,14.328,5.326,5.807
222.000,17.230,15.720,5.866,6.206
223.000,15.180,13.969,5.158,5.525
224.000,10.772,10.103,3.664,4.095
225.000,13.074,12.164,4.472,4.777
226.000,12.302,11.510,4.224,4.455
227.000,9.165,8.683,3.152,3.455
228.000,5.550,5.356,1.902,2.240
229.000,5.346,5.181,1.834,2.111
230.000,4.040,3.973,1.385,1.690
231.000,6.666,6.391,2.300,2.600
232.000,3.728,3.628,1.277,1.613
233.000,3.426,3.369,1.178,1.397
234.000,3.413,3.404,1.185,1.306
235.000,3.771,3.820,1.320,1.451
236.000,4.468,4.600,1.580,1.849
237.000,4.738,4.872,1.666,1.863
238.000,5.818,6.035,2.037,2.289
239.000,4.615,4.749,1.608,1.922
240.000,4.418,4.516,1.522,1.783
241.000,4.085,4.128,1.387,1.642
242.000,4.356,4.415,1.472,1.686
243.000,5.143,5.272,1.729,1.936
244.000,6.007,6.191,1.995,2.161
245.000,6.144,6.092,1.867,2.211
246.000,6.360,6.253,1.908,2.269
247.000,6.233,6.104,1.859,2.266
248.000,6.219,6.079,1.852,2.270
249.000,6.801,6.901,2.091,2.464
250.000,7.074,7.191,2.187,2.513
251.000,5.797,5.767,1.730,2.155
252.000,4.801,4.561,1.341,1.968
253.000,5.781,5.466,1.655,2.209
254.000,5.562,5.275,1.593,2.146
255.000,5.338,5.093,1.529,2.063
256.000,5.565,5.295,1.604,2.117
257.000,6.551,6.149,1.919,2.451
258.000,7.643,7.141,2.262,2.758
259.000,2.245,2.262,0.752,0.849
260.000,3.068,3.069,1.031,1.262
261.000,2.794,2.699,0.929,1.513
262.000,3.378,3.247,1.133,1.766
263.000,4.036,3.872,1.368,2.001
264.000,4.351,4.178,1.482,2.053
265.000,3.867,3.751,1.325,1.766
266.000,3.876,3.729,1.335,1.909
267.000,4.308,4.257,1.561,2.093
268.000,4.257,4.174,1.545,2.156
269.000,4.333,4.250,1.575,2.158
270.000,5.119,4.984,1.861,2.423
271.000,6.323,6.102,2.272,2.817
272.000,6.732,6.491,2.409,2.937
273.000,7.398,7.119,2.643,3.075
274.000,5.524,5.404,2.025,2.670
275.000,5.901,5.799,2.194,2.804
276.000,6.563,6.438,2.446,2.972
277.000,7.244,7.112,2.709,3.135
278.000,7.538,7.318,2.808,3.272
279.000,8.285,8.015,3.070,3.439
280.000,8.697,8.353,3.208,3.583
281.000,12.709,11.884,4.638,4.839
282.000,11.093,10.427,4.036,4.339
283.000,11.882,11.169,4.337,4.511
284.000,9.316,8.841,3.423,3.697
285.000,7.500,7.151,2.760,3.165
286.000,8.377,7.930,3.038,3.524
287.000,9.920,9.349,3.606,3.971
288.000,7.867,7.462,2.878,3.353
289.000,7.334,6.966,2.712,3.260
290.000,7.807,7.412,2.921,3.446
291.000,8.603,8.140,3.247,3.834
292.000,10.679,9.990,4.030,4.629
293.000,11.367,10.611,4.272,4.849
294.000,13.697,12.687,5.149,5.565
295.000,13.808,12.788,5.235,5.663
296.000,11.879,11.061,4.580,5.147
297.000,11.690,10.905,4.535,5.062
298.000,11.153,10.446,4.391,4.846
299.000,9.260,8.730,3.697,4.245
300.000,8.363,7.934,3.389,3.965
301.000,9.948,9.371,4.054,4.538
302.000,10.878,10.211,4.481,4.983
303.000,11.312,10.569,4.685,5.355
304.000,11.443,10.715,4.798,5.411
305.000,9.813,9.280,4.215,4.880
306.000,9.557,9.041,4.149,4.947
307.000,10.201,9.645,4.416,5.123
308.000,11.120,10.505,4.781,5.329
309.000,11.005,10.479,4.773,5.296
310.000,12.572,11.891,5.415,5.817
311.000,16.367,14.949,6.919,7.427
312.000,16.296,14.959,6.883,7.221
