Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2017,385403,415339,175857,79728,1056333.0,20133,14736,9768,44637.0
02-01-2017,520915,511577,198963,78426,1309885.0,27410,26986,6106,60502.0
03-01-2017,507678,506158,207701,112917,1334446.0,24775,28709,6159,59643.0
04-01-2017,491218,535281,219773,124512,1370794.0,39771,29488,9146,78405.0
05-01-2017,586597,570019,224619,109424,1490662.0,41847,37901,12639,92387.0
06-01-2017,557752,572303,222942,108809,1461818.0,42645,38999,5315,86959.0
07-01-2017,486905,516270,209255,105273,1317719.0,37357,15548,4630,57535.0
08-01-2017,513904,487714,205136,71035,777383.0,33870,25234,2555,61659.0
09-01-2017,493324,528153,210587,101539,1285657.0,43166,18262,5349,66777.0
10-01-2017,469571,542939,206235,120442,1339192.0,45170,19827,4397,69394.0
11-01-2017,409572,541190,212991,142803,1306555.0,42293,20201,8995,71489.0
12-01-2017,433051,545029,218893,132672,1329640.0,39070,22220,9295,70585.0
13-01-2017,527723,530460,202718,82824,1295035.0,38035,25664,10832,74531.0
14-01-2017,470652,484011,176070,103236,1233979.0,27342,20857,1721,49920.0
15-01-2017,499016,527397,176784,78918,1282118.0,28781,22031,2598,53410.0
16-01-2017,573973,572344,219722,90550,1456596.0,39801,33713,9976,83490.0
17-01-2017,556056,563409,225067,93305,1437837.0,39185,28023,7679,74887.0
18-01-2017,486023,553612,214551,108347,1362561.0,41258,24136,8357,73751.0
19-01-2017,479047,545932,215197,88757,1328903.0,38010,23587,8137,69734.0
20-01-2017,457146,533067,219827,87394,1297440.0,35871,22579,6917,65156.0
21-01-2017,456302,502808,206671,60135,1225928.0,25729,21406,3914,51049.0
22-01-2017,469043,528200,194344,55580,1247166.0,28407,20052,3947,52406.0
23-01-2017,504094,569727,210090,66933,1350856.0,39258,24808,7783,71849.0
24-01-2017,541604,552748,217028,84553,1395935.0,40511,25515,8025,74051.0
25-01-2017,506901,561573,226904,80215,1375601.0,40899,23465,5252,69616.0
26-01-2017,483398,560233,215373,77335,1336341.0,42658,20468,9054,72180.0
27-01-2017,496347,531890,216491,91214,1286307.0,40565,22403,5262,68230.0
28-01-2017,469484,497299,206342,79862,1252990.0,30941,17060,2333,50334.0
29-01-2017,434266,494368,205748,89698,1174855.0,32059,14567,4250,50876.0
30-01-2017,508343,532486,217985,79256,1291318.0,40730,23274,6549,70553.0
31-01-2017,537729,518168,217708,91589,1365198.0,40820,26507,5466,72793.0
01-02-2017,538618,521044,217196,91794,1368661.0,39672,24348,7030,71050.0
02-02-2017,524694,523491,217345,108726,1374261.0,39042,23057,5868,67967.0
03-02-2017,514523,525259,210946,102131,1352857.0,39584,23735,5785,69104.0
04-02-2017,480581,493427,195275,80552,1249837.0,26163,17570,3193,46926.0
05-02-2017,462910,492582,202793,86343,1244633.0,27420,18280,3344,49044.0
06-02-2017,513326,540491,224541,102380,1380748.0,39451,27803,9676,76930.0
07-02-2017,515696,558139,237944,126242,1438019.0,39114,31947,12250,83311.0
08-02-2017,537232,568106,240364,122477,1468178.0,39272,31260,11887,82419.0
09-02-2017,574002,563330,241980,105390,1484706.0,38367,34280,9397,82044.0
