Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2016,429300,490374,199197,54119,1172998.0,21497,11118,6563,39178.0
02-01-2016,391034,498195,208109,122827,1220172.0,22788,13613,7749,44150.0
03-01-2016,438703,497756,203986,133821,1274271.0,25789,14512,4628,44929.0
04-01-2016,523362,546811,226540,135137,1431854.0,34156,19413,7121,60690.0
05-01-2016,567256,545591,236822,119464,1469134.0,35722,22665,6914,65301.0
06-01-2016,597439,546405,235521,117051,1496410.0,37484,23027,5218,65729.0
07-01-2016,602426,551378,248591,125667,1528063.0,42073,27037,8764,77874.0
08-01-2016,576332,539924,251319,114339,1481921.0,44090,18808,7180,70078.0
09-01-2016,593157,520845,227192,92070,1433262.0,33888,17070,3788,54746.0
10-01-2016,511467,496419,221946,102566,1332400.0,29701,18469,4415,52585.0
11-01-2016,563393,532409,241720,82097,1419622.0,43542,21325,11889,76756.0
12-01-2016,562635,520962,241677,84882,1410160.0,40196,22698,11515,74409.0
13-01-2016,576856,533595,247569,85167,1443188.0,40193,23356,9902,73451.0
14-01-2016,603726,538160,250687,100497,1493075.0,42864,26660,14292,83816.0
15-01-2016,614515,559261,248263,101052,1523094.0,44665,28023,9107,81795.0
16-01-2016,602465,543655,230729,87729,1464585.0,28943,18589,4629,52161.0
17-01-2016,577663,538778,228438,83535,1428422.0,29665,19794,4956,54415.0
18-01-2016,601886,567298,245709,103388,1518290.0,44743,27075,12438,84256.0
19-01-2016,603956,543739,242876,108593,1499171.0,47008,27643,12397,87048.0
20-01-2016,612639,556405,246902,101355,1517314.0,45122,26592,10003,81717.0
21-01-2016,615493,550496,249958,105703,1521659.0,43382,27425,10246,81053.0
22-01-2016,602549,553157,250790,116819,1523324.0,37478,24851,9793,72122.0
23-01-2016,585330,506000,214523,75858,1381717.0,25762,21232,4402,51396.0
24-01-2016,544934,478346,194831,82042,1300157.0,21597,18947,4039,44583.0
25-01-2016,538780,514833,214452,92998,1361074.0,33625,24358,7154,65137.0
26-01-2016,453423,535283,217496,116677,1322891.0,31722,20614,8584,60920.0
27-01-2016,406718,538637,204181,122162,1271702.0,35926,20550,9673,66149.0
28-01-2016,422995,540787,202878,116957,1283629.0,37626,16756,13280,67662.0
29-01-2016,385609,550640,205078,128876,1270203.0,37509,17032,11024,65565.0
30-01-2016,348858,506284,189078,112804,1157022.0,19944,11560,9275,40779.0
31-01-2016,378922,505136,189412,108010,1181480.0,20185,10129,8301,38615.0
01-02-2016,459805,549114,211421,105718,1326064.0,31943,18619,8878,59440.0
02-02-2016,417440,540010,207246,131933,1296627.0,35498,16601,13252,65351.0
03-02-2016,455163,537695,201927,117467,1312263.0,38424,14413,12711,65548.0
04-02-2016,485907,564689,210678,100542,1361826.0,37095,16025,8907,62027.0
05-02-2016,544533,541483,215852,80907,1382777.0,34539,18478,9962,62979.0
06-02-2016,383591,502834,206901,111569,1204899.0,20840,9254,5478,35572.0
07-02-2016,336090,468267,186472,110583,1101412.0,19851,10453,6660,36964.0
08-02-2016,368836,530077,208682,123290,1230890.0,26605,16740,9908,53253.0
09-02-2016,436389,521907,206624,93393,1258321.0,26436,19030,9930,55396.0
10-02-2016,528175,531590,203356,60569,1323699.0,26407,16980,8562,51949.0
11-02-2016,542370,537744,203880,52280,1336280.0,25419,19391,7967,52777.0
12-02-2016,555976,558663,207954,58388,1380986.0,27607,19808,7402,54817.0
13-02-2016,523743,519695,198526,54645,1296612.0,19626,13833,4537,37996.0
14-02-2016,451939,493402,190787,85885,1222011.0,17801,11313,4355,33469.0
15-02-2016,539583,560381,214376,86059,1400405.0,27521,18280,4967,50768.0
16-02-2016,582914,535888,228458,81646,1428914.0,29887,20223,6184,56294.0
17-02-2016,520783,548391,219193,99003,1387368.0,27391,18320,6818,52529.0
18-02-2016,571548,544548,220754,76139,1412992.0,27391,14976,10388,52755.0
19-02-2016,552656,536851,216422,79926,1385861.0,20444,12947,7989,41380.0
20-02-2016,378493,532356,199633,116140,1226626.0,16820,12792,5573,35185.0
21-02-2016,361557,483543,197922,100317,1143349.0,15152,9661,6472,31285.0
22-02-2016,469733,508810,196607,112306,1287462.0,17074,13554,9603,40231.0
23-02-2016,494434,511203,198110,116110,1319865.0,20968,12193,9399,42560.0
24-02-2016,501431,517970,208508,111843,1339754.0,25723,15971,9492,51186.0
25-02-2016,553357,518153,206909,87941,1366365.0,27429,16412,7753,51594.0
26-02-2016,557599,512547,215517,87697,1373357.0,26953,15488,7186,49627.0
27-02-2016,521237,509125,200224,60699,1291285.0,17384,9789,7675,34848.0
28-02-2016,469533,477310,196449,58005,1201299.0,18044,9995,3304,31343.0
29-02-2016,555772,522629,213193,71179,1362773.0,24236,18200,6691,49127.0
01-03-2016,530964,529131,212602,103042,1375738.0,28216,18873,8752,55841.0
02-03-2016,516565,539089,213656,90784,1360095.0,29286,19856,6939,56081.0
03-03-2016,553458,520574,214359,78797,1367190.0,30226,22622,7023,59871.0
04-03-2016,544411,510039,212760,72297,1339507.0,25489,22427,6565,54481.0
05-03-2016,489024,476795,196166,94267,1256253.0,15968,9842,2868,28678.0
06-03-2016,464831,488436,192146,64074,1209494.0,16464,6311,5190,27965.0
07-03-2016,535443,534451,199869,75929,1345701.0,17135,15407,5395,37937.0
08-03-2016,547478,514165,196411,77049,1335103.0,16079,14248,6622,36949.0
09-03-2016,527225,498733,199274,87281,1312521.0,20861,22916,4200,47977.0
10-03-2016,533068,496567,202228,84982,1316846.0,20454,19987,5271,45712.0
11-03-2016,535152,489083,202140,80033,1306418.0,20652,21147,5357,47156.0
12-03-2016,508998,447050,193939,71900,1221897.0,13765,11930,3850,29545.0
13-03-2016,444571,432825,195761,65567,1138727.0,14675,13200,3531,31406.0
14-03-2016,486582,499927,201878,67543,1255939.0,19549,23189,6960,49698.0
15-03-2016,473872,490258,197828,74396,1236355.0,17959,22057,5807,45823.0
16-03-2016,466517,484109,196548,62626,1209806.0,20576,20007,5568,46151.0
17-03-2016,469187,504837,201166,74760,1249965.0,19707,19835,6330,45872.0
18-03-2016,468036,503901,211947,64160,1248054.0,21025,19303,10637,50965.0
19-03-2016,442022,441040,196728,73755,1153555.0,15705,14531,8936,39172.0
20-03-2016,378682,409986,191477,87343,1067496.0,18085,17591,2948,38624.0
21-03-2016,452860,460042,205620,102341,1220871.0,24638,25269,5447,55354.0
22-03-2016,475579,488353,204383,77764,1246088.0,27986,24862,4332,57180.0
23-03-2016,479066,483104,205444,68944,1236561.0,28420,26658,5498,60576.0
24-03-2016,453401,496691,207589,63353,1221043.0,25639,25738,5593,56970.0
25-03-2016,404879,466437,192715,71634,1135668.0,19407,21959,5019,46385.0
26-03-2016,335288,415420,175444,85505,1011659.0,19753,16768,2659,39180.0
27-03-2016,249232,406616,175878,89136,920862.0,16735,7837,4286,28858.0
28-03-2016,275728,424976,184240,102871,987809.0,17500,14281,5552,37333.0
