Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2020,362747,491471,195858,119185,1169271.0,9835,18091,11937,39863.0
02-01-2020,355963,522341,203463,139436,1221209.0,10585,19212,12486,42283.0
03-01-2020,370200,527282,203666,114455,1215611.0,11483,21189,15400,48072.0
04-01-2020,359781,519648,204412,126954,1210800.0,11832,19455,13810,45097.0
05-01-2020,429285,512773,206190,102893,1251143.0,10593,20730,8944,40267.0
06-01-2020,437173,517810,200687,103861,1259533.0,8971,20661,10024,39656.0
07-01-2020,430211,533205,197849,120292,1281561.0,10342,16575,10475,37392.0
08-01-2020,388352,556534,204234,126569,1275698.0,13404,18419,13278,45101.0
09-01-2020,488867,535409,220171,100327,1344775.0,13617,22502,12579,48698.0
10-01-2020,513112,530034,216958,97903,1358014.0,11584,24600,11193,47377.0
11-01-2020,380489,540382,209908,126549,1257341.0,12021,17677,8738,38436.0
12-01-2020,352694,499843,200909,95634,1149082.0,14599,17371,13591,45561.0
13-01-2020,475239,551738,217240,99916,1344145.0,13450,22573,13445,49468.0
14-01-2020,394637,567597,211659,123230,1297132.0,13956,22206,12258,48420.0
15-01-2020,413157,544609,201733,114068,1273567.0,14893,18964,15523,49380.0
16-01-2020,448893,543206,198989,116991,1308081.0,14482,20721,17555,52758.0
17-01-2020,453192,544356,207103,106022,1310679.0,14056,21041,11012,46109.0
18-01-2020,403837,491067,190791,116894,1202602.0,9711,17815,9890,37416.0
19-01-2020,421157,520867,191777,106254,1240063.0,11339,18274,8164,37777.0
20-01-2020,433397,570662,210080,112156,1326301.0,14046,22760,15714,52520.0
21-01-2020,403228,566834,205712,129952,1305725.0,15302,18199,16054,49555.0
22-01-2020,447913,564385,216576,102595,1331475.0,17139,19815,19198,56152.0
23-01-2020,466950,579979,216050,102591,1365578.0,14331,22694,14597,51622.0
24-01-2020,425518,581590,212247,105438,1324808.0,13528,18896,16441,48865.0
25-01-2020,421100,541017,193425,85159,1240710.0,9813,18125,10642,38580.0
26-01-2020,403355,516928,174374,95577,1190246.0,8815,17005,10173,35993.0
27-01-2020,467209,542272,192494,101477,1303466.0,11523,19077,10998,41598.0
28-01-2020,494053,526112,189318,96720,1306207.0,13845,21950,12221,48016.0
29-01-2020,488471,530049,186225,116827,1321581.0,12717,22481,10939,46137.0
30-01-2020,482862,515208,189514,112688,1300282.0,11695,23156,9203,44054.0
31-01-2020,440431,520397,191542,126521,1278897.0,11906,21159,7161,40226.0
01-02-2020,315338,490543,181810,129803,1117508.0,8445,16814,10545,35804.0
02-02-2020,400132,522837,161554,95168,1179699.0,9229,17305,14593,41127.0
