Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2018,343271,460534,190483,92249,1086545.0,23443,20909,13472,57824.0
02-01-2018,489864,488240,186703,84928,1249743.0,33624,28716,10876,73216.0
03-01-2018,486955,468784,195923,89005,1240672.0,32027,29110,10925,72062.0
04-01-2018,527654,512720,200155,76540,1317075.0,33390,31212,15656,80258.0
05-01-2018,511584,527556,207942,65716,1312800.0,32652,31414,13186,77252.0
06-01-2018,507867,515519,204571,65777,1293744.0,26407,27159,9210,62776.0
07-01-2018,437573,514641,218019,63992,1234240.0,28029,27908,9738,65675.0
08-01-2018,495583,541972,226126,75051,1338743.0,38051,34151,13072,85274.0
09-01-2018,512721,541527,215190,122827,1392280.0,37029,33746,8719,79494.0
10-01-2018,573289,559751,212028,96581,1441668.0,38449,34938,15033,88420.0
11-01-2018,589607,549847,214688,88141,1442296.0,39880,42547,12423,94850.0
12-01-2018,578563,549960,220949,104555,1454041.0,38005,41660,10801,90466.0
13-01-2018,526441,505883,204680,103299,1340311.0,25177,27414,7332,59923.0
14-01-2018,443146,517433,211630,106580,1278787.0,22928,23798,7065,53791.0
15-01-2018,441159,580990,233466,139184,1394812.0,33630,26287,15796,75713.0
16-01-2018,479101,582004,238503,97982,1397606.0,39614,28709,18480,86803.0
17-01-2018,504649,543096,243417,83632,1374807.0,43898,26342,10180,80420.0
18-01-2018,534669,520571,232556,78455,1366245.0,42185,27584,8881,78650.0
19-01-2018,586008,518260,226405,77188,1407876.0,41788,32867,9703,84358.0
20-01-2018,553589,490151,211627,78883,1334261.0,37930,21554,5359,64843.0
21-01-2018,551257,477460,218701,67851,1315280.0,30193,19723,4909,54825.0
22-01-2018,581612,507775,236926,103964,1430282.0,34788,38062,11595,84445.0
23-01-2018,577995,538437,242628,111078,1470149.0,35121,35685,9452,80258.0
24-01-2018,440452,531279,235980,134434,1342156.0,29977,28031,14425,72433.0
25-01-2018,461982,553152,224324,111362,1350826.0,29332,24573,12558,66463.0
26-01-2018,548910,542429,217099,75902,1384357.0,27885,24874,10678,63437.0
27-01-2018,522565,494221,192524,98780,1308094.0,19386,16471,7915,43772.0
28-01-2018,388031,486704,190743,111548,1177034.0,17277,11944,14617,43838.0
29-01-2018,449100,508801,211124,132407,1301462.0,27303,22362,16359,66024.0
30-01-2018,520826,528225,214903,125706,1389686.0,29680,29811,16344,75835.0
31-01-2018,469834,533916,222261,126600,1352631.0,31568,27128,11896,70592.0
01-02-2018,473233,553591,237697,122774,1387326.0,33061,27099,10256,70416.0
02-02-2018,544628,560885,235292,110600,1395813.0,32351,25994,8488,66833.0
03-02-2018,546315,557605,233942,95113,1432990.0,27034,17285,7376,51695.0
04-02-2018,504848,526739,225741,119818,1377154.0,27298,18548,9225,55071.0
05-02-2018,571987,558010,240557,89542,1460103.0,34242,34356,11602,80200.0
06-02-2018,588417,551499,252546,92272,1484741.0,31223,27831,11310,70364.0
07-02-2018,597123,556449,244065,107451,1505097.0,36345,25300,11577,73222.0
08-02-2018,584027,559535,237462,110290,1491323.0,42169,24029,8093,74291.0
09-02-2018,545679,558542,239310,119503,1463041.0,40139,22723,7724,70586.0
10-02-2018,521579,535392,212932,98397,1368311.0,30729,14929,6640,52298.0
11-02-2018,406228,512931,203586,132435,1255191.0,27535,13845,7133,48513.0
12-02-2018,488077,570584,220901,134449,1414014.0,37523,22890,11141,71554.0
13-02-2018,549326,544887,229895,96870,1420982.0,40648,24304,7990,72942.0
14-02-2018,524364,531800,226435,112419,1395019.0,38308,24089,7148,69545.0
15-02-2018,449941,573259,232378,137680,1393269.0,37634,25037,7516,70187.0
16-02-2018,523614,544580,222676,106173,1397047.0,38019,24309,8960,71288.0
17-02-2018,539783,495510,216276,76377,1327954.0,30828,23276,6544,60648.0
18-02-2018,489119,485805,213268,92856,1281058.0,27394,21997,6746,56137.0
19-02-2018,564179,540403,233303,94418,1432315.0,30561,31509,9069,71139.0
20-02-2018,577325,534788,232641,102678,1447439.0,32588,30303,9302,72193.0
21-02-2018,560406,526233,238692,91688,1417030.0,35347,30535,8261,74143.0
22-02-2018,560359,515578,240344,93623,1409917.0,33815,31647,8482,73944.0
23-02-2018,547504,527287,235296,90489,1400587.0,28235,30926,7480,66641.0
24-02-2018,466986,494980,224387,95385,1281742.0,21313,27946,9362,58621.0
25-02-2018,454013,505179,237410,96756,1293364.0,21892,22023,6777,50692.0
26-02-2018,527743,575431,252099,125056,1480342.0,30766,30027,9374,70167.0
27-02-2018,551264,605659,244099,160787,1561821.0,33451,31416,12902,77769.0
28-02-2018,561717,584123,241397,156691,1543932.0,37228,32292,14783,84303.0
01-03-2018,544450,562079,236267,146073,1488896.0,39318,35715,13964,88997.0
02-03-2018,552609,555929,227548,136628,1472724.0,38210,31071,13564,82845.0
03-03-2018,517674,494975,212165,108017,1332845.0,29756,25246,7043,62045.0
04-03-2018,476959,468542,213761,115734,1274997.0,29058,24218,5640,58916.0
05-03-2018,534503,547422,235135,131602,1448666.0,40039,33965,8214,82218.0
06-03-2018,541803,545407,244342,100971,1432528.0,40668,22618,8367,71653.0
07-03-2018,538394,550281,247099,104081,1439871.0,39860,21495,10853,72208.0
08-03-2018,504632,518721,233147,85699,1293662.0,37740,20820,6492,65052.0
09-03-2018,500286,521717,227842,91170,1341005.0,38694,19300,9775,67769.0
10-03-2018,424140,474735,212143,112258,1223280.0,31121,15452,5352,51925.0
11-03-2018,381792,487443,202216,115098,1186553.0,31729,10612,8294,50635.0
12-03-2018,487849,526681,220770,97097,1332411.0,34827,18515,14682,68024.0
13-03-2018,469146,525549,217965,100883,1313536.0,34576,20840,13071,68487.0
14-03-2018,486115,525875,233572,92218,1337788.0,35135,23009,9538,67682.0
15-03-2018,444425,520178,236389,136439,1337443.0,34545,26990,9203,70738.0
16-03-2018,467667,538115,238525,155765,1400076.0,33721,29393,13493,76607.0
17-03-2018,404829,501510,219675,134606,1260629.0,30599,27019,12438,70056.0
18-03-2018,373432,496764,228798,104338,1203342.0,36287,20514,6958,63759.0
19-03-2018,458191,555908,232773,111595,1358477.0,40967,26625,11096,72966.0
20-03-2018,448313,511929,235954,113907,1310114.0,40563,24838,10646,76047.0
21-03-2018,454026,521691,241176,123789,1340688.0,42813,22810,10996,76619.0
22-03-2018,442852,503971,224980,97616,1269433.0,43204,23812,11015,78031.0
23-03-2018,486706,496350,224130,107775,1315107.0,39833,24400,8203,72436.0
24-03-2018,369918,461317,217662,97692,1146599.0,36900,17881,8004,62785.0
25-03-2018,327744,422267,199922,73016,1022958.0,34227,17588,8201,60016.0
26-03-2018,458438,505045,231274,98588,1293351.0,39017,22128,9332,70477.0
27-03-2018,464891,507300,227357,109168,1308725.0,36874,24325,9953,71152.0
28-03-2018,421426,486531,220031,146142,1274139.0,37697,24813,8206,70716.0
29-03-2018,390900,504430,222286,132389,1250010.0,37971,24408,13946,76325.0
30-03-2018,376723,459733,210514,98454,1145432.0,29509,24214,8902,62625.0
31-03-2018,340703,427254,204916,113985,1086873.0,25829,18570,8195,52594.0
01-04-2018,321173,427224,195991,97866,1042266.0,27351,17421,13007,57779.0
02-04-2018,332963,448762,211152,83550,1076431.0,33565,19672,12841,66078.0
03-04-2018,414161,482547,226600,109013,1232325.0,31686,24910,8820,65416.0
04-04-2018,406604,486701,216779,96622,1206719.0,33426,26444,10331,70201.0
05-04-2018,391133,459237,200324,116350,1167054.0,38327,23727,8245,70299.0
