Month,Hour,Weekend,s -10,s -4,s -1,s 0,s 1,s 3,s 5,s 8,s 12,s 15,s 19,s 22,s 24,s 26,s 28,s 30,s 32,s 35,s 39,s 42,s 46,s 51,s 56,s 66,s 75,s 105,s 165,s 210
1,18,0,1.00942,1.00993,1.01005,1.01033,1.01097,1.0101,1.00977,1.00959,1.0092,1.00842,1.00647,1.00554,1.00479,1.004,1.00432,1.00504,1.00528,1.00523,1.00482,1.00469,1.00492,1.00397,1.00441,1.00427,1.00429,1.00431,1.00441,1.00455
1,19,0,1.01015,1.0105,1.01057,1.01078,1.01127,1.01045,1.00981,1.00971,1.00942,1.0086,1.0069,1.00606,1.00546,1.00464,1.00536,1.00619,1.00651,1.00664,1.00634,1.00616,1.00636,1.00533,1.0057,1.00555,1.00551,1.00553,1.00561,1.00575
1,20,0,1.00813,1.00856,1.00862,1.00878,1.00939,1.00873,1.00822,1.00817,1.00795,1.00722,1.00562,1.00491,1.00411,1.00326,1.0041,1.00499,1.00555,1.00571,1.00553,1.00551,1.00579,1.00512,1.0055,1.00564,1.00564,1.00558,1.00566,1.00577
1,21,0,1.00683,1.00719,1.00718,1.00725,1.0076,1.00683,1.00612,1.00602,1.00594,1.00522,1.00357,1.00288,1.0021,1.00138,1.00238,1.00298,1.00372,1.00407,1.00395,1.00399,1.00425,1.00368,1.00407,1.00408,1.0041,1.00423,1.00434,1.00445
1,22,0,1.00589,1.00606,1.00597,1.00601,1.00637,1.0056,1.00481,1.00479,1.00471,1.00406,1.00261,1.00198,1.00189,1.00135,1.00217,1.00227,1.00296,1.00372,1.00364,1.00373,1.00392,1.00378,1.00379,1.00353,1.00343,1.00364,1.00377,1.00387
1,23,0,1.0047,1.00484,1.00476,1.0049,1.00552,1.00491,1.00411,1.00409,1.00408,1.00344,1.00196,1.00132,1.00119,1.00068,1.00134,1.00153,1.00223,1.00321,1.00319,1.00335,1.00357,1.00354,1.00345,1.00328,1.00326,1.00353,1.00369,1.0038
2,0,0,1.00411,1.00405,1.00419,1.00439,1.00549,1.00596,1.00583,1.00585,1.00619,1.00584,1.00602,1.0063,1.00679,1.00675,1.00664,1.00786,1.00809,1.00691,1.00579,1.00563,1.00498,1.00477,1.00522,1.00542,1.00539,1.00542,1.00559,1.00567
2,1,0,1.00438,1.00442,1.00462,1.00482,1.00598,1.00657,1.00642,1.00647,1.00691,1.00666,1.00662,1.0071,1.00761,1.00757,1.00739,1.00866,1.00883,1.00755,1.00643,1.00616,1.00538,1.00519,1.00569,1.00588,1.00584,1.00584,1.006,1.00607
2,2,0,1.00425,1.00433,1.00455,1.00477,1.00599,1.00661,1.00651,1.0066,1.00706,1.00678,1.00677,1.00724,1.00777,1.0078,1.00755,1.00881,1.00891,1.00767,1.00656,1.00632,1.00551,1.00531,1.00581,1.00599,1.00596,1.00595,1.00609,1.00616
2,3,0,1.00347,1.00357,1.00382,1.00406,1.00531,1.00605,1.00595,1.00604,1.00639,1.00612,1.00627,1.00677,1.00728,1.00728,1.00703,1.00835,1.00847,1.00725,1.00623,1.00596,1.00521,1.005,1.00547,1.00565,1.0056,1.00558,1.00571,1.00579
2,4,0,1.00258,1.0027,1.00305,1.00345,1.00463,1.00486,1.00494,1.00501,1.00524,1.00487,1.00512,1.00569,1.0063,1.00635,1.00629,1.00755,1.00763,1.00631,1.00536,1.00496,1.00397,1.00364,1.00397,1.00395,1.00382,1.00368,1.0038,1.00386
2,5,0,0.999405,0.999851,1.00049,1.00106,1.00286,1.00365,1.00398,1.00398,1.00431,1.00412,1.00414,1.00439,1.005,1.00523,1.00527,1.00623,1.00642,1.00521,1.00411,1.00409,1.00318,1.00272,1.00295,1.00274,1.00251,1.00235,1.00251,1.00257
2,6,0,1.00457,1.00511,1.0057,1.00632,1.00887,1.01022,1.01052,1.01034,1.01051,1.01132,1.01049,1.00943,1.00886,1.00999,1.0103,1.01187,1.01223,1.01057,1.00879,1.00893,1.00856,1.00759,1.00772,1.0072,1.00686,1.00641,1.00645,1.00651
2,7,0,1.00786,1.00892,1.00981,1.01059,1.01358,1.01484,1.01514,1.01492,1.0149,1.01543,1.01387,1.01228,1.01158,1.01253,1.0131,1.01451,1.01426,1.01219,1.00988,1.0096,1.00879,1.00804,1.00811,1.00788,1.00764,1.00704,1.00706,1.00705
2,8,0,1.00414,1.00529,1.00616,1.0069,1.00993,1.01151,1.01153,1.01142,1.01138,1.01161,1.01041,1.00925,1.00855,1.00964,1.00988,1.0114,1.01106,1.0092,1.007,1.00658,1.00607,1.0059,1.00622,1.00599,1.00591,1.00551,1.00557,1.00557
2,9,0,1.00442,1.00538,1.00613,1.00671,1.00954,1.01091,1.01078,1.01058,1.01035,1.01021,1.00896,1.00789,1.00709,1.00834,1.00855,1.01,1.00957,1.00783,1.00568,1.00535,1.00497,1.005,1.00539,1.00523,1.00518,1.00495,1.00499,1.00502
2,10,0,1.00499,1.00588,1.00656,1.00705,1.00983,1.01105,1.01093,1.0108,1.01044,1.01011,1.00895,1.00782,1.00711,1.0082,1.00848,1.00985,1.00946,1.00782,1.00572,1.00551,1.00511,1.00516,1.00558,1.00547,1.00542,1.00526,1.00525,1.00531
2,11,0,1.00731,1.00813,1.00874,1.00912,1.01167,1.01271,1.01252,1.01227,1.01177,1.01144,1.01049,1.00955,1.00881,1.00987,1.01016,1.01146,1.01098,1.00927,1.00722,1.00687,1.00645,1.00654,1.0069,1.00673,1.00669,1.00655,1.00653,1.00659
2,12,0,1.00691,1.00764,1.00827,1.00869,1.01119,1.01214,1.01183,1.01154,1.01113,1.01082,1.00987,1.00907,1.00838,1.00925,1.00958,1.01099,1.01047,1.00869,1.00664,1.0062,1.00576,1.00585,1.00622,1.00609,1.00606,1.00596,1.00592,1.00598
2,13,0,1.00219,1.00311,1.0038,1.00429,1.00718,1.00832,1.00812,1.00789,1.00761,1.00737,1.00643,1.00566,1.00503,1.0061,1.00665,1.00829,1.00786,1.00621,1.0042,1.00381,1.00341,1.00356,1.00395,1.00382,1.0038,1.00373,1.0037,1.00376
2,14,0,0.998833,0.999823,1.00056,1.00113,1.00425,1.0055,1.00536,1.00519,1.00495,1.00476,1.00389,1.00301,1.00241,1.00352,1.00419,1.00596,1.00574,1.0042,1.00229,1.00199,1.00168,1.002,1.00244,1.00234,1.00232,1.00226,1.00223,1.00229
2,15,0,0.998285,0.999352,1.00006,1.00064,1.00389,1.00518,1.00505,1.0049,1.00469,1.00453,1.00385,1.00296,1.00251,1.00369,1.00435,1.00626,1.00617,1.00469,1.00278,1.00253,1.00231,1.00273,1.00321,1.00313,1.00312,1.00305,1.00301,1.00307
2,16,0,1.00209,1.00301,1.00369,1.00425,1.0068,1.00698,1.00691,1.00659,1.00634,1.00605,1.00538,1.00432,1.00374,1.00472,1.00513,1.00682,1.0066,1.00498,1.003,1.00259,1.0023,1.00256,1.0029,1.00284,1.00284,1.00274,1.00274,1.00279
2,17,0,1.00372,1.00447,1.00501,1.00551,1.00793,1.00807,1.00799,1.00765,1.00735,1.00679,1.00628,1.00507,1.00431,1.00511,1.00535,1.00703,1.00691,1.00519,1.00321,1.00287,1.00257,1.00278,1.00314,1.00308,1.0031,1.003,1.00298,1.00305
2,18,0,1.00201,1.00286,1.00344,1.00396,1.00645,1.00674,1.00656,1.00624,1.00605,1.0056,1.00513,1.00394,1.00323,1.00414,1.00459,1.00628,1.00633,1.00477,1.00294,1.00266,1.0024,1.00272,1.0031,1.00309,1.00315,1.00308,1.00307,1.00314
2,19,0,1.00325,1.00398,1.00441,1.00482,1.00713,1.00764,1.00724,1.00698,1.00687,1.00637,1.00636,1.0055,1.00501,1.00616,1.00683,1.00861,1.00872,1.00721,1.00528,1.00481,1.00453,1.00472,1.00521,1.00518,1.00517,1.00504,1.00502,1.00509
2,20,0,1.0033,1.00403,1.00442,1.00468,1.0065,1.00696,1.00644,1.00616,1.0061,1.00573,1.00578,1.00503,1.00461,1.00581,1.00634,1.00806,1.00786,1.00655,1.00472,1.00439,1.00429,1.00457,1.00512,1.00515,1.00513,1.00493,1.00491,1.00496
2,21,0,1.00055,1.00107,1.00129,1.00148,1.00339,1.00399,1.00358,1.00334,1.00337,1.00334,1.00311,1.00259,1.00245,1.00364,1.00415,1.0058,1.00577,1.00475,1.00313,1.00298,1.00308,1.00326,1.00395,1.00387,1.00389,1.00367,1.00366,1.00373
2,22,0,0.99876,0.999292,0.99948,0.999683,1.00124,1.00202,1.0017,1.00156,1.00186,1.00164,1.00201,1.00158,1.00229,1.00266,1.00324,1.00516,1.00514,1.00423,1.00302,1.00285,1.00274,1.00285,1.0031,1.00325,1.00322,1.00295,1.00292,1.00297
2,23,0,0.997586,0.998166,0.998472,0.998826,1.00052,1.00146,1.00116,1.00119,1.00198,1.00189,1.00187,1.00155,1.00225,1.00266,1.00315,1.00494,1.00505,1.00405,1.00312,1.00296,1.00259,1.00244,1.00272,1.00289,1.00279,1.00248,1.00246,1.0025
3,0,0,1.00637,1.00635,1.00643,1.00646,1.00714,1.00767,1.00765,1.00759,1.00781,1.00798,1.00861,1.00799,1.00726,1.00643,1.00683,1.00655,1.00708,1.00725,1.0062,1.00497,1.00532,1.00592,1.00603,1.00595,1.006,1.00616,1.00628,1.00634
3,1,0,1.00487,1.00489,1.00501,1.00507,1.00595,1.0066,1.00669,1.00671,1.00708,1.00728,1.00804,1.00746,1.00673,1.00591,1.00637,1.00607,1.00668,1.00683,1.00576,1.00451,1.00481,1.00547,1.00552,1.00545,1.00551,1.00565,1.00576,1.00583
3,2,0,1.00506,1.00505,1.00521,1.00527,1.00618,1.00684,1.00695,1.00698,1.00741,1.00757,1.00835,1.00785,1.00713,1.00618,1.00662,1.00635,1.00695,1.00707,1.00606,1.00479,1.00511,1.00575,1.00582,1.00573,1.00578,1.00592,1.00603,1.00609
3,3,0,1.00484,1.00483,1.005,1.0051,1.00611,1.00687,1.00704,1.00706,1.00734,1.00745,1.00826,1.0078,1.00706,1.00615,1.00661,1.00636,1.00696,1.00714,1.00615,1.00491,1.00518,1.0058,1.00587,1.00574,1.00576,1.00592,1.00603,1.00608
3,4,0,1.00319,1.00321,1.00345,1.00363,1.0046,1.00513,1.00558,1.00556,1.00575,1.00571,1.00673,1.0065,1.00605,1.00514,1.00567,1.00546,1.00608,1.00626,1.00502,1.00349,1.00356,1.00408,1.00405,1.00385,1.00379,1.00393,1.00403,1.00407
3,5,0,0.999029,0.999475,0.999875,1.00032,1.00216,1.00281,1.00331,1.00331,1.00342,1.00335,1.00414,1.00426,1.00386,1.00288,1.00346,1.00337,1.00399,1.00436,1.00388,1.0028,1.0027,1.00273,1.0025,1.00203,1.00188,1.002,1.00209,1.00215
3,6,0,1.0037,1.00419,1.0045,1.00519,1.00782,1.00878,1.00937,1.00929,1.00942,1.0093,1.01,1.01002,1.009,1.00874,1.00909,1.00874,1.00963,1.01001,1.01014,1.0095,1.00876,1.00817,1.00765,1.007,1.00666,1.00606,1.00608,1.00612
3,7,0,1.00774,1.00864,1.00915,1.01002,1.01335,1.01427,1.01487,1.01471,1.01475,1.01455,1.01455,1.01426,1.01295,1.01199,1.01167,1.01127,1.01208,1.01198,1.01093,1.01051,1.00958,1.00901,1.00858,1.0081,1.00791,1.00768,1.00767,1.0077
3,8,0,1.00379,1.00458,1.00508,1.00583,1.00903,1.01044,1.01088,1.01097,1.01118,1.01094,1.01067,1.01055,1.00936,1.00841,1.00823,1.00796,1.00898,1.00912,1.00822,1.00807,1.0076,1.00722,1.00697,1.00658,1.00645,1.00635,1.00636,1.00641
3,9,0,1.00375,1.0044,1.00482,1.00549,1.00861,1.00975,1.01,1.0101,1.01022,1.00994,1.00961,1.00934,1.00818,1.00749,1.00728,1.00697,1.00803,1.00807,1.00714,1.00708,1.00669,1.00641,1.00613,1.00577,1.0057,1.00575,1.00577,1.00584
3,10,0,1.0029,1.00345,1.00385,1.00446,1.00749,1.00859,1.00879,1.00885,1.00899,1.00864,1.00826,1.00813,1.00697,1.00633,1.00616,1.00587,1.00701,1.00715,1.00628,1.00623,1.00576,1.0055,1.00526,1.00492,1.00491,1.00499,1.00502,1.00507
3,11,0,1.00222,1.0028,1.00319,1.0038,1.00669,1.00772,1.00789,1.00789,1.00802,1.00769,1.0073,1.00729,1.00616,1.00562,1.00538,1.0051,1.00624,1.00645,1.00557,1.00557,1.00516,1.00493,1.0047,1.00441,1.00443,1.00454,1.00454,1.0046
