Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14
1245.09,3139.75,591.236,5061.2,3427.82,-301.368,2725.97,4001.6,3458.9,-1400.82,755.697,-1770.63,-3590.45,4808.45
387.433,2780.61,-513.961,4399.01,3280.5,-538.571,2929.97,3284.06,2948.66,-1166.15,1527.96,-1390.78,-4863.09,5003.01
844.491,2590.08,-240.404,3504.62,2029.17,-197.357,3001.6,2898.69,2580.26,-776.667,1843.45,-1295.3,-4163.15,5224.01
-471.807,89.2576,311.153,2381.79,1546.49,219.105,2586.1,3367.34,1875.6,-304.914,2446.33,-614.984,-3400.88,5384.65
483.953,3021.05,-107.343,2424.51,836.153,2639.65,154.301,3662.9,927.852,-1149.45,1698.83,-3035.33,3006.99,-1160.98
709.046,1798.73,181.443,2433.33,864.64,2714.19,310.093,3934.08,252.614,-697.95,1841.38,-2765.3,3207.54,-913.124
837.809,1750.86,348.436,2448.15,898.464,2677.93,504.221,4157.99,676.539,-272.642,1936.78,-2695.44,3361.3,-593.066
853.053,1610.48,481.155,2357.62,1063.79,2771.99,637.713,4335.84,622.036,69.2336,1945.05,-2533.25,3657.92,-319.227
927.433,1334.62,571.479,2325.42,1193.96,2880.88,729.819,4414.74,718.76,186.48,1871.6,-2511.05,3744.68,-185.343
587.463,814.915,546.375,2314.87,1274.14,2784.07,489.297,4247.11,84.6871,156.004,1726.29,-2776.31,3697.83,-783.464
-810.695,1077.23,244.391,2300.36,4299.34,1870.54,-506.284,5436.82,990.083,169.46,1779.62,-4886.45,3746.76,-2331.15
-150.47,2973.62,55.3454,2408.68,4992.85,3254.28,-76.124,5089.02,1626.65,328.027,2169.67,-2635.8,5280.46,-2271.82
2152.51,3463.3,-253.021,2760.08,5417.47,3508.96,879.928,4823.74,2563.48,-29.2377,1804.8,-2912.81,6845.01,-1792.54
2458.29,3510.66,-244.908,5578.2,5514.2,3239.84,873.118,5168.56,2337.48,-294.222,1405.25,-4097.73,7318.24,-2243.36
2356.85,3686.83,-20.093,5678.53,5438.42,3337.34,1117.39,5232.14,2434.63,34.5882,1038.55,-3948.54,6760.98,-1973.34
2993.54,3357.55,599.796,5746.6,5629.82,3280,1229.64,5321.14,2318.94,-24.275,723.529,-4556.2,6214.52,-1899.6
3117.55,2046.11,1768.69,5933.36,5610.89,2948.95,735.627,5343.55,1651.01,282.671,752.83,-4950.35,5600.31,-2650.79
