Date,Supply
2014-09-12,959779
2014-09-13,862344
2014-09-14,838696
2014-09-15,992733
2014-09-16,987217
2014-09-17,990445
2014-09-18,1.00078e+06
2014-09-19,989855
2014-09-20,883409
2014-09-21,848069
2014-09-22,1.02093e+06
2014-09-23,1.06471e+06
2014-09-24,1.0545e+06
2014-09-25,1.0452e+06
2014-09-26,1.02802e+06
2014-09-27,913890
2014-09-28,879178
2014-09-29,1.01258e+06
2014-09-30,1.05885e+06
2014-10-01,1.08984e+06
2014-10-02,1.08216e+06
2014-10-03,1.02827e+06
2014-10-04,905181
2014-10-05,909332
2014-10-06,1.0668e+06
2014-10-07,1.08846e+06
2014-10-08,1.08904e+06
2014-10-09,1.07298e+06
2014-10-10,1.0736e+06
2014-10-11,980755
2014-10-12,940327
2014-10-13,1.11204e+06
2014-10-14,1.12162e+06
2014-10-15,1.149e+06
2014-10-16,1.18648e+06
2014-10-17,1.18441e+06
2014-10-18,1.04899e+06
2014-10-19,967377
2014-10-20,1.12931e+06
2014-10-21,1.15482e+06
2014-10-22,1.1744e+06
2014-10-23,1.2251e+06
2014-10-24,1.19648e+06
2014-10-25,1.05537e+06
2014-10-26,1.05833e+06
2014-10-27,1.12876e+06
2014-10-28,1.1242e+06
2014-10-29,1.1478e+06
2014-10-30,1.20983e+06
2014-10-31,1.2148e+06
2014-11-01,1.06608e+06
2014-11-02,1.00761e+06
2014-11-03,1.11641e+06
2014-11-04,1.17584e+06
2014-11-05,1.25549e+06
2014-11-06,1.30813e+06
2014-11-07,1.27729e+06
2014-11-08,1.11827e+06
2014-11-09,1.03921e+06
2014-11-10,1.19952e+06
2014-11-11,1.19496e+06
2014-11-12,1.22004e+06
2014-11-13,1.25213e+06
2014-11-14,1.22482e+06
2014-11-15,1.11407e+06
2014-11-16,1.0978e+06
2014-11-17,1.2536e+06
2014-11-18,1.27234e+06
2014-11-19,1.30697e+06
2014-11-20,1.31718e+06
2014-11-21,1.31344e+06
2014-11-22,1.1907e+06
2014-11-23,1.10334e+06
2014-11-24,1.25791e+06
2014-11-25,1.29571e+06
2014-11-26,1.29562e+06
2014-11-27,1.30595e+06
2014-11-28,1.2955e+06
2014-11-29,1.20174e+06
2014-11-30,1.17497e+06
2014-12-01,1.34857e+06
2014-12-02,1.37973e+06
2014-12-03,1.35617e+06
2014-12-04,1.35600e+06
2014-12-05,1.3474e+06
2014-12-06,1.22664e+06
2014-12-07,1.14587e+06
2014-12-08,1.31269e+06
2014-12-09,1.36646e+06
2014-12-10,1.3214e+06
2014-12-11,1.32019e+06
2014-12-12,1.30633e+06
2014-12-13,1.22752e+06
2014-12-14,1.20752e+06
2014-12-15,1.31468e+06
2014-12-16,1.36028e+06
2014-12-17,1.37741e+06
2014-12-18,1.32696e+06
2014-12-19,1.27085e+06
2014-12-20,1.18896e+06
2014-12-21,1.17324e+06
2014-12-22,1.23857e+06
2014-12-23,1.22569e+06
2014-12-24,1.17669e+06
2014-12-25,1.20502e+06
2014-12-26,1.30536e+06
2014-12-27,1.26628e+06
2014-12-28,1.33836e+06
2014-12-29,1.44792e+06
2014-12-30,1.35499e+06
2014-12-31,1.21408e+06
2015-01-01,1.08159e+06
2015-01-02,1.15998e+06
2015-01-03,1.18581e+06
2015-01-04,1.19385e+06
2015-01-05,1.35456e+06
2015-01-06,1.36707e+06
2015-01-07,1.37746e+06
2015-01-08,1.3226e+06
2015-01-09,1.31602e+06
2015-01-10,1.23042e+06
2015-01-11,1.24803e+06
2015-01-12,1.41823e+06
2015-01-13,1.34514e+06
2015-01-14,1.36773e+06
2015-01-15,1.35403e+06
2015-01-16,1.34324e+06
2015-01-17,1.23399e+06
2015-01-18,1.21459e+06
2015-01-19,1.45734e+06
2015-01-20,1.49373e+06
2015-01-21,1.48718e+06
2015-01-22,1.48467e+06
2015-01-23,1.50406e+06
2015-01-24,1.31523e+06
2015-01-25,1.25017e+06
2015-01-26,1.3807e+06
2015-01-27,1.37599e+06
2015-01-28,1.34133e+06
2015-01-29,1.36442e+06
2015-01-30,1.38865e+06
2015-01-31,1.27457e+06
2015-02-01,1.24786e+06
2015-02-02,1.43626e+06
2015-02-03,1.47881e+06
2015-02-04,1.49383e+06
2015-02-05,1.47189e+06
2015-02-06,1.40981e+06
2015-02-07,1.23892e+06
2015-02-08,1.22395e+06
2015-02-09,1.33113e+06
2015-02-10,1.31244e+06
2015-02-11,1.35077e+06
2015-02-12,1.37448e+06
2015-02-13,1.3672e+06
2015-02-14,1.23688e+06
2015-02-15,1.22629e+06
2015-02-16,1.40510e+06
2015-02-17,1.41504e+06
2015-02-18,1.33463e+06
2015-02-19,1.29924e+06
2015-02-20,1.28977e+06
2015-02-21,1.19872e+06
2015-02-22,1.19801e+06
2015-02-23,1.31529e+06
2015-02-24,1.32392e+06
2015-02-25,1.31640e+06
2015-02-26,1.32302e+06
2015-02-27,1.32602e+06
2015-02-28,1.20176e+06
2015-03-01,1.14446e+06
2015-03-02,1.26913e+06
2015-03-03,1.29187e+06
2015-03-04,1.30859e+06
2015-03-05,1.31914e+06
2015-03-06,1.28624e+06
2015-03-07,1.15019e+06
2015-03-08,1.05758e+06
2015-03-09,1.23874e+06
2015-03-10,1.2661e+06
2015-03-11,1.26593e+06
2015-03-12,1.28482e+06
2015-03-13,1.26181e+06
2015-03-14,1.16312e+06
2015-03-15,1.12181e+06
2015-03-16,1.23121e+06
2015-03-17,1.24667e+06
2015-03-18,1.24315e+06
2015-03-19,1.27028e+06
2015-03-20,1.27468e+06
2015-03-21,1.1794e+06
2015-03-22,1.18227e+06
2015-03-23,1.29999e+06
2015-03-24,1.28159e+06
2015-03-25,1.29743e+06
2015-03-26,1.34354e+06
2015-03-27,1.284e+06
2015-03-28,1.13509e+06
2015-03-29,1.00896e+06
2015-03-30,1.20094e+06
2015-03-31,1.21388e+06
2015-04-01,1.20193e+06
2015-04-02,1.17816e+06
2015-04-03,1.0848e+06
2015-04-04,1.10391e+06
2015-04-05,1.03967e+06
2015-04-06,1.07853e+06
2015-04-07,1.19302e+06
2015-04-08,1.20399e+06
2015-04-09,1.21689e+06
2015-04-10,1.17392e+06
2015-04-11,1.00336e+06
2015-04-12,977440
2015-04-13,1.13633e+06
2015-04-14,1.17852e+06
2015-04-15,1.15176e+06
2015-04-16,1.16426e+06
2015-04-17,1.16799e+06
2015-04-18,1.04061e+06
2015-04-19,980205
2015-04-20,1.09694e+06
2015-04-21,1.07091e+06
2015-04-22,1.09446e+06
2015-04-23,1.10574e+06
2015-04-24,1.12558e+06
2015-04-25,1.01656e+06
2015-04-26,987199
2015-04-27,1.14856e+06
2015-04-28,1.14603e+06
2015-04-29,1.14456e+06
2015-04-30,1.1416e+06
2015-05-01,982256
2015-05-02,989859
2015-05-03,916081
2015-05-04,1.10665e+06
2015-05-05,1.07247e+06
2015-05-06,1.05099e+06
2015-05-07,1.05922e+06
2015-05-08,1.09227e+06
2015-05-09,958604
2015-05-10,946517
2015-05-11,1.06378e+06
2015-05-12,1.07552e+06
2015-05-13,1.09038e+06
2015-05-14,1.00182e+06
2015-05-15,1.07017e+06
2015-05-16,977487
2015-05-17,955615
2015-05-18,1.08416e+06
2015-05-19,1.09042e+06
2015-05-20,1.08156e+06
2015-05-21,1.0704e+06
2015-05-22,1.06252e+06
2015-05-23,957900
2015-05-24,911878
2015-05-25,985429
2015-05-26,1.04639e+06
2015-05-27,1.04355e+06
2015-05-28,1.05117e+06
2015-05-29,1.04568e+06
2015-05-30,956148
2015-05-31,924035
2015-06-01,1.06202e+06
2015-06-02,1.05688e+06
2015-06-03,1.06334e+06
2015-06-04,1.06360e+06
2015-06-05,1.01716e+06
2015-06-06,915023
2015-06-07,927523
2015-06-08,1.05327e+06
2015-06-09,1.04841e+06
2015-06-10,1.0483e+06
2015-06-11,1.04449e+06
2015-06-12,1.03406e+06
2015-06-13,941909
2015-06-14,924941
2015-06-15,1.06529e+06
2015-06-16,1.05921e+06
2015-06-17,1.06045e+06
2015-06-18,1.03682e+06
2015-06-19,954329
2015-06-20,898120
2015-06-21,913828
2015-06-22,1.0103e+06
2015-06-23,1.00537e+06
2015-06-24,1.00551e+06
2015-06-25,1.04914e+06
2015-06-26,1.0359e+06
2015-06-27,921229
2015-06-28,903035
2015-06-29,1.0287e+06
2015-06-30,1.02964e+06
2015-07-01,996896
2015-07-02,961903
2015-07-03,981569
2015-07-04,907921
2015-07-05,886265
2015-07-06,952381
2015-07-07,990734
2015-07-08,976021
2015-07-09,958697
2015-07-10,961869
2015-07-11,913577
2015-07-12,880516
2015-07-13,965948
2015-07-14,973303
2015-07-15,968577
2015-07-16,977218
2015-07-17,927454
2015-07-18,861755
2015-07-19,872701
2015-07-20,923768
2015-07-21,931803
2015-07-22,951841
2015-07-23,944495
2015-07-24,951249
2015-07-25,860311
2015-07-26,851022
2015-07-27,954178
2015-07-28,949892
2015-07-29,949534
2015-07-30,929328
2015-07-31,942947
2015-08-01,902462
2015-08-02,896022
2015-08-03,978979
2015-08-04,990756
2015-08-05,1.00622e+06
2015-08-06,996534
2015-08-07,980697
2015-08-08,871988
2015-08-09,871646
2015-08-10,990807
2015-08-11,984911
2015-08-12,997859
2015-08-13,978282
2015-08-14,972988
2015-08-15,897994
2015-08-16,868202
2015-08-17,989938
2015-08-18,990082
2015-08-19,1.00528e+06
2015-08-20,992380
2015-08-21,990049
2015-08-22,886663
2015-08-23,844427
2015-08-24,995030
2015-08-25,976937
2015-08-26,990817
2015-08-27,1.00855e+06
2015-08-28,1.00998e+06
2015-08-29,915839
2015-08-30,905682
2015-08-31,1.00635e+06
2015-09-01,1.01494e+06
2015-09-02,1.01691e+06
2015-09-03,995141
2015-09-04,991705
2015-09-05,888577
2015-09-06,861127
2015-09-07,1.05118e+06
2015-09-08,1.05572e+06
2015-09-09,1.03755e+06
2015-09-10,1.0388e+06
2015-09-11,1.03607e+06
2015-09-12,935182
2015-09-13,936488
2015-09-14,1.03253e+06
2015-09-15,1.03903e+06
2015-09-16,1.03851e+06
2015-09-17,1.02053e+06
2015-09-18,957142
2015-09-19,916771
2015-09-20,911224
2015-09-21,1.03503e+06
2015-09-22,1.05096e+06
2015-09-23,1.05102e+06
2015-09-24,1.04214e+06
2015-09-25,1.02880e+06
2015-09-26,957493
2015-09-27,953495
2015-09-28,1.06468e+06
2015-09-29,1.06068e+06
2015-09-30,1.06606e+06
2015-10-01,1.06512e+06
2015-10-02,1.0734e+06
2015-10-03,1.01085e+06
2015-10-04,1.02315e+06
2015-10-05,1.13019e+06
2015-10-06,1.1215e+06
2015-10-07,1.15381e+06
2015-10-08,1.1898e+06
2015-10-09,1.18845e+06
2015-10-10,1.08242e+06
2015-10-11,1.00612e+06
2015-10-12,1.17061e+06
2015-10-13,1.17873e+06
2015-10-14,1.1847e+06
2015-10-15,1.18323e+06
2015-10-16,1.17580e+06
2015-10-17,1.09652e+06
2015-10-18,1.06686e+06
2015-10-19,1.20335e+06
2015-10-20,1.20715e+06
2015-10-21,1.18375e+06
2015-10-22,1.14032e+06
2015-10-23,1.12898e+06
2015-10-24,1.04742e+06
2015-10-25,1.0628e+06
2015-10-26,1.18206e+06
2015-10-27,1.21086e+06
2015-10-28,1.2275e+06
2015-10-29,1.22759e+06
2015-10-30,1.21323e+06
2015-10-31,1.0639e+06
2015-11-01,1.05152e+06
2015-11-02,1.16751e+06
2015-11-03,1.18136e+06
2015-11-04,1.16942e+06
2015-11-05,1.21689e+06
2015-11-06,1.18852e+06
2015-11-07,1.04573e+06
2015-11-08,1.02144e+06
2015-11-09,1.1696e+06
2015-11-10,1.17570e+06
2015-11-11,1.20870e+06
2015-11-12,1.22909e+06
2015-11-13,1.20908e+06
2015-11-14,1.06445e+06
2015-11-15,1.06609e+06
2015-11-16,1.25203e+06
2015-11-17,1.25812e+06
2015-11-18,1.2315e+06
2015-11-19,1.24859e+06
2015-11-20,1.33113e+06
2015-11-21,1.23474e+06
2015-11-22,1.2188e+06
2015-11-23,1.38232e+06
2015-11-24,1.35392e+06
2015-11-25,1.34926e+06
2015-11-26,1.34524e+06
2015-11-27,1.24687e+06
2015-11-28,1.13617e+06
2015-11-29,1.10008e+06
2015-11-30,1.30906e+06
2015-12-01,1.32396e+06
2015-12-02,1.32716e+06
2015-12-03,1.30424e+06
2015-12-04,1.27281e+06
2015-12-05,1.12607e+06
2015-12-06,1.11756e+06
2015-12-07,1.32746e+06
2015-12-08,1.32279e+06
2015-12-09,1.2747e+06
2015-12-10,1.27669e+06
2015-12-11,1.30332e+06
2015-12-12,1.2248e+06
2015-12-13,1.26566e+06
2015-12-14,1.44434e+06
2015-12-15,1.44511e+06
2015-12-16,1.41768e+06
2015-12-17,1.37257e+06
2015-12-18,1.28458e+06
2015-12-19,1.13779e+06
