Date,Demand
2014-08-06,921563
2014-08-07,920486
2014-08-08,913554
2014-08-09,824266
2014-08-10,810795
2014-08-11,943443
2014-08-12,937273
2014-08-13,941704
2014-08-14,950297
2014-08-15,929192
2014-08-16,846369
2014-08-17,853344
2014-08-18,952031
2014-08-19,947441
2014-08-20,952227
2014-08-21,961136
2014-08-22,949134
2014-08-23,870718
2014-08-24,864500
2014-08-25,979901
2014-08-26,971017
2014-08-27,965075
2014-08-28,971177
2014-08-29,958735
2014-08-30,876900
2014-08-31,863033
2014-09-01,977704
2014-09-02,982465
2014-09-03,977120
2014-09-04,976234
2014-09-05,952479
2014-09-06,872653
2014-09-07,853645
2014-09-08,973885
2014-09-09,977916
2014-09-10,968643
2014-09-11,979615
2014-09-12,974166
2014-09-13,879670
2014-09-14,866704
2014-09-15,987082
2014-09-16,990825
2014-09-17,998828
2014-09-18,1.00586e+06
2014-09-19,995165
2014-09-20,903865
2014-09-21,888453
2014-09-22,1.03859e+06
2014-09-23,1.08124e+06
2014-09-24,1.07726e+06
2014-09-25,1.06562e+06
2014-09-26,1.03564e+06
2014-09-27,931045
2014-09-28,909577
2014-09-29,1.0213e+06
2014-09-30,1.04766e+06
2014-10-01,1.06689e+06
2014-10-02,1.05834e+06
2014-10-03,1.03794e+06
2014-10-04,937357
2014-10-05,924389
2014-10-06,1.05949e+06
2014-10-07,1.08985e+06
2014-10-08,1.07559e+06
2014-10-09,1.07340e+06
2014-10-10,1.05409e+06
2014-10-11,983771
2014-10-12,970838
2014-10-13,1.10004e+06
2014-10-14,1.10618e+06
2014-10-15,1.12735e+06
2014-10-16,1.1633e+06
2014-10-17,1.15876e+06
2014-10-18,1.05213e+06
2014-10-19,1.00132e+06
2014-10-20,1.11639e+06
2014-10-21,1.1516e+06
2014-10-22,1.18216e+06
2014-10-23,1.20336e+06
2014-10-24,1.16142e+06
2014-10-25,1.03744e+06
2014-10-26,1.03982e+06
2014-10-27,1.09612e+06
2014-10-28,1.09392e+06
2014-10-29,1.11476e+06
2014-10-30,1.17745e+06
2014-10-31,1.1853e+06
2014-11-01,1.06433e+06
2014-11-02,1.011e+06
2014-11-03,1.11158e+06
2014-11-04,1.14741e+06
2014-11-05,1.21323e+06
2014-11-06,1.26498e+06
2014-11-07,1.264e+06
2014-11-08,1.13569e+06
2014-11-09,1.06485e+06
2014-11-10,1.17083e+06
2014-11-11,1.15122e+06
2014-11-12,1.19397e+06
2014-11-13,1.21156e+06
2014-11-14,1.19743e+06
2014-11-15,1.10306e+06
2014-11-16,1.09437e+06
2014-11-17,1.22821e+06
2014-11-18,1.23818e+06
2014-11-19,1.26007e+06
2014-11-20,1.27501e+06
2014-11-21,1.27655e+06
2014-11-22,1.19002e+06
2014-11-23,1.14593e+06
2014-11-24,1.23324e+06
2014-11-25,1.25163e+06
2014-11-26,1.28148e+06
2014-11-27,1.29211e+06
2014-11-28,1.28353e+06
2014-11-29,1.20204e+06
2014-11-30,1.19395e+06
2014-12-01,1.33325e+06
2014-12-02,1.3431e+06
2014-12-03,1.31656e+06
2014-12-04,1.30837e+06
2014-12-05,1.29581e+06
2014-12-06,1.19880e+06
2014-12-07,1.16791e+06
2014-12-08,1.29736e+06
2014-12-09,1.32609e+06
2014-12-10,1.31108e+06
2014-12-11,1.30892e+06
2014-12-12,1.30764e+06
2014-12-13,1.22356e+06
2014-12-14,1.2061e+06
2014-12-15,1.29825e+06
2014-12-16,1.33428e+06
2014-12-17,1.36864e+06
2014-12-18,1.33986e+06
2014-12-19,1.29254e+06
2014-12-20,1.23168e+06
2014-12-21,1.22695e+06
2014-12-22,1.28489e+06
2014-12-23,1.27125e+06
2014-12-24,1.23582e+06
2014-12-25,1.27036e+06
2014-12-26,1.3033e+06
2014-12-27,1.32597e+06
2014-12-28,1.37846e+06
2014-12-29,1.44836e+06
2014-12-30,1.33814e+06
2014-12-31,1.20611e+06
2015-01-01,1.13458e+06
2015-01-02,1.20405e+06
2015-01-03,1.21353e+06
2015-01-04,1.24382e+06
2015-01-05,1.39078e+06
2015-01-06,1.36554e+06
2015-01-07,1.37665e+06
2015-01-08,1.33368e+06
2015-01-09,1.35513e+06
2015-01-10,1.28782e+06
2015-01-11,1.30536e+06
2015-01-12,1.43476e+06
2015-01-13,1.37273e+06
2015-01-14,1.37099e+06
2015-01-15,1.3646e+06
2015-01-16,1.32373e+06
2015-01-17,1.22092e+06
2015-01-18,1.23656e+06
2015-01-19,1.4043e+06
2015-01-20,1.43288e+06
2015-01-21,1.43924e+06
2015-01-22,1.45703e+06
2015-01-23,1.4659e+06
2015-01-24,1.32949e+06
2015-01-25,1.27532e+06
2015-01-26,1.36824e+06
2015-01-27,1.36373e+06
2015-01-28,1.34444e+06
2015-01-29,1.35974e+06
2015-01-30,1.36004e+06
2015-01-31,1.28056e+06
2015-02-01,1.27261e+06
2015-02-02,1.42472e+06
2015-02-03,1.44674e+06
2015-02-04,1.45905e+06
2015-02-05,1.45428e+06
2015-02-06,1.39199e+06
2015-02-07,1.25439e+06
2015-02-08,1.26789e+06
2015-02-09,1.33151e+06
2015-02-10,1.2904e+06
2015-02-11,1.3067e+06
2015-02-12,1.33009e+06
2015-02-13,1.3401e+06
2015-02-14,1.24451e+06
2015-02-15,1.24464e+06
2015-02-16,1.38106e+06
2015-02-17,1.37325e+06
2015-02-18,1.30392e+06
2015-02-19,1.28306e+06
2015-02-20,1.27722e+06
2015-02-21,1.20406e+06
2015-02-22,1.19796e+06
2015-02-23,1.33149e+06
2015-02-24,1.30531e+06
2015-02-25,1.27679e+06
2015-02-26,1.29508e+06
2015-02-27,1.29113e+06
2015-02-28,1.18977e+06
2015-03-01,1.1848e+06
2015-03-02,1.27973e+06
2015-03-03,1.29153e+06
2015-03-04,1.30695e+06
2015-03-05,1.29885e+06
2015-03-06,1.25263e+06
2015-03-07,1.15136e+06
2015-03-08,1.0937e+06
2015-03-09,1.21966e+06
2015-03-10,1.23424e+06
2015-03-11,1.22059e+06
2015-03-12,1.23549e+06
2015-03-13,1.22633e+06
2015-03-14,1.14714e+06
2015-03-15,1.12114e+06
2015-03-16,1.21956e+06
2015-03-17,1.20866e+06
2015-03-18,1.20133e+06
2015-03-19,1.21575e+06
2015-03-20,1.23023e+06
2015-03-21,1.1749e+06
2015-03-22,1.19385e+06
2015-03-23,1.25153e+06
2015-03-24,1.22115e+06
2015-03-25,1.25773e+06
2015-03-26,1.30134e+06
2015-03-27,1.25889e+06
2015-03-28,1.1321e+06
2015-03-29,1.06562e+06
2015-03-30,1.22058e+06
2015-03-31,1.24018e+06
2015-04-01,1.20984e+06
2015-04-02,1.17114e+06
2015-04-03,1.09601e+06
2015-04-04,1.07486e+06
2015-04-05,1.05424e+06
2015-04-06,1.07061e+06
2015-04-07,1.14503e+06
2015-04-08,1.14963e+06
2015-04-09,1.14615e+06
2015-04-10,1.11249e+06
2015-04-11,1.02084e+06
2015-04-12,1.01728e+06
2015-04-13,1.12895e+06
2015-04-14,1.1641e+06
2015-04-15,1.14461e+06
2015-04-16,1.13267e+06
2015-04-17,1.12741e+06
2015-04-18,1.02684e+06
2015-04-19,971860
2015-04-20,1.05756e+06
2015-04-21,1.04821e+06
2015-04-22,1.05755e+06
2015-04-23,1.06237e+06
2015-04-24,1.07522e+06
2015-04-25,996796
2015-04-26,977009
2015-04-27,1.09612e+06
2015-04-28,1.09482e+06
2015-04-29,1.10351e+06
2015-04-30,1.09021e+06
2015-05-01,985841
2015-05-02,981601
2015-05-03,955700
2015-05-04,1.0846e+06
2015-05-05,1.06053e+06
2015-05-06,1.02616e+06
2015-05-07,1.0332e+06
2015-05-08,1.03234e+06
2015-05-09,965664
2015-05-10,953882
2015-05-11,1.04384e+06
2015-05-12,1.04979e+06
2015-05-13,1.05486e+06
2015-05-14,980419
2015-05-15,1.01672e+06
2015-05-16,957670
2015-05-17,949804
2015-05-18,1.04616e+06
2015-05-19,1.04972e+06
2015-05-20,1.03779e+06
2015-05-21,1.02487e+06
2015-05-22,1.00486e+06
2015-05-23,903897
2015-05-24,893073
2015-05-25,977842
2015-05-26,1.01396e+06
2015-05-27,1.00676e+06
2015-05-28,1.02024e+06
2015-05-29,1.00182e+06
2015-05-30,928859
2015-05-31,905720
2015-06-01,1.01263e+06
2015-06-02,1.03864e+06
2015-06-03,1.02624e+06
2015-06-04,1.00769e+06
2015-06-05,963173
2015-06-06,877301
2015-06-07,879095
2015-06-08,1.00521e+06
2015-06-09,1.00222e+06
2015-06-10,988198
2015-06-11,986564
2015-06-12,974886
2015-06-13,884081
2015-06-14,875419
2015-06-15,1.00015e+06
2015-06-16,996246
2015-06-17,1.00571e+06
2015-06-18,990921
2015-06-19,904593
2015-06-20,839546
2015-06-21,839105
2015-06-22,955235
2015-06-23,962830
2015-06-24,962621
2015-06-25,988540
2015-06-26,972332
2015-06-27,877777
2015-06-28,849946
2015-06-29,965415
2015-06-30,963791
2015-07-01,954796
2015-07-02,941495
2015-07-03,934551
2015-07-04,846538
2015-07-05,834459
2015-07-06,913855
2015-07-07,934825
2015-07-08,939344
2015-07-09,926854
2015-07-10,919065
2015-07-11,842675
2015-07-12,827413
2015-07-13,896210
2015-07-14,901129
2015-07-15,897276
2015-07-16,899026
2015-07-17,879718
2015-07-18,823967
2015-07-19,820895
2015-07-20,878641
2015-07-21,888401
2015-07-22,891343
2015-07-23,884509
2015-07-24,886704
2015-07-25,840426
2015-07-26,840420
2015-07-27,903403
2015-07-28,910835
2015-07-29,911896
2015-07-30,900530
2015-07-31,895067
2015-08-01,842706
2015-08-02,834038
2015-08-03,931333
2015-08-04,939585
2015-08-05,946734
2015-08-06,949386
2015-08-07,930858
2015-08-08,842015
2015-08-09,839159
2015-08-10,956361
2015-08-11,958165
2015-08-12,965995
2015-08-13,962576
2015-08-14,941732
2015-08-15,855222
2015-08-16,835807
2015-08-17,944430
2015-08-18,950002
2015-08-19,956680
2015-08-20,953814
2015-08-21,947405
2015-08-22,856527
2015-08-23,836955
2015-08-24,929921
2015-08-25,965197
2015-08-26,966273
2015-08-27,974441
2015-08-28,955830
2015-08-29,864936
2015-08-30,865985
2015-08-31,983645
2015-09-01,1.00088e+06
2015-09-02,996414
2015-09-03,995762
2015-09-04,990252
2015-09-05,899861
2015-09-06,891200
2015-09-07,1.00992e+06
2015-09-08,1.01813e+06
2015-09-09,1.01997e+06
2015-09-10,1.01605e+06
2015-09-11,993821
2015-09-12,902168
2015-09-13,894530
2015-09-14,999596
2015-09-15,1.01196e+06
2015-09-16,1.02042e+06
2015-09-17,1.00663e+06
2015-09-18,931210
2015-09-19,878473
2015-09-20,894955
2015-09-21,1.02149e+06
2015-09-22,1.03658e+06
2015-09-23,1.0308e+06
2015-09-24,1.02223e+06
2015-09-25,1.00309e+06
2015-09-26,927892
2015-09-27,927902
2015-09-28,1.03892e+06
2015-09-29,1.04218e+06
2015-09-30,1.03908e+06
2015-10-01,1.03097e+06
2015-10-02,1.02996e+06
2015-10-03,962670
2015-10-04,960737
2015-10-05,1.08216e+06
2015-10-06,1.09679e+06
2015-10-07,1.11863e+06
2015-10-08,1.14021e+06
2015-10-09,1.1317e+06
2015-10-10,1.05175e+06
2015-10-11,1.02041e+06
2015-10-12,1.13541e+06
2015-10-13,1.13646e+06
2015-10-14,1.14572e+06
2015-10-15,1.14758e+06
2015-10-16,1.13931e+06
2015-10-17,1.06275e+06
2015-10-18,1.0288e+06
2015-10-19,1.15498e+06
2015-10-20,1.15702e+06
2015-10-21,1.14755e+06
2015-10-22,1.12022e+06
2015-10-23,1.10122e+06
2015-10-24,1.02616e+06
2015-10-25,1.04585e+06
2015-10-26,1.14657e+06
2015-10-27,1.17256e+06
2015-10-28,1.1913e+06
2015-10-29,1.20368e+06
2015-10-30,1.17636e+06
2015-10-31,1.04341e+06
2015-11-01,1.02119e+06
2015-11-02,1.12254e+06
2015-11-03,1.14222e+06
2015-11-04,1.15577e+06
2015-11-05,1.18801e+06
2015-11-06,1.15782e+06
2015-11-07,1.0436e+06
2015-11-08,1.02561e+06
2015-11-09,1.16253e+06
2015-11-10,1.17194e+06
2015-11-11,1.18341e+06
2015-11-12,1.20040e+06
2015-11-13,1.18686e+06
2015-11-14,1.09969e+06
2015-11-15,1.10014e+06
2015-11-16,1.23435e+06
2015-11-17,1.23625e+06
2015-11-18,1.23667e+06
2015-11-19,1.25114e+06
2015-11-20,1.30344e+06
2015-11-21,1.24192e+06
2015-11-22,1.25047e+06
2015-11-23,1.38785e+06
2015-11-24,1.33389e+06
2015-11-25,1.30783e+06
2015-11-26,1.30972e+06
2015-11-27,1.22899e+06
2015-11-28,1.14326e+06
2015-11-29,1.16226e+06
2015-11-30,1.30918e+06
2015-12-01,1.32044e+06
2015-12-02,1.31701e+06
2015-12-03,1.28649e+06
2015-12-04,1.26821e+06
2015-12-05,1.14797e+06
2015-12-06,1.12391e+06
2015-12-07,1.28217e+06
2015-12-08,1.28197e+06
2015-12-09,1.24158e+06
2015-12-10,1.25109e+06
2015-12-11,1.28084e+06
2015-12-12,1.21931e+06
2015-12-13,1.251e+06
2015-12-14,609546
2015-12-15,1.42206e+06
2015-12-16,1.40672e+06
2015-12-17,1.35355e+06
2015-12-18,1.26285e+06
2015-12-19,1.13226e+06
2015-12-20,1.09131e+06
2015-12-21,1.19058e+06
2015-12-22,1.2072e+06
2015-12-23,1.17904e+06
2015-12-24,1.07943e+06
2015-12-25,1.05838e+06
2015-12-26,1.12853e+06
2015-12-27,1.20772e+06
2015-12-28,1.33544e+06
2015-12-29,1.337e+06
2015-12-30,1.30258e+06
2015-12-31,1.23796e+06
2016-01-01,1.18713e+06
2016-01-02,1.28312e+06
2016-01-03,1.34006e+06
2016-01-04,1.5094e+06
2016-01-05,1.54856e+06
2016-01-06,1.58344e+06
2016-01-07,1.65055e+06
2016-01-08,1.60232e+06
2016-01-09,1.49389e+06
2016-01-10,1.43618e+06
2016-01-11,1.50106e+06
2016-01-12,1.49967e+06
2016-01-13,1.54814e+06
2016-01-14,1.59926e+06
2016-01-15,1.61963e+06
2016-01-16,1.5279e+06
2016-01-17,1.50744e+06
2016-01-18,1.61368e+06
2016-01-19,1.60967e+06
2016-01-20,1.63523e+06
2016-01-21,1.64684e+06
2016-01-22,1.61694e+06
2016-01-23,1.42724e+06
2016-01-24,1.33958e+06
2016-01-25,1.41126e+06
2016-01-26,1.3672e+06
2016-01-27,1.33655e+06
2016-01-28,1.34416e+06
2016-01-29,1.34045e+06
2016-01-30,1.24446e+06
2016-01-31,1.24379e+06
2016-02-01,1.39595e+06
2016-02-02,1.37424e+06
2016-02-03,1.37695e+06
2016-02-04,1.40554e+06
2016-02-05,1.40739e+06
2016-02-06,1.26123e+06
2016-02-07,1.19245e+06
2016-02-08,1.31197e+06
2016-02-09,1.31594e+06
2016-02-10,1.34192e+06
2016-02-11,1.35923e+06
2016-02-12,1.38784e+06
2016-02-13,1.30995e+06
2016-02-14,1.30443e+06
2016-02-15,1.44609e+06
2016-02-16,1.44116e+06
2016-02-17,1.4036e+06
2016-02-18,1.4164e+06
2016-02-19,1.38298e+06
