Date,Hour,Wind DK
2014-01-12,2,3620
2014-01-12,3,3653
2014-01-12,4,3623
2014-01-12,5,3704
2014-01-12,6,3786
2014-01-12,7,3802
2014-01-12,8,3777
2014-01-12,9,3737
2014-01-12,10,3620
2014-01-12,11,3308
2014-01-12,12,3110
2014-01-12,13,2937
2014-01-12,14,2602
2014-01-12,15,1838
2014-01-12,16,1318
2014-01-12,17,1305
2014-01-12,18,1000
2014-01-12,19,778
2014-01-12,20,621
2014-01-12,21,457
2014-01-12,22,436
2014-01-12,23,434
2014-01-13,0,595
2014-01-13,1,877
2014-01-13,2,1087
2014-01-13,3,1260
2014-01-13,4,1499
2014-01-13,5,1923
2014-01-13,6,2412
2014-01-13,7,2898
2014-01-13,8,3220
2014-01-13,9,3363
2014-01-13,10,3382
2014-01-13,11,3327
2014-01-13,12,3182
2014-01-13,13,2918
2014-01-13,14,2663
2014-01-13,15,2425
2014-01-13,16,2164
2014-01-13,17,1837
2014-01-13,18,1641
2014-01-13,19,1465
2014-01-13,20,1365
2014-01-13,21,1108
2014-01-13,22,831
2014-01-13,23,636
2014-01-14,0,454
2014-01-14,1,305
2014-01-14,2,237
2014-01-14,3,222
2014-01-14,4,187
2014-01-14,5,141
2014-01-14,6,199
2014-01-14,7,219
2014-01-14,8,230
2014-01-14,9,223
2014-01-14,10,192
2014-01-14,11,171
2014-01-14,12,134
2014-01-14,13,121
2014-01-14,14,133
2014-01-14,15,190
2014-01-14,16,261
2014-01-14,17,284
2014-01-14,18,351
2014-01-14,19,449
2014-01-14,20,593
2014-01-14,21,676
2014-01-14,22,711
2014-01-14,23,681
2014-01-15,0,794
2014-01-15,1,859
2014-01-15,2,871
2014-01-15,3,975
2014-01-15,4,996
2014-01-15,5,1088
2014-01-15,6,1197
2014-01-15,7,1302
2014-01-15,8,1416
2014-01-15,9,1475
2014-01-15,10,1546
2014-01-15,11,1580
2014-01-15,12,1642
2014-01-15,13,1640
2014-01-15,14,1659
2014-01-15,15,1768
2014-01-15,16,1917
2014-01-15,17,2076
2014-01-15,18,2305
2014-01-15,19,2446
2014-01-15,20,2574
2014-01-15,21,2659
2014-01-15,22,2751
2014-01-15,23,2822
2014-01-16,0,2824
2014-01-16,1,2966
2014-01-16,2,3087
2014-01-16,3,3156
2014-01-16,4,3161
2014-01-16,5,3137
2014-01-16,6,3150
2014-01-16,7,3208
2014-01-16,8,3336
2014-01-16,9,3472
2014-01-16,10,3516
2014-01-16,11,3569
2014-01-16,12,3589
2014-01-16,13,3587
2014-01-16,14,3653
2014-01-16,15,3737
2014-01-16,16,3805
2014-01-16,17,3893
2014-01-16,18,3961
2014-01-16,19,4017
2014-01-16,20,4063
2014-01-16,21,4110
2014-01-16,22,4105
2014-01-16,23,3954
2014-01-17,0,3687
2014-01-17,1,3339
2014-01-17,2,3037
2014-01-17,3,2860
2014-01-17,4,2641
2014-01-17,5,2401
2014-01-17,6,2254
2014-01-17,7,2193
2014-01-17,8,2196
2014-01-17,9,2230
2014-01-17,10,2271
2014-01-17,11,2279
2014-01-17,12,2319
2014-01-17,13,2326
2014-01-17,14,2313
2014-01-17,15,2327
2014-01-17,16,2354
2014-01-17,17,2375
2014-01-17,18,2457
2014-01-17,19,2474
2014-01-17,20,2504
2014-01-17,21,2440
2014-01-17,22,2494
2014-01-17,23,2575
2014-01-18,0,2652
2014-01-18,1,2688
2014-01-18,2,2728
2014-01-18,3,2763
2014-01-18,4,2810
2014-01-18,5,2851
2014-01-18,6,2901
2014-01-18,7,2936
2014-01-18,8,2960
2014-01-18,9,2999
2014-01-18,10,3072
2014-01-18,11,3107
2014-01-18,12,3096
2014-01-18,13,3209
2014-01-18,14,3345
2014-01-18,15,3432
2014-01-18,16,3593
2014-01-18,17,3793
2014-01-18,18,3905
2014-01-18,19,3947
2014-01-18,20,4013
2014-01-18,21,4061
2014-01-18,22,4159
2014-01-18,23,4170
2014-01-19,0,4205
2014-01-19,1,4250
2014-01-19,2,4287
2014-01-19,3,4313
2014-01-19,4,4353
2014-01-19,5,4389
2014-01-19,6,4408
2014-01-19,7,4457
2014-01-19,8,4493
2014-01-19,9,4494
2014-01-19,10,4432
2014-01-19,11,4423
2014-01-19,12,4423
2014-01-19,13,4421
2014-01-19,14,4413
2014-01-19,15,4453
2014-01-19,16,4459
2014-01-19,17,4396
2014-01-19,18,4385
2014-01-19,19,4435
2014-01-19,20,4426
2014-01-19,21,4374
2014-01-19,22,4313
2014-01-19,23,4255
2014-01-20,0,4171
2014-01-20,1,4114
2014-01-20,2,4099
2014-01-20,3,4104
2014-01-20,4,4082
2014-01-20,5,4018
2014-01-20,6,4002
2014-01-20,7,3967
2014-01-20,8,3894
2014-01-20,9,3824
2014-01-20,10,3696
2014-01-20,11,3651
2014-01-20,12,3507
2014-01-20,13,3421
2014-01-20,14,3441
2014-01-20,15,3424
2014-01-20,16,3352
2014-01-20,17,3287
2014-01-20,18,3253
2014-01-20,19,3184
2014-01-20,20,3077
2014-01-20,21,3070
2014-01-20,22,2957
2014-01-20,23,2823
2014-01-21,0,2652
2014-01-21,1,2495
2014-01-21,2,2375
2014-01-21,3,2181
2014-01-21,4,2037
2014-01-21,5,1983
2014-01-21,6,1860
2014-01-21,7,1778
2014-01-21,8,1788
2014-01-21,9,1805
2014-01-21,10,1804
2014-01-21,11,1803
2014-01-21,12,1752
2014-01-21,13,1792
2014-01-21,14,1877
2014-01-21,15,1869
2014-01-21,16,1913
2014-01-21,17,2050
2014-01-21,18,2176
2014-01-21,19,2228
2014-01-21,20,2153
2014-01-21,21,2143
2014-01-21,22,2191
2014-01-21,23,2274
2014-01-22,0,2365
2014-01-22,1,2360
2014-01-22,2,2429
2014-01-22,3,2496
2014-01-22,4,2656
2014-01-22,5,2830
2014-01-22,6,3028
2014-01-22,7,3197
2014-01-22,8,3262
2014-01-22,9,3272
2014-01-22,10,3225
2014-01-22,11,3187
2014-01-22,12,3144
2014-01-22,13,3104
2014-01-22,14,3097
2014-01-22,15,3141
2014-01-22,16,3144
2014-01-22,17,3132
2014-01-22,18,3216
2014-01-22,19,3186
2014-01-22,20,3240
2014-01-22,21,3318
2014-01-22,22,3397
2014-01-22,23,3411
2014-01-23,0,3290
2014-01-23,1,3204
2014-01-23,2,3147
2014-01-23,3,3106
2014-01-23,4,3149
2014-01-23,5,3185
2014-01-23,6,3248
2014-01-23,7,3334
2014-01-23,8,3371
2014-01-23,9,3538
2014-01-23,10,3605
2014-01-23,11,3620
2014-01-23,12,3659
2014-01-23,13,3764
2014-01-23,14,3778
2014-01-23,15,3738
2014-01-23,16,3713
2014-01-23,17,3832
2014-01-23,18,3899
2014-01-23,19,3889
2014-01-23,20,3869
2014-01-23,21,3847
2014-01-23,22,3852
2014-01-23,23,3807
2014-01-24,0,3846
2014-01-24,1,3764
2014-01-24,2,3691
2014-01-24,3,3613
2014-01-24,4,3458
2014-01-24,5,3343
2014-01-24,6,3265
2014-01-24,7,3187
2014-01-24,8,3132
2014-01-24,9,3172
2014-01-24,10,3480
2014-01-24,11,3668
2014-01-24,12,3655
2014-01-24,13,3575
2014-01-24,14,3430
2014-01-24,15,3136
2014-01-24,16,2838
2014-01-24,17,2783
2014-01-24,18,2815
2014-01-24,19,2875
2014-01-24,20,3098
2014-01-24,21,3207
2014-01-24,22,3289
2014-01-24,23,3070
2014-01-25,0,2780
2014-01-25,1,2717
2014-01-25,2,2603
2014-01-25,3,2636
2014-01-25,4,2874
2014-01-25,5,3108
2014-01-25,6,3225
2014-01-25,7,3336
2014-01-25,8,3339
2014-01-25,9,3396
2014-01-25,10,3480
2014-01-25,11,3574
2014-01-25,12,3587
2014-01-25,13,3542
2014-01-25,14,3500
2014-01-25,15,3601
2014-01-25,16,3858
2014-01-25,17,3972
2014-01-25,18,4024
2014-01-25,19,4121
2014-01-25,20,4128
2014-01-25,21,4133
2014-01-25,22,4127
2014-01-25,23,4050
2014-01-26,0,3913
2014-01-26,1,3780
2014-01-26,2,3693
2014-01-26,3,3545
2014-01-26,4,3471
2014-01-26,5,3461
2014-01-26,6,3461
2014-01-26,7,3269
2014-01-26,8,3163
2014-01-26,9,3209
2014-01-26,10,3214
2014-01-26,11,3266
2014-01-26,12,3234
2014-01-26,13,3313
2014-01-26,14,3455
2014-01-26,15,3431
2014-01-26,16,3414
2014-01-26,17,3392
2014-01-26,18,3555
2014-01-26,19,3647
2014-01-26,20,3758
2014-01-26,21,3887
2014-01-26,22,3975
2014-01-26,23,3988
2014-01-27,0,3966
2014-01-27,1,3960
2014-01-27,2,3864
2014-01-27,3,3818
2014-01-27,4,3828
2014-01-27,5,3808
2014-01-27,6,3841
2014-01-27,7,3860
2014-01-27,8,3762
2014-01-27,9,3627
2014-01-27,10,3486
2014-01-27,11,3307
2014-01-27,12,3054
2014-01-27,13,2812
2014-01-27,14,2663
2014-01-27,15,2541
2014-01-27,16,2279
2014-01-27,17,2215
2014-01-27,18,2208
2014-01-27,19,2085
2014-01-27,20,2042
2014-01-27,21,2071
2014-01-27,22,2034
2014-01-27,23,2109
2014-01-28,0,2220
2014-01-28,1,2374
2014-01-28,2,2441
2014-01-28,3,2576
2014-01-28,4,2669
2014-01-28,5,2746
2014-01-28,6,2824
2014-01-28,7,2837
2014-01-28,8,2888
2014-01-28,9,2959
2014-01-28,10,2975
2014-01-28,11,2992
2014-01-28,12,2945
2014-01-28,13,2920
2014-01-28,14,3004
2014-01-28,15,3139
2014-01-28,16,3379
2014-01-28,17,3327
2014-01-28,18,3417
2014-01-28,19,3216
2014-01-28,20,3065
2014-01-28,21,2932
2014-01-28,22,2730
2014-01-28,23,2631
2014-01-29,0,2666
2014-01-29,1,2789
2014-01-29,2,2893
2014-01-29,3,2882
2014-01-29,4,2924
2014-01-29,5,3020
2014-01-29,6,3043
2014-01-29,7,3059
2014-01-29,8,3113
2014-01-29,9,3112
2014-01-29,10,3114
2014-01-29,11,3178
2014-01-29,12,3233
2014-01-29,13,3321
2014-01-29,14,3460
2014-01-29,15,3360
2014-01-29,16,3293
2014-01-29,17,3217
2014-01-29,18,3129
2014-01-29,19,3036
2014-01-29,20,2939
2014-01-29,21,2771
2014-01-29,22,2553
2014-01-29,23,2412
2014-01-30,0,2392
2014-01-30,1,2345
2014-01-30,2,2382
2014-01-30,3,2463
2014-01-30,4,2544
2014-01-30,5,2600
2014-01-30,6,2649
2014-01-30,7,2622
2014-01-30,8,2597
2014-01-30,9,2574
2014-01-30,10,2724
2014-01-30,11,2753
2014-01-30,12,2723
2014-01-30,13,2579
2014-01-30,14,2467
2014-01-30,15,2377
2014-01-30,16,2322
2014-01-30,17,2227
2014-01-30,18,2180
2014-01-30,19,2045
2014-01-30,20,1964
2014-01-30,21,1822
2014-01-30,22,1698
2014-01-30,23,1688
2014-01-31,0,1660
2014-01-31,1,1762
2014-01-31,2,1783
2014-01-31,3,1897
2014-01-31,4,1949
2014-01-31,5,2256
2014-01-31,6,2593
2014-01-31,7,2715
2014-01-31,8,2506
2014-01-31,9,2193
2014-01-31,10,1979
2014-01-31,11,1867
2014-01-31,12,1573
2014-01-31,13,1444
2014-01-31,14,1320
2014-01-31,15,1242
2014-01-31,16,1162
2014-01-31,17,1105
2014-01-31,18,1138
2014-01-31,19,1216
2014-01-31,20,1271
2014-01-31,21,1246
2014-01-31,22,1204
2014-01-31,23,1167
2014-02-01,0,1315
2014-02-01,1,1556
2014-02-01,2,1906
2014-02-01,3,2122
2014-02-01,4,2333
2014-02-01,5,2568
2014-02-01,6,2756
2014-02-01,7,2964
2014-02-01,8,3127
2014-02-01,9,3185
2014-02-01,10,3287
2014-02-01,11,3355
2014-02-01,12,3348
2014-02-01,13,3286
2014-02-01,14,3217
2014-02-01,15,3233
2014-02-01,16,3232
2014-02-01,17,3099
2014-02-01,18,2973
2014-02-01,19,2830
2014-02-01,20,2636
2014-02-01,21,2514
2014-02-01,22,2466
2014-02-01,23,2331
2014-02-02,0,2300
2014-02-02,1,2379
2014-02-02,2,2433
2014-02-02,3,2494
2014-02-02,4,2432
2014-02-02,5,2357
2014-02-02,6,2406
2014-02-02,7,2505
2014-02-02,8,2579
2014-02-02,9,2573
2014-02-02,10,2610
2014-02-02,11,2523
2014-02-02,12,2488
2014-02-02,13,2428
2014-02-02,14,2310
2014-02-02,15,2218
2014-02-02,16,2141
2014-02-02,17,2119
2014-02-02,18,2087
2014-02-02,19,1995
2014-02-02,20,1923
2014-02-02,21,1790
2014-02-02,22,1547
2014-02-02,23,1501
2014-02-03,0,1382
2014-02-03,1,1208
2014-02-03,2,1096
2014-02-03,3,928
2014-02-03,4,801
2014-02-03,5,795
2014-02-03,6,708
2014-02-03,7,575
2014-02-03,8,594
2014-02-03,9,534
2014-02-03,10,380
2014-02-03,11,245
2014-02-03,12,230
2014-02-03,13,290
2014-02-03,14,407
2014-02-03,15,555
2014-02-03,16,744
2014-02-03,17,1150
2014-02-03,18,1440
2014-02-03,19,1786
2014-02-03,20,2061
2014-02-03,21,2258
2014-02-03,22,2302
2014-02-03,23,2258
2014-02-04,0,2235
2014-02-04,1,2254
2014-02-04,2,2303
2014-02-04,3,2373
2014-02-04,4,2260
2014-02-04,5,2092
2014-02-04,6,1773
2014-02-04,7,1509
2014-02-04,8,1335
2014-02-04,9,1261
2014-02-04,10,1107
2014-02-04,11,1075
2014-02-04,12,962
2014-02-04,13,861
2014-02-04,14,815
2014-02-04,15,807
2014-02-04,16,888
2014-02-04,17,965
2014-02-04,18,1063
2014-02-04,19,980
2014-02-04,20,953
2014-02-04,21,833
2014-02-04,22,750
2014-02-04,23,726
2014-02-05,0,695
2014-02-05,1,682
2014-02-05,2,706
2014-02-05,3,788
2014-02-05,4,945
2014-02-05,5,1103
2014-02-05,6,1342
2014-02-05,7,1513
2014-02-05,8,1550
2014-02-05,9,1687
2014-02-05,10,1737
2014-02-05,11,1803
2014-02-05,12,1778
2014-02-05,13,1864
2014-02-05,14,1976
2014-02-05,15,1936
2014-02-05,16,2073
2014-02-05,17,2220
2014-02-05,18,2120
2014-02-05,19,2023
2014-02-05,20,1942
2014-02-05,21,1934
2014-02-05,22,1861
2014-02-05,23,1825
2014-02-06,0,1875
2014-02-06,1,1956
2014-02-06,2,2157
2014-02-06,3,2280
2014-02-06,4,2388
2014-02-06,5,2431
2014-02-06,6,2601
2014-02-06,7,2757
2014-02-06,8,2821
2014-02-06,9,2862
2014-02-06,10,2975
2014-02-06,11,3104
2014-02-06,12,3242
2014-02-06,13,3252
2014-02-06,14,3133
2014-02-06,15,2927
2014-02-06,16,2758
2014-02-06,17,2571
2014-02-06,18,2444
2014-02-06,19,2336
2014-02-06,20,2271
2014-02-06,21,2204
2014-02-06,22,2044
2014-02-06,23,2029
2014-02-07,0,2020
2014-02-07,1,2050
2014-02-07,2,2236
2014-02-07,3,2586
2014-02-07,4,2989
2014-02-07,5,3163
2014-02-07,6,3340
2014-02-07,7,3508
2014-02-07,8,3482
2014-02-07,9,3375
2014-02-07,10,3233
2014-02-07,11,3083
2014-02-07,12,3003
2014-02-07,13,3001
2014-02-07,14,2817
2014-02-07,15,2508
2014-02-07,16,2490
2014-02-07,17,2757
2014-02-07,18,2996
2014-02-07,19,3287
2014-02-07,20,3627
2014-02-07,21,3796
2014-02-07,22,3789
2014-02-07,23,3641
2014-02-08,0,3441
2014-02-08,1,3277
2014-02-08,2,3038
2014-02-08,3,2782
2014-02-08,4,2558
2014-02-08,5,2452
2014-02-08,6,2354
2014-02-08,7,2341
2014-02-08,8,2504
2014-02-08,9,2751
2014-02-08,10,2963
2014-02-08,11,3137
2014-02-08,12,3167
2014-02-08,13,3222
2014-02-08,14,3291
2014-02-08,15,3359
2014-02-08,16,3332
2014-02-08,17,3390
2014-02-08,18,3455
2014-02-08,19,3317
2014-02-08,20,3262
2014-02-08,21,3176
2014-02-08,22,2928
2014-02-08,23,2738
2014-02-09,0,2613
2014-02-09,1,2618
2014-02-09,2,2630
2014-02-09,3,2760
2014-02-09,4,2755
2014-02-09,5,2760
2014-02-09,6,2961
2014-02-09,7,3163
2014-02-09,8,3341
2014-02-09,9,3552
2014-02-09,10,3639
2014-02-09,11,3721
2014-02-09,12,3809
2014-02-09,13,3838
2014-02-09,14,3809
2014-02-09,15,3792
2014-02-09,16,3839
2014-02-09,17,4039
2014-02-09,18,4146
2014-02-09,19,4072
2014-02-09,20,4003
2014-02-09,21,3898
2014-02-09,22,3790
2014-02-09,23,3631
2014-02-10,0,3418
2014-02-10,1,3234
2014-02-10,2,3032
2014-02-10,3,2767
2014-02-10,4,2433
2014-02-10,5,2234
2014-02-10,6,2113
2014-02-10,7,2000
2014-02-10,8,1933
2014-02-10,9,1929
2014-02-10,10,1903
2014-02-10,11,2067
2014-02-10,12,1827
2014-02-10,13,1289
2014-02-10,14,1112
2014-02-10,15,811
2014-02-10,16,604
2014-02-10,17,587
2014-02-10,18,661
2014-02-10,19,755
2014-02-10,20,883
2014-02-10,21,1042
2014-02-10,22,1114
2014-02-10,23,1057
2014-02-11,0,1029
2014-02-11,1,851
2014-02-11,2,863
2014-02-11,3,725
2014-02-11,4,617
2014-02-11,5,627
2014-02-11,6,598
2014-02-11,7,542
2014-02-11,8,532
2014-02-11,9,523
2014-02-11,10,585
2014-02-11,11,632
2014-02-11,12,535
2014-02-11,13,500
2014-02-11,14,498
2014-02-11,15,478
2014-02-11,16,595
2014-02-11,17,743
2014-02-11,18,940
2014-02-11,19,1117
2014-02-11,20,1359
2014-02-11,21,1741
2014-02-11,22,2315
2014-02-11,23,2379
2014-02-12,0,2425
2014-02-12,1,2418
2014-02-12,2,2105
2014-02-12,3,1790
2014-02-12,4,1654
2014-02-12,5,1843
2014-02-12,6,1909
2014-02-12,7,2084
2014-02-12,8,2014
2014-02-12,9,2021
2014-02-12,10,1934
2014-02-12,11,2073
2014-02-12,12,2353
2014-02-12,13,2359
2014-02-12,14,2249
2014-02-12,15,2213
2014-02-12,16,2074
2014-02-12,17,1986
2014-02-12,18,2250
2014-02-12,19,2763
2014-02-12,20,3273
2014-02-12,21,3586
2014-02-12,22,3792
2014-02-12,23,3923
2014-02-13,0,4027
2014-02-13,1,4015
2014-02-13,2,3914
2014-02-13,3,3836
2014-02-13,4,3744
2014-02-13,5,3606
2014-02-13,6,3557
2014-02-13,7,3442
2014-02-13,8,3272
2014-02-13,9,3186
2014-02-13,10,3359
2014-02-13,11,3424
2014-02-13,12,3349
2014-02-13,13,3038
2014-02-13,14,2775
2014-02-13,15,2466
2014-02-13,16,2319
2014-02-13,17,2321
2014-02-13,18,2344
2014-02-13,19,2186
2014-02-13,20,1865
2014-02-13,21,1562
2014-02-13,22,1331
2014-02-13,23,1192
2014-02-14,0,1127
2014-02-14,1,1101
2014-02-14,2,1241
2014-02-14,3,1356
2014-02-14,4,1388
2014-02-14,5,1439
2014-02-14,6,1565
2014-02-14,7,1622
2014-02-14,8,1885
2014-02-14,9,2058
2014-02-14,10,2228
2014-02-14,11,2307
2014-02-14,12,2256
2014-02-14,13,2185
2014-02-14,14,2102
2014-02-14,15,1997
2014-02-14,16,1950
2014-02-14,17,1798
2014-02-14,18,1873
2014-02-14,19,2053
2014-02-14,20,2434
2014-02-14,21,2843
2014-02-14,22,3294
2014-02-14,23,3625
2014-02-15,0,4004
2014-02-15,1,4247
2014-02-15,2,4258
2014-02-15,3,4196
2014-02-15,4,4199
2014-02-15,5,4245
2014-02-15,6,4175
2014-02-15,7,4114
2014-02-15,8,4109
2014-02-15,9,4078
2014-02-15,10,4086
2014-02-15,11,4141
2014-02-15,12,4102
2014-02-15,13,4034
2014-02-15,14,4043
2014-02-15,15,3991
2014-02-15,16,3949
2014-02-15,17,3987
2014-02-15,18,3945
2014-02-15,19,4059
2014-02-15,20,4143
2014-02-15,21,4214
2014-02-15,22,4195
2014-02-15,23,4154
2014-02-16,0,4088
2014-02-16,1,4010
2014-02-16,2,3741
2014-02-16,3,3916
2014-02-16,4,4021
2014-02-16,5,3999
2014-02-16,6,3680
2014-02-16,7,3564
2014-02-16,8,3868
2014-02-16,9,3924
2014-02-16,10,4088
2014-02-16,11,4174
2014-02-16,12,3916
2014-02-16,13,3993
2014-02-16,14,3978
2014-02-16,15,3950
2014-02-16,16,4029
2014-02-16,17,3946
2014-02-16,18,3770
2014-02-16,19,3680
2014-02-16,20,3597
2014-02-16,21,3526
2014-02-16,22,3464
2014-02-16,23,3326
2014-02-17,0,3207
2014-02-17,1,3202
2014-02-17,2,3183
2014-02-17,3,3140
2014-02-17,4,3093
2014-02-17,5,3032
2014-02-17,6,2792
2014-02-17,7,2641
2014-02-17,8,2470
2014-02-17,9,2492
2014-02-17,10,2404
2014-02-17,11,2419
2014-02-17,12,2452
2014-02-17,13,2346
2014-02-17,14,2106
2014-02-17,15,1786
2014-02-17,16,1439
2014-02-17,17,1164
2014-02-17,18,1129
2014-02-17,19,1088
2014-02-17,20,1141
2014-02-17,21,1071
2014-02-17,22,906
2014-02-17,23,869
2014-02-18,0,740
2014-02-18,1,717
2014-02-18,2,766
2014-02-18,3,801
2014-02-18,4,818
2014-02-18,5,886
2014-02-18,6,1000
2014-02-18,7,1181
2014-02-18,8,1268
2014-02-18,9,1443
2014-02-18,10,1392
2014-02-18,11,1349
2014-02-18,12,1429
2014-02-18,13,1374
2014-02-18,14,1175
2014-02-18,15,1087
2014-02-18,16,1102
2014-02-18,17,1200
2014-02-18,18,1414
2014-02-18,19,1547
2014-02-18,20,1586
