Date,Prec Hamar,Prec Kvin,Prec Oppdal,Prec Troms,Prec Bergen,Prec Norway
2020-09-04,2.6,16.8,2,0,9.9,31.3
2020-09-05,0.1,22.8,0,7.3,27.5,57.7
2020-09-06,0.4,5.5,0,7.3,33.2,46.4
2020-09-07,0,1,0,2,15.8,18.8
2020-09-08,2.6,4.9,5.4,1.1,17.4,31.4
2020-09-09,0.4,18.5,0.3,1.6,32.4,53.2
2020-09-10,2.9,5.3,7.6,0,15.3,31.1
2020-09-11,0,1,0.2,0.6,2.3,4.1
2020-09-12,1.6,38,0,0.1,26.6,66.3
2020-09-13,5.8,22.1,0,0.2,24,52.1
2020-09-14,0,5.5,0,1.8,16.7,24
2020-09-15,0.1,0.1,5.3,0.3,16.7,22.5
2020-09-16,3.1,0,11.4,1.6,23.5,39.6
2020-09-17,0,0,4,1,0,5
2020-09-18,0,0,0,2.5,2.2,4.7
2020-09-19,0,0,5.5,11.7,5.2,22.4
2020-09-20,0,0,0,0.1,0,0.1
2020-09-21,0,0,5.1,1.4,0.1,6.6
2020-09-22,0,0,6,13.8,9.8,29.6
2020-09-23,0,8,0.8,0.2,8.1,17.1
2020-09-24,17.2,39.6,3,0,5.7,65.5
2020-09-25,3.8,11.8,2.5,5.9,26.2,50.2
2020-09-26,11.8,0.2,0,0.3,0,12.3
2020-09-27,11.6,0,0.2,0.3,0,12.1
2020-09-28,0,0,0,0,0,0
2020-09-29,0,5.5,0,0,9.4,14.9
2020-09-30,0.2,5.3,0,0,15.9,21.4
2020-10-01,1.1,7.7,0,0,0.2,9
2020-10-02,0,2.3,0,0,0.6,2.9
2020-10-03,0,6.6,0,0,0,6.6
2020-10-04,0.4,0.2,0,0,0,0.6
2020-10-05,15.2,22.1,0.3,0,4.1,41.7
2020-10-06,0.1,2.2,0.5,0,0,2.8
2020-10-07,5.4,4,0.4,0,1.1,10.9
2020-10-08,0.5,7.5,1.5,0.4,9.5,19.4
2020-10-09,11.6,14.5,5.1,0,19.9,51.1
2020-10-10,0.6,14,0,0.2,3.3,18.1
2020-10-11,5.2,0.1,5.7,2.1,0.1,13.2
2020-10-12,0,0,7.8,0.4,0,8.2
2020-10-13,0,0,0.3,1.2,0,1.5
2020-10-14,0,0,0,0.4,0.1,0.5
2020-10-15,0,0,0,0.9,0,0.9
2020-10-16,0,0,0,1.1,0.1,1.2
2020-10-17,0,0,0,11.4,0,11.4
2020-10-18,0,0,15.5,0.4,1.1,17
2020-10-19,0,0,7.3,0,0,7.3
2020-10-20,2.9,25,0,0,14.4,42.3
2020-10-21,16.1,17.1,0.5,0,13.2,46.9
2020-10-22,13.5,22.5,0.5,0,24.7,61.2
